Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a red lorry,a red semitruck,0.305
1,a large lorry,a large semitruck,0.2853
2,a broken lorry,a broken semitruck,0.2888
3,a painting of an old lorry,a painting of an old semitruck,0.3509
4,a modern lorry,a modern semitruck,0.2859
5,a small lorry,a small semitruck,0.2927
6,a cozy jumper,a cozy sweater,0.2769
7,a purple jumper,a purple sweater,0.3011
8,a dirty jumper,a dirty sweater,0.2677
9,a designer jumper,a designer sweater,0.2945
10,a jumper with holes,a sweater with holes,0.3196
11,a colorful jumper,a colorful sweater,0.3017
12,a modern loo,a modern bathroom,0.296
13,a dirty loo,a dirty bathroom,0.287
14,a colorful loo,a colorful bathroom,0.2878
15,a loo with blue tiles,a bathroom with blue tiles,0.3567
16,a spacious loo,a spacious bathroom,0.2959
17,a tiny loo,a tiny bathroom,0.2755
18,a pack of bangers,a pack of sausages,0.3018
19,a plate of bangers and eggs,a plate of sausages and eggs,0.3196
20,three bangers,three sausages,0.2932
21,sizzling bangers,sizzling sausages,0.3168
22,broken bangers,broken sausages,0.2586
23,some expired bangers,some expired sausages,0.2757
24,a pile of rubbish,a pile of trash,0.2674
25,rubbish on the floor,trash on the floor,0.264
26,a heap of rubbish,a heap of trash,0.2709
27,a painting of rubbish,a painting of trash,0.3174
28,a rubbish bin,a trash bin,0.2742
29,a room full of rubbish,a room full of trash,0.2894
30,a flat to rent,an apartment to rent,0.2806
31,a flat with two bedrooms,an apartment with two bedrooms,0.2754
32,a city centre flat,a city centre apartment,0.261
33,a flat with balcony,an apartment with balcony,0.3021
34,students living in a flat,students living in an apartment,0.3233
35,keys to a new flat,keys to a new apartment,0.3052
36,a broken car boot,a broken car trunk,0.3067
37,a packed car boot,a packed car trunk,0.2668
38,an empty car boot,an empty car trunk,0.2951
39,a dirty car boot,a dirty car trunk,0.301
40,a modern car boot,a modern car trunk,0.2821
41,a red car boot,a red car trunk,0.2928
42,a long queue,a long line,0.2897
43,a short queue,a short line,0.2569
44,a painting of a long queue,a painting of a long line,0.3137
45,a queue of people,a line of people,0.2947
46,a queue outside the store,a line outside the store,0.2942
47,a queue for food,a line for food,0.2736
48,a pair of purple trousers,a pair of purple pants,0.3321
49,a pair of denim trousers,a pair of denim pants,0.2901
50,some ripped trousers,some ripped pants,0.296
51,my dirty trousers,my dirty pants,0.2727
52,a pair of designer trousers,a pair of designer pants,0.2927
53,trousers with holes,pants with holes,0.279
54,a small biscuit,a small cookie,0.3187
55,a fresh biscuit,a fresh cookie,0.2802
56,a burnt biscuit,a burnt cookie,0.3034
57,a broken biscuit,a broken cookie,0.3079
58,a painting of a biscuit,a painting of a cookie,0.3409
59,a chocolate biscuit,a chocolate cookie,0.2949
60,a handheld torch,a handheld flashlight,0.3124
61,a torch in a drawer,a flashlight in a drawer,0.3005
62,a pocket torch,a pocket flashlight,0.3055
63,using a torch at night,using a flashlight at night,0.2676
64,batteries for a torch,batteries for a flashlight,0.2967
65,a torch with a switch,a flashlight with a switch,0.3039
66,some dirty nappies,some dirty diapers,0.2597
67,white nappies,white diapers,0.2817
68,nappies with holes,diapers with holes,0.3156
69,a pack of nappies,a pack of diapers,0.3166
70,a pair of pink nappies,a pair of pink diapers,0.3319
71,a ripped pair of nappies,a ripped pair of diapers,0.2965
72,a modern petrol station,a modern gasoline station,0.3116
73,a painting of an old petrol station,a painting of an old gasoline station,0.3856
74,a vintage petrol station,a vintage gasoline station,0.3248
75,a petrol pump,a gasoline pump,0.2995
76,a petrol tanker,a gasoline tanker,0.3166
77,a petrol station sign,a gasoline station sign,0.2853
78,a round football,a round soccer ball,0.2937
79,a black and white football,a black and white soccor ball,0.3127
80,a football match in Europe,a soccer match in Europe,0.297
81,a football with black spots,a soccer with black spots,0.3165
82,a team scoring a football goal,a team scoring a soccer goal,0.3029
83,kicking a football,kicking a soccer ball,0.2808
84,shopping at a chemist,shopping at a pharmacy,0.2884
85,entering a local chemist,entering a local pharmacy,0.3007
86,shelves in a chemist,shelves in a pharmacy,0.2995
87,queue at a chemist shop,queue at a pharmacy shop,0.3212
88,sign for a chemist shop,sign for a pharmacy shop,0.2832
89,products from a chemist,products from a pharmacy,0.2923
90,hot chips with vinegar,hot french fries with vinegar,0.3159
91,chips with ketchup,french fries with ketchup,0.2912
92,thick-cut chips,thick-cut french fries,0.3048
93,chips from a chippy,french fries from a chippy,0.2912
94,chips with fish,french fries with fish,0.2289
95,takeaway chips,takeaway french fries,0.2895
96,a barrister at a table,an attorney at a table,0.2914
97,an old barrister,an old attorney,0.2936
98,a barrister at a park,an attorney at a park,0.2953
99,a barrister with a woman,an attorney with a woman,0.2863
100,a barrister with a notepad,an attorney with a notepad,0.2902
101,a painting of a barrister,a painting of an attorney,0.3292
102,a school caretaker,a school janitor,0.2374
103,a dirty caretaker,a dirty janitor,0.2469
104,a tired caretaker,a tired janitor,0.2362
105,a busy caretaker,a busy janitor,0.2309
106,a painting of an old caretaker,a painting of an old janitor,0.316
107,a caretaker in a mall,a janitor in a mall,0.288
108,a burning cooker,a burning stove,0.2921
109,an old gas cooker,an old gas stove,0.3013
110,a modern electric cooker,a modern electric stove,0.3087
111,a dirty cooker,a dirty stove,0.2942
112,a rusty cooker,a rusty stove,0.2966
113,a large cooker,a large stove,0.292
114,a baby in a cot,a baby in a crib,0.3049
115,a wooden nursery cot,a wooden nursery crib,0.3503
116,toys beside a cot,toys beside a crib,0.3127
117,a cot with mobile,a crib with mobile,0.3072
