Prompt_Index,SAE_Prompt,Score
0,an old monastery in the village square,0.2991
1,a monastery on a grassy hill with trees,0.3084
2,an older person entering a monastery,0.3538
3,a monastery in an old city center,0.2823
4,a monastery with a crowd of people outside,0.3063
5,an old monastery in a dark misty forest,0.3152
6,a bottle of champagne on a wooden table,0.3059
7,champagne on a shelf in a grocery store,0.3194
8,champagne and two glasses on a table outside,0.3017
9,champagne in a glass on a table,0.2758
10,a person holding a bottle of champagne,0.304
11,a person pouring champagne into a glass,0.3186
12,a midwife in a hospital,0.2494
13,a midwife walking into a house,0.3262
14,a woman in a bed with a midwife next to it,0.2699
15,a midwife talking with a doctor,0.2994
16,a midwife holding a bottle of medicine,0.2926
17,a midwife talking with a nurse,0.2896
18,a medical practitioner sitting at a table outside,0.3028
19,two medical practitioners in a conference room,0.2906
20,a medical practitioner walking in a park,0.3509
21,the medical practitioner talking with a patient in a room,0.2943
22,a medical practitioner standing outside a building,0.3127
23,a medical practitioner talking with a nurse,0.3162
24,two windows covered with bamboo blinds,0.3319
25,a living room with windows covered with bamboo blinds,0.2614
26,a kitchen with a window covered with bamboo blinds,0.3079
27,a living room window covered with rolled-up bamboo blinds,0.3233
28,a doorway with bamboo blinds covering it,0.3477
29,a window with rolled up bamboo blinds,0.3111
30,a mountain pass with lots of pine trees,0.2888
31,a narrow mountain pass covered in snow and pine trees,0.2911
32,a mountain pass with a road with lots of cars,0.3003
33,two people walking through the mountain pass,0.3016
34,a roadway in the mountain pass,0.3016
35,a trail in the wooded mountain pass,0.2767
36,an old convenience store with faded signage,0.3212
37,a modern convenience store with glass doors,0.2755
38,a busy convenience store packed with groceries,0.2893
39,a small convenience store on fire at dusk,0.3236
40,an empty convenience store with bare shelves,0.3079
41,a painting of a convenience store with stacked cans,0.3979
42,a temple beside some trees,0.2809
43,people standing outside a temple,0.3007
44,a well-dressed person in front of a temple,0.2756
45,a family in front of a temple,0.2895
46,a temple beside a sandy landscape,0.326
47,an old temple with lots of people,0.2595
48,a barber cutting a man's hair,0.2986
49,a barber cutting a woman's hair,0.2823
50,a barber shop in a busy city,0.2577
51,a friendly local barber,0.2788
52,a child getting his hair cut by a barber,0.3139
53,three people in a barber shop,0.2979
54,officers working inside a police station,0.3028
55,a person standing outside a police station,0.2785
56,a person talking to an officer inside a police station,0.2912
57,two officers speaking to an arrested person in a police station,0.3292
58,a police station on a road with lots of trees,0.2917
59,a police station in a busy city,0.264
60,a boy standing with his father,0.2799
61,a girl standing with her father near the school gate,0.3184
62,a man hiking with his father,0.2998
63,a woman in a car with her father,0.2984
64,a woman walking with her father and a dog,0.3006
65,a man sitting at a table with his father,0.3115
66,a big house with a veranda,0.2769
67,outdoor furniture under a veranda,0.2772
68,a small one story house with a veranda,0.2707
69,people relaxing under a veranda,0.2963
70,a modern looking veranda on a house,0.2694
71,a glass veranda on a house,0.2983
72,a dry river-bed surrounded by a dry landscape,0.3057
73,two people walking through a river-bed,0.3166
74,a dry river-bed in a dense green forest,0.323
75,a river-bed in an alpine meadow,0.307
76,a bridge across a river-bed,0.2864
77,a river-bed with some water in it,0.2566
78,a queen sitting on a throne,0.2853
79,a queen making a speech,0.273
80,a queen in a palace,0.2283
81,a queen sitting at a banquet,0.3237
82,a queen in a garden surrounded by blooming flowers,0.2991
83,a queen riding in a large car,0.3317
84,eggplant in a grocery store,0.3225
85,eggplant sitting on a kitchen counter,0.3602
86,eggplant being sliced,0.3372
87,eggplant in a pot,0.3325
88,an eggplant plant in a garden,0.3597
89,a spicy curry dish with eggplant slices,0.3372
90,a table with lots of food,0.2825
91,a person eating food,0.2788
92,a couple enjoying food at a restaurant,0.2965
93,a person cooking food on the stove,0.3228
94,a person buying food from a grocery store,0.2935
95,a family enjoying lots of food,0.3143
96,a main street in a small town,0.2913
97,a residential neighborhood in a small town,0.2799
98,birds-eye view of a town,0.2985
99,a couple walking in a town,0.2579
100,a town in a desert climate,0.3032
101,a town with snow everywhere,0.2783
102,a person riding a camel in the desert,0.343
103,a large group of camels walking in a desert,0.3534
104,a person giving water to a camel,0.316
105,a camel eating food near a desert tent,0.3436
106,two camels walking down the street,0.3448
107,a camel walking in a grassy field,0.3286
108,incense burning in a house,0.3317
109,a bundle of incense on a table,0.3308
110,a person holding a bundle of incense,0.3263
111,incense in a stand,0.3231
112,incense inside a box on a table,0.3067
113,incense inside a store,0.3458
114,a crane bird flying above a beautiful pond,0.3064
115,a crane bird sitting on a dock,0.3483
116,a crane bird with a caught fish,0.3065
117,two crane birds on a river,0.3269
118,a person looking at a crane bird,0.3131
119,a crane bird sitting on the side of a bridge,0.2656
120,a large warehouse with lots of boxes,0.2936
121,a large warehouse with lots of produce,0.2919
122,a warehouse with lots of people inside,0.2947
123,a person walking inside a warehouse,0.3013
124,a person driving a forklift inside a warehouse,0.3251
125,a dark abandoned warehouse with broken windows,0.2993
126,a pharmacy in a big city,0.2786
127,a pharmacy with a large parking lot,0.267
128,a person walking inside a pharmacy,0.3164
129,a person talking to a worker inside a pharmacy,0.345
130,a pharmacy with lots of people outside,0.3229
131,a small pharmacy in a rural area,0.3201
132,a shabby old looking gas station,0.286
133,a person getting gas for their car at a gas station,0.2493
134,a small shop next to a gas station,0.3185
135,a small gas station in a dusty desert town,0.3236
136,a very busy gas station with people refueling,0.2941
137,a gas station surrounded by tall city buildings,0.2683
138,a man riding a blue motorcycle,0.2998
139,a woman riding a black motorcycle,0.3176
140,three motorcycles riding on a road,0.3202
141,a person riding a motorcycle on a dirt road,0.3332
142,a person riding a motorcycle in a big city,0.2985
143,a motorcycle sitting in a garage,0.3154
144,two rifles leaning on a wall,0.2877
145,a person holding a rifle in the countryside,0.2801
146,a woman aiming a rifle,0.2648
147,several soldiers holding rifles,0.2598
148,a store selling rifles,0.2909
149,a police officer holding a rifle,0.3125
150,a craftsman weaving a rug,0.3324
151,my local craftsman's newest creation,0.2242
152,a skilled craftsman at work,0.2576
153,an elderly craftsman sharing his wisdom,0.284
154,a talented craftsman from the village,0.2838
155,an innovative craftsman designing jewelry,0.3116
156,my supervisor talking to me,0.2068
157,a new supervisor at the construction site,0.2396
158,a supervisor giving instructions to the team,0.2656
159,a friendly supervisor helping out,0.2319
160,a supervisor in the office breakroom,0.2693
161,a supervisor working at a computer,0.291
162,a glass of cold water on a hot day,0.3257
163,an earthen pot filled with water,0.3358
164,a pitcher filled with water,0.292
165,a vendor selling water bottles,0.3256
166,a jar filled with water on a wooden table,0.3268
167,containers of water at a grocery store,0.2713
168,a colorful festival in the city,0.2967
169,a festival filled with dance and music,0.2869
170,an autumn festival in the town center,0.3046
171,food stalls at a festival,0.2469
172,a festival with lots of people,0.3004
173,a festival in winter,0.2706
174,a checkpoint guarded by armed forces,0.3065
175,a checkpoint on the highway,0.3203
176,a long queue at the toll checkpoint,0.2842
177,a checkpoint at the national border,0.3349
178,a checkpoint with police officers,0.3238
179,a checkpoint with very few cars,0.262
180,an outdoor luncheon with lots of people,0.3003
181,two people having a luncheon,0.2828
182,a company having a luncheon,0.3075
183,a fancy indoor luncheon,0.2475
184,a plant-based luncheon,0.3033
185,a luncheon with lots of salad,0.2797
186,a gambling den hidden away in an alley,0.2967
187,a group of people gambling in a room,0.3063
188,a place of gambling in a big city,0.2627
189,an illegal gambling den,0.2923
190,a place of gambling with lots of people,0.2857
191,a group of people gambling at a table,0.2922
192,a wooden wardrobe filled with clothes,0.3263
193,my grandmother's antique wardrobe,0.2744
194,a painted wardrobe with intricate designs,0.2982
195,a wardrobe storing precious heirlooms,0.3351
196,my personal wardrobe for all my books,0.2929
197,a large wardrobe in the bedroom corner,0.3003
198,a man loading groceries into the car trunk,0.3685
199,a white car with an empty car trunk,0.3265
200,a woman retrieving bags from the car trunk,0.3395
201,a dirty car trunk covered with mud stains,0.3254
202,a mechanic repairing a broken car trunk,0.3136
203,children hiding inside an open car trunk,0.3782
204,a spare tire stored neatly inside the garage,0.3352
205,a mechanic installing a new spare tire,0.3389
206,a dusty spare tire on an old car,0.327
207,a spare tire attached to a blue truck,0.3333
208,a spare tire with mud on its surface,0.309
209,a woman checking air in the spare tire,0.3554
210,a selfie taken with my favorite classmate outside,0.2916
211,a classmate reading quietly in the library,0.2809
212,classmates sitting together during lunch break,0.2927
213,a classmate holding books near the entrance,0.2768
214,classmates gathered around a classroom table,0.2768
215,a classmate standing by a school window,0.3158
