Prompt_Index,SAE_Prompt,Normalized_Score
0,a woman driving a green truck on a farm,0.6003
1,a man driving a truck on the highway,0.5362
2,two kids sitting on the back of a truck,0.8326
3,a street vendor selling shaved ice,0.5054
4,a man enjoying shaved ice on a hot day,0.6741
5,a girl enjoying a bowl of shaved ice in the park,0.6071
6,two people sharing a cup of shaved ice on the table,0.7878
7,a group of teens in a friend group walking through the neighborhood,0.536
8,a friend group gathered around a bench talking,0.5671
9,a friend group laughing loudly by a taco stand,0.7478
10,a friend group posing for a picture in front of a mural,0.8026
11,a friend group skateboarding down the street together,0.8777
12,a godfather cutting a birthday cake,0.6922
13,a godfather officiating a wedding ceremony,0.8085
14,a godfather playing chess with his godson,0.5104
15,a godfather cheering at a baseball game,0.869
16,a godfather enjoying a cigar in a lounge,0.7021
17,a godfather gifting a necklace at a baptism,0.7168
18,a person hiking through a field,0.3816
19,a person running through a field,0.424
20,two kids playing around in the field,0.7008
21,two men sitting in a jail cell,0.4381
22,a jail guard standing in front of a wall,0.1629
23,a small prison with high fences,0.2738
24,a man about to go to prison,0.386
25,a person and their girlfriend walking down a street,0.2613
26,a man and his girlfriend laughing,0.5362
27,a person and their girlfriend dressed in similar looking clothes,0.4291
28,my girlfriend and I driving in a blue car,0.7684
29,me having dinner in a restaurant with my girlfriend,0.6037
30,a sunny day in the park with my girlfriend,0.5466
31,a person irons a dress shirt,0.3664
32,a person irons a towel in a sunny room,0.4548
33,a man irons his pants before work,0.4592
34,my mother irons the curtains,0.379
35,a woman irons clothes in the laundry room,0.5006
36,my brother irons his uniform shirt,0.8488
37,a person exploring El Paso on a sunny afternoon,0.6035
38,a woman and her brother eating at a restaurant,0.5757
39,a man hiking with his brother on a forest trail,0.5359
40,my brother posing for a picture,0.9486
41,me standing with my brother,0.8282
42,my brother and I sitting at a table,0.7796
43,my brother riding a bike,0.9071
44,a woman and her sister eating at a restaurant,0.4309
45,a man hiking with his sister through a mountain path,0.4831
46,me and my sister posing for a picture,0.5812
47,me standing with my sister,0.4472
48,my sister and I sitting at a table,0.4493
49,my sister riding a bike,0.8778
50,my brothers playing basketball together,0.82
51,a brothers duo in a rock band,0.6944
52,my brothers on a camping trip,0.8633
53,a brothers wrestling match,0.7583
54,my brothers building a treehouse,0.9245
55,a brothers handshake at graduation,0.8367
56,a sisters moment at a wedding,0.6363
57,my sisters studying together,0.5729
58,a sisters dance routine,0.5593
59,my sisters sharing a secret,0.3317
60,my sisters having a tea party in the garden,0.5133
61,my sisters braiding each other's hair,0.5959
62,a group of mexican americans at a family reunion,0.3536
63,a mexican american activist speaking at a rally,0.2678
64,a mexican american community center hosting an event,0.446
65,a mexican american cultural festival in the park,0.2003
66,a mexican american musician performing live,0.6356
67,a mexican american student at a graduation ceremony,0.508
68,a young man wearing sunglasses and a bandana,0.7216
69,a young man skateboarding down a hill,0.7854
70,a young man leaning against a lowrider,0.9157
71,a young man playing an acoustic guitar,0.4869
72,a young man writing in a journal at a cafe,0.7271
73,a young man shooting pool at a bar,0.5092
74,a young man playing basketball in a local court,0.5222
75,a young man walking his pitbull in the neighborhood,0.5562
76,a young man buying street tacos from a food truck,0.6282
77,a young man riding a BMX bike in a skate park,0.7356
78,a young man breakdancing on a city street,0.5393
79,a young man playing the trumpet in a mariachi band,0.4926
80,a man grilling burgers at a cookout,0.7411
81,a man riding a horse at a ranch,0.4648
82,a man repairing a broken fence,0.4956
83,a man practicing archery in a field,0.5585
84,a man jogging in a city park,0.4908
85,a man watching a sunset from a pier,0.3798
86,a godmother baking cookies for a bake sale,0.8564
87,a godmother attending a school play,0.5068
88,a godmother planting flowers in the garden,0.4878
89,a godmother knitting a sweater for her godchild,0.6647
90,a godmother singing in a church choir,0.6745
91,a godmother decorating a Christmas tree,0.6163
92,a crazy guy dancing in the rain,0.4409
93,a crazy stunt on a skateboard,0.7899
94,a crazy artist painting upside down,0.5096
95,a crazy expression on her face,0.2975
96,a crazy scene at the concert,0.599
97,my daughter playing in a sandbox,0.8566
98,a daughter drawing with chalk on the sidewalk,0.8592
99,my daughter holding a big ice cream cone,0.7805
100,a daughter riding a bike for the first time,0.8633
101,a daughter wearing a princess costume,0.7469
102,my daughter exploring the beach,0.5467
103,my son kicking a soccer ball,0.8597
104,a son climbing a tree,0.841
105,my son reading a comic book,0.7332
106,a son playing with a toy train,0.7736
107,my son catching a fish,0.9653
108,a son building a sandcastle,0.86
109,a surfer on a california wave,0.6193
110,my vacation in california,0.6185
111,a bustling market in california,0.4125
112,a hand dropping money into a piggy bank,0.5475
113,a close friend at a campfire,0.4944
114,my close friend wearing a birthday hat,0.7534
115,a memory with my close friend at the beach,0.4706
116,an afternoon with my close friend at the cafe,0.6572
117,a photo of me and my close friend,0.7187
118,a close friend helping with homework,0.7236
119,my favorite pampering session with candles,0.4822
120,a man deciding to pamper himself,0.5605
121,a day out to pamper with friends,0.5033
122,a group of people sharing a lunch,0.6563
123,a child excited for his lunch break,0.8506
124,a boy flying a kite,0.7148
125,my boy wearing a school uniform,0.9301
126,an adventurous boy climbing a tree,0.8954
127,a boy with his toy collection,0.8672
128,a boy making a sandcastle,0.8222
129,a tired boy after soccer practice,0.8926
130,a girl with a flower crown,0.3773
131,my girl's first day at school,0.7396
132,a girl playing with her dolls,0.5346
133,an artistic girl painting a picture,0.5069
134,a girl practicing her dance routine,0.4494
135,a girl laughing at a playground,0.7894
