Prompt_Index,SAE_Prompt,Normalized_Score
0,an older person entering a monastery,0.488
1,a monastery with a crowd of people outside,0.6204
2,a person holding a bottle of champagne,0.2263
3,a person pouring champagne into a glass,0.5306
4,a midwife in a hospital,0.4296
5,a midwife walking into a house,0.0452
6,a woman in a bed with a midwife next to it,0.5552
7,a midwife talking with a doctor,0.4469
8,a midwife holding a bottle of medicine,0.0114
9,a midwife talking with a nurse,0.1805
10,a medical practitioner sitting at a table outside,0.0418
11,two medical practitioners in a conference room,0.4425
12,a medical practitioner walking in a park,0.3836
13,the medical practitioner talking with a patient in a room,0.4433
14,a medical practitioner standing outside a building,0.0912
15,a medical practitioner talking with a nurse,0.3348
16,people standing outside a temple,0.1443
17,a well-dressed person in front of a temple,0.174
18,a family in front of a temple,0.3969
19,an old temple with lots of people,0.1048
20,a barber cutting a man's hair,0.6497
21,a barber cutting a woman's hair,0.5719
22,a friendly local barber,0.2986
23,a child getting his hair cut by a barber,0.9005
24,three people in a barber shop,0.6147
25,officers working inside a police station,0.382
26,a person standing outside a police station,0.017
27,a person talking to an officer inside a police station,0.1848
28,two officers speaking to an arrested person in a police station,0.6088
29,a boy standing with his father,0.7017
30,a girl standing with her father near the school gate,0.6709
31,a man hiking with his father,0.1484
32,a woman in a car with her father,0.3571
33,a woman walking with her father and a dog,0.2536
34,a man sitting at a table with his father,0.0229
35,people relaxing under a veranda,0.3459
36,two people walking through a river-bed,0.6363
37,a queen sitting on a throne,0.3081
38,a queen making a speech,0.6363
39,a queen in a palace,0.8919
40,a queen sitting at a banquet,0.776
41,a queen in a garden surrounded by blooming flowers,0.3909
42,a queen riding in a large car,0.8271
43,eggplant being sliced,0.0865
44,a person eating food,0.0878
45,a couple enjoying food at a restaurant,0.3972
46,a person cooking food on the stove,0.3455
47,a person buying food from a grocery store,0.5253
48,a family enjoying lots of food,0.8486
49,a couple walking in a town,0.2039
50,a person riding a camel in the desert,0.3467
51,a person giving water to a camel,0.8448
52,a person holding a bundle of incense,0.2697
53,a person looking at a crane bird,0.2352
54,a warehouse with lots of people inside,0.6619
55,a person walking inside a warehouse,0.5959
56,a person driving a forklift inside a warehouse,0.7021
57,a person walking inside a pharmacy,0.7481
58,a person talking to a worker inside a pharmacy,0.2561
59,a pharmacy with lots of people outside,0.6157
60,a person getting gas for their car at a gas station,0.5976
61,a very busy gas station with people refueling,0.2271
62,a man riding a blue motorcycle,0.2359
63,a woman riding a black motorcycle,0.1167
64,three motorcycles riding on a road,0.1415
65,a person riding a motorcycle on a dirt road,0.3236
66,a person riding a motorcycle in a big city,0.1964
67,a person holding a rifle in the countryside,0.0555
68,a woman aiming a rifle,0.0945
69,several soldiers holding rifles,0.2306
70,a police officer holding a rifle,0.113
71,a craftsman weaving a rug,0.0662
72,a skilled craftsman at work,0.6736
73,an elderly craftsman sharing his wisdom,0.6441
74,a talented craftsman from the village,0.636
75,an innovative craftsman designing jewelry,0.1291
76,my supervisor talking to me,0.5722
77,a new supervisor at the construction site,0.7714
78,a supervisor giving instructions to the team,0.7062
79,a friendly supervisor helping out,0.3548
80,a supervisor in the office breakroom,0.0847
81,a supervisor working at a computer,0.3345
82,a vendor selling water bottles,0.6007
83,a colorful festival in the city,0.8532
84,a festival filled with dance and music,0.6161
85,an autumn festival in the town center,0.2731
86,food stalls at a festival,0.5254
87,a festival with lots of people,0.858
88,a festival in winter,0.268
89,a checkpoint guarded by armed forces,0.491
90,a checkpoint on the highway,0.7665
91,a long queue at the toll checkpoint,0.6822
92,a checkpoint at the national border,0.6099
93,a checkpoint with police officers,0.5549
94,a checkpoint with very few cars,0.6962
95,an outdoor luncheon with lots of people,0.6618
96,two people having a luncheon,0.7369
97,a company having a luncheon,0.7238
98,a fancy indoor luncheon,0.3458
99,a plant-based luncheon,0.9174
100,a luncheon with lots of salad,0.7533
101,a gambling den hidden away in an alley,0.1301
102,a group of people gambling in a room,0.2285
103,a place of gambling in a big city,0.6643
104,an illegal gambling den,0.0719
105,a place of gambling with lots of people,0.4633
106,a group of people gambling at a table,0.3271
107,a man loading groceries into the car trunk,0.3534
108,a white car with an empty car trunk,0.6075
109,a woman retrieving bags from the car trunk,0.6188
110,a dirty car trunk covered with mud stains,0.1206
111,a mechanic repairing a broken car trunk,0.4879
112,children hiding inside an open car trunk,0.6702
