Prompt_Index,SAE_Prompt,Normalized_Score
0,a little boy playing with a yoyo,0.8556
1,a little girl playing with a toy car,0.6126
2,a little baby wrapped in a blanket,0.7446
3,a man driving his car,0.7421
4,a woman driving her blue car,0.5724
5,a man driving a new car on the freeway,0.4952
6,a man in front of his house,0.464
7,a woman in front of her house,0.3461
8,a family in front of their new house,0.757
9,a retiree and her one story house with a flower garden,0.694
10,a man holler at a girl across the street,0.6302
11,a man holler at a woman near the bus stop,0.5568
12,a man holler at a woman walking past him,0.261
13,a man holler at his close friend from the balcony,0.3678
14,a loud holler from the audience during the show,0.7028
15,she heard a holler from across the street,0.5766
16,me and my close friend hanging out at a cafe,0.7407
17,my close friend talking on the phone,0.3501
18,my close friend waiting outside the store,0.6758
19,me and my close friend eating together at lunch,0.7253
20,a close friend from childhood playing video games together,0.5429
21,a close friend with a skateboard,0.7778
22,me and my friends hanging out after school,0.6123
23,me and my friends at a restaurant,0.6403
24,taking a selfie with my friends,0.6875
25,me and my friends hanging out at a cafe,0.8557
26,my friends hanging out at the park,0.6241
27,a group of friends in matching shirts,0.7755
28,an old grandma in front of a new england style house,0.5534
29,my grandmother and my dad,0.6063
30,my grandmother with my mom,0.5527
31,my grandmother and her cat,0.7988
32,a grandma knitting a sweater,0.6258
33,a grandma baking cookies,0.7415
34,a picture of my lover smiling at the beach,0.2389
35,me and my lover holding hands at sunset,0.1467
36,my lover posing in a botanical garden,0.6301
37,my lover drinking coffee,0.4226
38,a lover holding a bouquet of roses,0.3494
39,a lover taking a selfie,0.6986
40,a man paying money to the cashier,0.5083
41,a woman paying money to the shopkeeper,0.1611
42,a man wearing sneakers,0.8007
43,a girl wearing white leather sneakers,0.6478
44,a man aiming his gun,0.182
45,a man aiming his gun in a dark alley,0.2077
46,a woman firing her gun at the target,0.1014
47,a soldier carrying a gun,0.1366
48,a man wearing cool clothes,0.4523
49,a woman wearing cool clothes,0.3896
50,a man wearing minimalist clothes,0.433
51,a woman wearing vintage clothes,0.3731
52,a man wearing dental jewelry over the teeth,0.7013
53,a rapper with dental jewelry,0.5026
54,a man wearing green dental jewelry,0.6707
55,a woman wearing dental jewelry with a confident smile,0.6731
56,a rapper showing off his dental jewelry,0.6767
57,gold dental jewelry on a smiling face,0.2684
58,a woman driving her convertible car,0.6535
59,a man driving his convertible car on the hilly road,0.4195
60,two people riding in a convertible car,0.5959
61,a man driving a sporty convertible car,0.7229
62,a grandpa wearing a baseball cap,0.7727
63,a woman wearing an orange cap,0.4976
64,a man wearing a red cap,0.7605
65,a man with a blue cap,0.7066
66,a boy wearing a cap matching his outfit,0.9161
67,a man looking at his reflection in a mirror,0.5787
68,a woman looking at her reflection in a mirror,0.3142
69,a couple looking at their reflection in a mirror,0.6911
70,a man holding his gun,0.2913
71,a woman holding a large gun,0.3439
72,a couple of soldiers with guns,0.3245
73,a group of people with guns,0.3053
74,a man wearing a gold necklace,0.3539
75,a woman wearing a gold necklace,0.1975
76,a man wearing a rose gold necklace,0.501
77,some gold necklaces around the neck,0.4948
78,a man wearing a dark gray necklace,0.1936
79,a woman driving a car,0.6242
80,a guy riding in a car,0.8074
81,a group of friends in a car,0.7735
82,a person firing a gun,0.1455
83,a man aiming a gun at a target,0.2849
84,a person firing a small gun,0.243
85,a woman aiming a gun,0.1851
86,a policeman shooting a gun,0.3036
87,two people enjoying tasty food,0.5523
88,a man enjoying tasty food,0.245
89,a woman buying tasty food,0.3895
90,walking through the bland suburban neighborhood,0.4178
91,kids playing in the neighborhood,0.5737
92,a cashier counting the money from the customer,0.555
93,a woman getting money from her checking account at the ATM,0.5647
94,the foodtruck worker getting money from the customer for the purchase,0.7055
95,a man paying back his friend the money for the coffee,0.5747
96,a rich businessman showing off a large stack of bills,0.6541
97,hanging out with my close friends,0.6847
98,hanging out with my close friends at a cafe,0.6968
99,studying with my close friends at a library,0.7561
100,me and my close friends gathered for a barbecue,0.6621
101,a group picture with close friends at the beach,0.5042
102,going on a road trip with my close friends,0.5652
103,spending time with my lover at home,0.6743
104,getting stuff from the grocery store with my lover,0.4576
105,a woman and her lover at a fancy restaurant,0.5314
106,a man and his lover on a flight,0.6831
107,me holding hands at the movie with my lover,0.3072
108,me and my lover sharing an umbrella in the rain,0.1563
109,me and my close friend hiking in the mountains,0.5084
110,a woman and her close friend getting coffee,0.3768
111,a man and his close friend walking a golden retriever,0.5975
112,me and my close friend playing video games on the television,0.3909
113,my close friend helping me with a move,0.844
114,my close friend riding a skateboard,0.8122
115,my close friend from the neighborhood,0.6391
116,me and my close friend in front of a big house,0.431
117,an evening hanging out with my close friend,0.7219
118,me and my close friend eating at a cafe,0.7669
119,my go-to close friend for advice,0.7519
120,a heart-to-heart with my oldest close friend,0.4817
121,a summer day causing some serious hair frizziness,0.5484
122,my hair frizziness on full display in the humidity,0.7352
123,a struggle to manage the morning hair frizziness,0.5338
124,hair frizziness making a statement today,0.6975
125,my natural hair frizziness showing its beauty,0.6134
126,two people with visible hair frizziness in their hair,0.4955
127,flashy jewelry that caught everyone's eye at the party,0.3627
128,my flashy jewelry representing my style,0.5942
129,an outfit completed with some serious flashy jewelry,0.4867
130,a statement made with just the right flashy jewelry,0.2861
131,my outfit for the club tonight,0.2062
132,an outfit that screams confidence,0.3699
133,an outfit that looks like it's from a Korean drama,0.1474
134,my go-to outfit for first dates,0.4033
135,a breezy summer outfit for hot days,0.263
136,a new outfit for a cold snowy winter in a big city,0.1937
137,a new pair of glasses to change my look,0.4168
138,a pair of black round glasses worn by a man,0.3498
139,a pair of modern glasses worn by a woman,0.3698
140,my stylish glasses with the gold frame,0.612
141,my friend holding her pair of glasses,0.4508
142,my first tattoo on my forearm,0.4121
143,a tattoo representing my journey,0.5871
144,a tattoo artist known for intricate designs,0.4456
145,a tattoo on a woman's neck,0.343
146,a tattoo on a man's leg,0.5485
147,a dreamy design for my next tattoo,0.3934
148,my dreadlocks reaching my shoulders now,0.4994
149,a new style for my dreadlocks this summer,0.4416
150,taking care of my dreadlocks with essential oils,0.2672
151,two people with long dreadlocks sitting on a bench,0.2892
152,my dreadlocks tied up in a bun,0.3339
153,my dreadlocks reaching down to my waist,0.5787
