Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,"An image of a transparent plastic cup containing teh tarik, a traditional Malaysian pulled tea. The tea is foamy at the top due to the pulling process, with a rich color gradient ranging from a deep amber at the bottom to a light creamy color on the top. There might be some droplets on the outside of the cup due to condensation.",a plastic cup with milk tea,0.2668
1,"An image of a cup filled with frothy Teh Tarik. The cup is situated on a wooden table. The table surface is slightly uneven, resulting in beautiful patterns of light and shadow. The tea in the cup shows a rich gradient from dark brown at the bottom to a creamy froth at the top, indicative of the vigorous 'pulling' process typical of making Teh Tarik. The edges of the cup are slightly worn showing signs of frequent use, and the cup has a gentle steam rising from it, suggesting that the tea is freshly made and piping hot.",a cup of milk tea on a table,0.2645
2,"A setting of a bustling shop scene focused on selling Teh Tarik, a traditional milk tea beverage popular in Southeast Asia. The shop is adorned with elements pleasing to the sight - wooden signage giving the shop's name, vibrant clay teapots perched on shelves and a large window where passers-by can witness the dramatic 'pulling' process of the tea. A South Asian man is diligent at work, skillfully 'pulling' the tea from a teapot into a tin cup to an impressive height to create a frothy top, all the while displaying an air of mastery and pride in his technique. A number of diverse customers of varying age groups and genders, eagerly waiting to get their hands on their steaming cup of tea. Some are chatting animatedly, some looking at the shop's menu, and some just enjoying the live spectacle of the tea making process.",a shop selling milk tea,0.2715
3,"A South Asian man skillfully pulls a long stream of tea between two vessels, engaging in the traditional method of serving 'teh tarik' or pulled tea. He is outfitted in casual attire, his face showing a look of focus and satisfaction. The warm brown color of the frothy, piping hot tea contrasts the bright stainless steel cups and the simple, calmly colored background. Foam forms at the top of the cup as the rhythm of pouring the tea back and forth creates a comforting, familiar scene.",a man drinking milk tea,0.2535
4,"Detail rendering of a South Asian woman sitting at an outdoor caf̩ in the early morning. She's savoring a traditional frothy pull tea, also known as 'Teh Tarik'. She has an air of contentment as she gazes out into the distance. The tea looks creamy and rich, being served in a classic ceramic mug. Steam rises delicately from the top, the woman's fingers delicately holding the handle. The background depicts a bustling street, filled with diverse urban life capturing the essence of a multicultural city.",a woman drinking milk tea,0.2867
5,"Three cups of Teh Tarik, a popular Malaysian hot milk tea beverage, rest on a counter. The cups are white porcelain with small handles, and steam wafts from each of them, hinting at the fresh brew inside. The counter is made of polished wood which reflects the cups and adds a rustic charm. Minute details such as the froth on the tea, its creamy color and the reflection of ambient light on the cups, emphasize a cozy atmosphere.",three cups of milk tea on the counter,0.2511
6,"An image of a Middle-Eastern male and a Caucasian female sitting at a wooden table. They both are sipping on a hot beverage, specifically kopi, a type of traditional coffee from Southeast Asia. The couple is engaged in conversation whilst enjoying their drink, with faint hints of steam rising from their mugs. The ambiance is comfortable and homely, with dim, warm lighting overhead and an array of other cutlery and dishes slightly off-focus in the vicinity.",a couple sitting at a table both with coffee,0.305
7,"A Middle-Eastern man in smart casual attire reaching over a glossy, high-tech counter to accept a steaming cup of kopi from a barista. The cafe exhibits the aura of modernity, with burnished steel appliances and swanky neon lighting adding to its trendy atmosphere. On the barista's side is an advanced espresso machine, bags of specialty coffee beans lines a shelf, and a collection of unique mugs hanging from the ceiling. The cafe is buzzing with chatter, serving as a social hub for local residents and visitors alike.",a man getting coffee from a modern cafe,0.2994
8,"Picture a beautifully aged wooden table, with a delicate sheen reflecting the soft overhead light. At the center, a warming cup of kopi subtly steaming, its complex aroma inviting the senses. Next to it, a plate is holding a delectable slice of cake, with a balanced dusting of powdered sugar on top. The icing delicately drips down the side while the fork next to it, remains ready for the first indulgent bite. In the background, soft bokeh lights create a cozy ambiance, completing this serene coffee break scene.",a table with a cup of coffee and a slice of cake,0.2873
9,"Show an artistic rendition of a daily, jovial scene in Southeast Asia. Specifically, two distinct characters, a Middle-Eastern man and a Black woman, are standing in front of a rustic local stall. They are in the process of purchasing traditional kopi, a unique blend of coffee popular in this region. The wooden stall is adorned with canisters, machines, and other utensils used to prepare the well-loved beverage. It's possible to smell the aroma by just looking at it. The environment is bustling but friendly, amplifying the joy of this simple ritual.",two people getting coffee from a stall,0.2728
