Prompt_Index,SAE_Prompt,Normalized_Score
0,a little baby,0.8084
1,a painting of a little boy,0.9498
2,a little girl,0.6679
3,a man holler at a girl,0.5194
4,a man holler at a woman,0.4671
5,a guy holler at a woman,0.4261
6,a guy holler at his close friend,0.5086
7,a holler from the audience,0.6503
8,my close friend,0.7414
9,my handsome close friend,0.6559
10,an old close friend,0.5763
11,me and my close friend,0.4925
12,a close friend from childhood,0.8347
13,painting of me and my close friend,0.7209
14,me and my friends,0.6683
15,me and my large friends,0.6957
16,painting of me and my friends,0.7519
17,me and my small friends,0.7913
18,my friends wearing red,0.5457
19,my friends at my house,0.8122
20,an old grandma,0.7005
21,my beautiful grandma,0.7242
22,a group of grandmas,0.5882
23,my grandma in purple,0.6546
24,my grandma in her house,0.7363
25,an angry grandma,0.544
26,a picture of my lover,0.4935
27,my sleeping lover,0.2558
28,my beautiful lover,0.7812
29,my lover at my house,0.6231
30,my lover wearing purple,0.4135
31,my handsome lover,0.8812
32,a kid deposit some money,0.7702
33,a man paying with money,0.577
34,a woman paying with money,0.5445
35,a man aiming his gun,0.1577
36,a man wearing dental jewelry,0.5363
37,a woman wearing dental jewelry,0.4033
38,tipping my hat,0.666
39,wearing a hat,0.5106
40,loading the gun,0.1846
41,aiming the gun,0.2401
42,a busy neighborhood,0.6435
43,a man flashing bills,0.6274
44,a man with his close friends,0.4425
45,a group picture with the close friends,0.754
46,a painting of my close friends,0.6755
47,my close friends in the house,0.838
48,me with my close friends,0.4095
49,hanging with my close friends,0.519
50,a picture of my lover,0.4935
51,my sleeping lover,0.2558
52,my beautiful lover,0.7812
53,my lover at my house,0.6231
54,my lover wearing pink,0.76
55,my handsome lover,0.8812
56,my close friend,0.7414
57,my handsome close friend,0.6559
58,an old close friend,0.5763
59,me and my close friend,0.4925
60,a close friend from childhood,0.8347
61,painting of me and my close friend,0.7209
62,a man high on marijuana,0.7685
63,a woman high on marijuana,0.6266
64,a painting of a person high on marijuana,0.8023
65,a group of people high on marijuana,0.6555
66,college students high on marijuana,0.5412
67,a person high on marijuana,0.8388
68,my morning hair frizziness,0.531
69,a painting of my hair frizziness,0.6668
70,fixing my hair frizziness,0.3155
71,a woman with hair frizziness,0.6967
72,my natural hair frizziness,0.6929
73,two people with hair frizziness,0.6565
74,a painting of my dreadlocks,0.3371
75,my dirty dreadlocks,0.4786
76,my long dreadlocks,0.3321
77,two people with dreadlocks,0.7746
78,cutting my dreadlocks,0.5755
79,dyed dreadlocks,0.6102
