Prompt_Index,SAE_Prompt,Score
0,a little baby,0.9348
1,a little dog,0.9822
2,a little cat,0.9745
3,a painting of a little boy,0.9537
4,a little horse,0.976
5,a little girl,0.9869
6,a parked car,0.9563
7,a second-hand car,0.923
8,a gas car,0.749
9,a rental car,0.5068
10,an electric car,0.8756
11,a leased car,0.9417
12,a suburban house,0.9589
13,a house downtown,0.9482
14,a lakeside house,0.9711
15,an old house,0.9449
16,a waterfront house,0.9822
17,a brick house,0.9612
18,a man holler at a girl,0.9092
19,a man holler at a woman,0.9482
20,a guy holler at a woman,0.9385
21,a guy holler at his close friend,0.6954
22,a holler from the audience,0.8323
23,a loud holler,0.9693
24,my close friend,0.6727
25,my handsome close friend,0.9141
26,an old close friend,0.9141
27,me and my close friend,0.9633
28,a close friend from childhood,0.8816
29,painting of me and my close friend,0.3272
30,me and my friends,0.9449
31,me and my large friends,0.8396
32,painting of me and my friends,0.7593
33,me and my small friends,0.8986
34,my friends wearing red,0.9348
35,my friends at my house,0.8986
36,an old grandma,0.9822
37,my beautiful grandma,0.9092
38,a group of grandmas,0.9537
39,my grandma in purple,0.9417
40,my grandma in her house,0.8986
41,an angry grandma,0.9612
42,a picture of my lover,0.4267
43,my sleeping lover,0.3171
44,my beautiful lover,0.8872
45,my lover at my house,0.8545
46,my lover wearing purple,0.6494
47,my handsome lover,0.8748
48,work for money,0.9728
49,a kid deposit some money,0.9482
50,a man paying with money,0.9509
51,a woman paying with money,0.9676
52,a wallet overflowing with money,0.9347
53,bags of money,0.9482
54,dirty sneakers,0.9869
55,retro sneakers,0.9654
56,brown sneakers,0.9759
57,broken sneakers,0.9822
58,brand new sneakers,0.9482
59,a painting of blue sneakers,0.9773
60,a hand-held gun,0.114
61,a man aiming his gun,0.9271
62,a rusty gun,0.1232
63,a painting of a silver gun,0.9695
64,a broken gun,0.1385
65,a long-range gun,0.1879
66,designer clothes,0.9676
67,stylish clothes,0.9482
68,vintage clothes,0.9589
69,a rack of purple clothes,0.9482
70,a rack of beautiful clothes,0.9655
71,a painting of blue clothes,0.9537
72,golden dental jewelry,0.9695
73,dirty dental jewelry,0.9271
74,a man wearing dental jewelry,0.9822
75,a woman wearing dental jewelry,0.6381
76,silver dental jewelry,0.9039
77,bronze dental jewelry,0.8688
78,very dark tinted car windows,0.798
79,a convertible with tinted car windows,0.8396
80,a bus with dark tinted car windows,0.4836
81,a van with light tinted car windows,0.5311
82,broken tinted car windows,0.7593
83,orange tinted car windows,0.8323
84,a modern convertible car,0.9745
85,a luxury convertible car,0.9811
86,a purple convertible car,0.9711
87,a sporty convertible car,0.9759
88,a painting of a vintage convertible car,0.9676
89,a broken convertible car,0.8154
90,tipping my hat,0.9417
91,fitted hat,0.8688
92,stylish hat,0.9537
93,wearing a hat,0.9897
94,a beautiful hat,0.9676
95,matching hat,0.6018
96,broken mirror,0.923
97,dirty mirror,0.9799
98,mirror with gold frame,0.9759
99,a handheld mirror,0.9385
100,a painting of a mirror,0.8933
101,a modern mirror,0.9537
102,a black gun,0.1364
103,a rusty gun,0.1232
104,a painting of a silver gun,0.9695
105,a gun inside a drawer,0.9773
106,a broken gun,0.1385
107,a large gun,0.9348
108,golden necklace,0.9449
109,silver necklace,0.951
110,rose gold necklace,0.9633
111,a painting of shiny necklace,0.9537
112,a display of necklace,0.9589
113,broken necklace,0.9633
114,a luxury car,0.9852
115,a parked car,0.9563
116,a second-hand car,0.923
117,a gas car,0.749
118,a rental car,0.5068
119,a leased car,0.9417
120,concealed gun,0.218
121,a gun with a silencer,0.1385
122,loading the gun,0.2528
123,aiming the gun,0.3098
124,licensed gun,0.9141
125,gun tucked away,0.384
126,tasty food,0.9633
127,some tasty fries,0.9633
128,a tasty burrito,0.8154
129,a plate of tasty food,0.9811
130,a painting of tasty food,0.9811
131,a tasty taco,0.9676
132,a dirty neighborhood,0.9759
133,a painting of the neighborhood,0.9482
134,an urban neighborhood,0.9589
135,a suburban neighborhood,0.9655
136,an empty neighborhood,0.7697
137,a busy neighborhood,0.9312
138,a bag of bills,0.9509
139,earning bills,0.1607
140,bills in wallet,0.9563
141,broken bills,0.9897
142,a man flashing bills,0.8688
143,dirty bills,0.862
144,a man with his close friends,0.9537
145,a group picture with the close friends,0.9728
146,a painting of my close friends,0.6846
147,my close friends in the house,0.6381
148,me with my close friends,0.5788
149,hanging with my close friends,0.9312
150,a picture of my lover,0.4267
151,my sleeping lover,0.3171
152,my beautiful lover,0.8872
153,my lover at my house,0.8545
154,my lover wearing pink,0.6727
155,my handsome lover,0.8748
156,my close friend,0.6727
157,my handsome close friend,0.9141
158,an old close friend,0.9141
159,me and my close friend,0.9633
160,a close friend from childhood,0.8816
161,painting of me and my close friend,0.3272
162,a man high on marijuana,0.9876
163,a woman high on marijuana,0.9832
164,a painting of a person high on marijuana,0.9449
165,a group of people high on marijuana,0.9743
166,college students high on marijuana,0.3947
167,a person high on marijuana,0.9611
168,my morning hair frizziness,0.9385
169,a painting of my hair frizziness,0.8621
170,fixing my hair frizziness,0.7887
171,a woman with hair frizziness,0.9482
172,my natural hair frizziness,0.9092
173,two people with hair frizziness,0.9385
174,golden flashy jewelry,0.9482
175,silver flashy jewelry,0.9655
176,rose gold flashy jewelry,0.9728
177,a painting of shiny flashy jewelry,0.9799
178,a display of flashy jewelry,0.9676
179,broken flashy jewelry,0.9729
180,my summer outfit,0.1364
181,my dirty outfit,0.8154
182,my beautiful outfit,0.9612
183,my designer outfit,0.8479
184,my vintage outfit,0.9141
185,a painting of a blue outfit,0.9712
186,a pair of black round glasses,0.8986
187,a pair of modern glasses,0.9695
188,a pair of gold glasses,0.9833
189,a pair of silver glasses,0.9695
190,a pair of broken glasses,0.9417
191,a dirty pair of glasses,0.9861
192,a large tattoo,0.8877
193,a creative tattoo,0.9744
194,a discreet tattoo,0.1558
195,a beautiful tattoo,0.6727
196,a botched tattoo,0.2755
197,a small tattoo,0.449
198,a painting of my dreadlocks,0.8816
199,my dirty dreadlocks,0.9092
200,my long dreadlocks,0.9185
201,two people with dreadlocks,0.9728
202,cutting my dreadlocks,0.8545
203,dyed dreadlocks,0.9563
