Prompt_Index,SAE_Prompt,Score
0,a painting of milk tea,0.2821
1,a photo of milk tea,0.2687
2,selling milk tea,0.2414
3,a large milk tea,0.2702
4,a small milk tea,0.2584
5,milk tea on a counter,0.2252
6,coffee on a table,0.2827
7,coffee on a counter,0.288
8,a painting of coffee,0.3387
9,two people getting coffee,0.2897
10,a man buying coffee,0.2718
11,a woman with coffee,0.2939
12,a painting of a red packet,0.2988
13,two red packets on a table,0.3531
14,a red packet on a counter,0.3398
15,a person holding a red packet,0.3214
16,a red packet on the ground,0.326
17,a child holding a red packet,0.3432
18,a painting of squid,0.315
19,squid on a table,0.3189
20,a squid in a market,0.3501
21,a squid in an aquarium,0.3028
22,a squid on a counter,0.3438
23,squid in a box,0.3127
24,a person getting takeout,0.265
25,takeout on a table,0.2835
26,takeout from the food truck,0.2734
27,let's get some food takeout,0.2615
28,chinese food takeout,0.2839
29,a couple getting food takeout,0.2985
30,a businessman with a grasping and selfish attitude,0.2807
31,a leader with a grasping and selfish attitude,0.2128
32,a student with a grasping and selfish attitude,0.2683
33,a parent with a grasping and selfish attitude,0.2192
34,a businesswoman with a grasping and selfish attitude,0.2631
35,a politician with a grasping and selfish attitude,0.2331
36,a bored cat,0.2782
37,a bored woman,0.2373
38,a bored worker,0.2612
39,a child bored,0.2773
40,a bored dog,0.2698
41,a bored man,0.2713
42,a relaxing dog,0.2881
43,people relaxing on a beach,0.3051
44,people relaxing on a coach,0.2729
45,a couple relaxing in a park,0.3381
46,a cat relaxing,0.2941
47,a relaxing setting,0.2337
48,a person gesturing yes,0.2323
49,a person answering yes,0.2074
50,a worker gesturing yes,0.2653
51,a student gesturing yes,0.2591
52,a woman gesturing yes,0.2652
53,a man gesturing yes,0.2352
54,a student saving a table,0.2724
55,a man saving a table,0.2387
56,a woman saving a table,0.3315
57,a group saving a table,0.2948
58,saving a table at a cafe,0.2556
59,saving a table with a napkin,0.2752
60,a counter with tasty things,0.2802
61,a painting of something that is very tasty,0.2737
62,a table with very tasty stuff,0.2743
63,a photo of something that is tasty,0.2555
64,something tasty,0.2406
65,a person enjoying something that is tasty,0.2711
66,a high class clothing store,0.2819
67,a high class party,0.2878
68,a painting of something that is high class,0.27
69,a high class restaurant,0.2959
70,a high class car,0.2714
71,a high class house,0.2944
72,a secluded beach,0.283
73,a secluded street,0.3019
74,a secluded trail,0.2822
75,a secluded locale,0.2648
76,a secluded house,0.3072
77,a secluded town,0.2918
78,a woman eating noodles,0.3318
79,a painting of someone eating,0.2754
80,a person eating a salad,0.3039
81,a man eating a taco,0.313
82,people eating,0.2927
83,a man eating a burrito,0.3184
84,a family redecorates their house,0.2501
85,a worker redecorates her office space,0.2888
86,a couple redecorate their garage,0.2991
87,a woman redecorates her room,0.2811
88,a man redecorates his desk,0.295
89,a person redecorates their kitchen,0.3034
90,a tall girl,0.2261
91,a girl buying a computer,0.2719
92,a girl hiking,0.2581
93,a girl,0.2622
94,a girl in a city,0.2834
95,a painting of a girl,0.2895
96,a mobile phone on a table,0.2816
97,a woman holding a mobile phone,0.3034
98,a mobile phone on the ground,0.2655
99,a man with a mobile phone,0.247
100,a painting of a mobile phone,0.3248
101,a mobile phone on a lawn,0.3059
102,a loan shark handling cash,0.2575
103,a loan shark carrying a knife,0.2882
104,a loan shark holding a bag,0.3193
105,a loan shark,0.2459
106,a loan shark talking to someone,0.2422
107,a loan shark spray painting,0.2194
108,a man at a coffee shop,0.2744
109,a woman at a coffee shop,0.2904
110,buying something at a coffee shop,0.2422
111,a coffee shop,0.2565
112,a modern coffee shop,0.2984
113,an old coffee shop,0.285
114,a painting of a handsome male,0.3109
115,a handsome male buying food,0.2782
116,a handsome male walking,0.2496
117,a photo of a handsome male,0.2614
118,a handsome male,0.2496
119,a handsome male at a gym,0.2767
120,a man studying for finals,0.2764
121,a woman studying at home,0.2778
122,a child busy studying,0.3095
123,a group of people studying,0.3025
124,an older person studying,0.3065
125,studying at a table,0.245
126,a man being a third wheel,0.2933
127,a woman being a third wheel,0.2858
128,a third wheel sitting with a couple,0.2647
129,a person feeling like a third wheel,0.2626
130,scene with an awkward third wheel,0.2523
131,a young third wheel,0.2474
132,a painting of black tea,0.286
133,tea in a store,0.2875
134,a container with tea,0.284
135,a tea shop in a city,0.288
136,white tea,0.2937
137,a jar with dry tea,0.3516
138,a plate of stir-fried rice noodles,0.2944
139,a bowl of stir-fried rice noodles,0.3047
140,a painting of stir-fried rice noodles,0.3309
141,stir-fried rice noodle with vegetables,0.3104
142,stir-fried rice noodles with fruit,0.253
143,two plates of stir-fried rice noodles,0.308
144,a traditional Chinese physician and a man,0.2784
145,a traditional Chinese physician and a woman,0.3163
146,a painting of a traditional Chinese physician,0.2621
147,a traditional Chinese physician,0.3099
148,a traditional Chinese physician with two people,0.2998
149,a traditional Chinese physician sitting,0.3332
150,a large food court,0.3294
151,a couple at a food court,0.3008
152,a modern food court,0.2926
153,an older food court,0.3056
154,a person at a food court,0.2754
155,a busy food court,0.3158
156,litter thrown from a high-rise building falling,0.2466
157,litter thrown from a high-rise building from window,0.3079
158,a sign about litter thrown from a high-rise building,0.3664
159,a painting of litter thrown from a high-rise building,0.2528
160,a person avoiding litter thrown from a high-rise building,0.3197
161,a person nearly hit by litter thrown from a high-rise building,0.251
162,a man holding a hoe,0.299
163,a hoe on a shelf,0.2552
164,a painting of a hoe,0.3031
165,an old hoe,0.2515
166,a new hoe,0.2287
167,a hoe leaning on a wall,0.25
168,a spicy stir-fried crab on a table,0.2917
169,a family enjoying spicy stir-fried crab,0.3735
170,two plates of spicy stir-fried crab,0.2705
