Prompt_Index,SAE_Prompt,Score
0,an old monastery in the village square,0.3076
1,a monastery on a grassy hill with trees,0.3271
2,an older person entering a monastery,0.3333
3,a monastery in an old city center,0.2873
4,a monastery with a crowd of people outside,0.305
5,an old monastery in a dark misty forest,0.3423
6,a bottle of champagne on a wooden table,0.3124
7,champagne on a shelf in a grocery store,0.3351
8,champagne and two glasses on a table outside,0.2997
9,champagne in a glass on a table,0.301
10,a person holding a bottle of champagne,0.2904
11,a person pouring champagne into a glass,0.3013
12,a midwife in a hospital,0.2899
13,a midwife walking into a house,0.318
14,a woman in a bed with a midwife next to it,0.2842
15,a midwife talking with a doctor,0.287
16,a midwife holding a bottle of medicine,0.3077
17,a midwife talking with a nurse,0.3093
18,a medical practitioner sitting at a table outside,0.3105
19,two medical practitioners in a conference room,0.3002
20,a medical practitioner walking in a park,0.3518
21,the medical practitioner talking with a patient in a room,0.3023
22,a medical practitioner standing outside a building,0.3076
23,a medical practitioner talking with a nurse,0.2996
24,two windows covered with bamboo blinds,0.3281
25,a living room with windows covered with bamboo blinds,0.3195
26,a kitchen with a window covered with bamboo blinds,0.3317
27,a living room window covered with rolled-up bamboo blinds,0.3427
28,a doorway with bamboo blinds covering it,0.3382
29,a window with rolled up bamboo blinds,0.3282
30,a mountain pass with lots of pine trees,0.3001
31,a narrow mountain pass covered in snow and pine trees,0.3156
32,a mountain pass with a road with lots of cars,0.3007
33,two people walking through the mountain pass,0.315
34,a roadway in the mountain pass,0.284
35,a trail in the wooded mountain pass,0.3108
36,an old convenience store with faded signage,0.3223
37,a modern convenience store with glass doors,0.3213
38,a busy convenience store packed with groceries,0.3018
39,a small convenience store on fire at dusk,0.3365
40,an empty convenience store with bare shelves,0.317
41,a painting of a convenience store with stacked cans,0.3646
42,a temple beside some trees,0.307
43,people standing outside a temple,0.3168
44,a well-dressed person in front of a temple,0.3014
45,a family in front of a temple,0.3345
46,a temple beside a sandy landscape,0.3224
47,an old temple with lots of people,0.2922
48,a barber cutting a man's hair,0.3104
49,a barber cutting a woman's hair,0.3103
50,a barber shop in a busy city,0.3031
51,a friendly local barber,0.2939
52,a child getting his hair cut by a barber,0.3345
53,three people in a barber shop,0.3048
54,officers working inside a police station,0.311
55,a person standing outside a police station,0.3052
56,a person talking to an officer inside a police station,0.3124
57,two officers speaking to an arrested person in a police station,0.3142
58,a police station on a road with lots of trees,0.2853
59,a police station in a busy city,0.2764
60,a boy standing with his father,0.2864
61,a girl standing with her father near the school gate,0.3612
62,a man hiking with his father,0.3145
63,a woman in a car with her father,0.2792
64,a woman walking with her father and a dog,0.2965
65,a man sitting at a table with his father,0.2497
66,a big house with a veranda,0.2659
67,outdoor furniture under a veranda,0.3022
68,a small one story house with a veranda,0.271
69,people relaxing under a veranda,0.3023
70,a modern looking veranda on a house,0.3038
71,a glass veranda on a house,0.2916
72,a dry river-bed surrounded by a dry landscape,0.2984
73,two people walking through a river-bed,0.3351
74,a dry river-bed in a dense green forest,0.312
75,a river-bed in an alpine meadow,0.3317
76,a bridge across a river-bed,0.2937
77,a river-bed with some water in it,0.3033
78,a queen sitting on a throne,0.3019
79,a queen making a speech,0.2868
80,a queen in a palace,0.2627
81,a queen sitting at a banquet,0.3004
82,a queen in a garden surrounded by blooming flowers,0.3052
83,a queen riding in a large car,0.3115
84,eggplant in a grocery store,0.3554
