Prompt_Index,SAE_Prompt,Score
0,a medieval monastery,0.2896
1,a monastery on a hill,0.3131
2,a small monastery,0.2909
3,a painting of a monastery,0.3221
4,a crowded monastery,0.2869
5,a monastery in a dark forest,0.3068
6,champagne on a wooden table,0.2818
7,champagne in a cabinet,0.3235
8,champagne on a table outside,0.2874
9,a painting of some champagne,0.3475
10,champagne on the beach,0.3242
11,champagne on top of a piano,0.3234
12,an old midwife,0.3079
13,a midwife with a woman,0.2866
14,a painting of a midwife,0.3209
15,a young midwife,0.2951
16,a midwife sitting down,0.291
17,a photograph of a midwife with a cat,0.327
18,a medical practitioner at a table,0.29
19,an old medical practitioner,0.2616
20,a medical practitioner at a park,0.2933
21,a medical practitioner with a woman,0.2852
22,a medical practitioner with a notepad,0.2905
23,a painting of a medical practitioner,0.321
24,a window covered with bamboo blinds,0.347
25,a doorway with bamboo blinds,0.3284
26,hand-crafted bamboo blinds,0.3439
27,sun-faded bamboo blinds,0.313
28,bamboo blinds with decorative trim,0.3396
29,tattered bamboo blinds,0.3066
30,a dark mountain pass,0.2788
31,a mountain pass covered in snow,0.2799
32,a crowded mountain pass,0.2744
33,a mountain pass with a nearby lake,0.2819
34,a painting of a beautiful mountain pass,0.3216
35,an abandoned mountain pass,0.2727
36,an old convenience store,0.311
37,a modern convenience store,0.295
38,a busy convenience store,0.295
39,a convenience store on fire,0.3216
40,an empty convenience store,0.3038
41,a painting of a convenience store,0.3576
42,an old temple,0.2872
43,a temple on a hill,0.297
44,a painting of a temple,0.3222
45,a temple in a dark forest,0.3264
46,a temple in a city,0.2787
47,an abandoned temple,0.3016
48,a barber in red,0.3255
49,an old barber,0.3096
50,a small barber shop,0.2999
51,a busy barber shop,0.299
52,a barber by the chair,0.3034
53,a barber working,0.3003
54,a police station in a city,0.2866
55,a busy police station,0.2693
56,a police station in a small town,0.2903
57,a person walking into a police station,0.2973
58,a painting of a police station,0.3409
59,a photograph of a modern police station,0.2955
60,a father in front of a house,0.2786
61,a girl standing with her father,0.2937
62,a crying father,0.2687
63,a father on a bed,0.2788
64,an old father with a dog,0.2963
65,an old father in the kitchen,0.2962
66,a beautiful veranda,0.3066
67,an expensive looking veranda,0.2781
68,a modern looking veranda,0.3035
69,a green veranda,0.3172
70,a dimly lit veranda,0.2714
71,a painting of a veranda,0.3373
72,a dry riverbed,0.2792
73,a beautiful riverbed in a painting,0.326
74,a riverbed in a forest,0.2853
75,a narrow riverbed,0.2744
76,a small riverbed,0.2877
77,a wet riverbed,0.2768
78,a beautiful queen,0.2616
79,a queen in a garden,0.2921
80,a painting of an old queen,0.3257
81,a queen covered in snow,0.2958
82,a queen in a large hall,0.2914
83,an old queen on a bed,0.2752
84,a sliced eggplant,0.2943
85,an eggplant on a table,0.244
86,eggplant in a basket,0.3005
87,a painting of a eggplant,0.3189
88,a moldy eggplant,0.2611
89,a dish with eggplant,0.3189
90,a table of food,0.2826
91,a basket with food,0.3064
92,healthy food,0.2733
93,food in a cabinet,0.3023
94,a person with some food,0.2497
95,a family enjoying food,0.2932
96,a bustling town,0.2444
97,an abandoned town,0.292
98,view of a town,0.3024
99,a beautiful town,0.2545
100,a painting of a town,0.3036
101,a lively town,0.2753
102,a dying camel,0.3174
103,a camel next to water,0.3243
104,a painting of a large camel,0.3124
105,a camel eating food,0.3061
106,a camel in the street,0.3349
107,a camel walking in the heat,0.3024
108,incense in a house,0.281
109,incense on a table,0.2639
110,a painting of incense,0.3015
111,incense burning,0.2657
112,red incense,0.304
113,incense on a shelf,0.2587
114,a painting of a beautiful crane bird,0.3329
115,a large group of crane birds,0.3086
116,a dirty crane bird,0.2911
117,two crane birds next to each other,0.304
118,a sleeping crane bird,0.2897
119,a crane bird eating food,0.309
120,a enormous warehouse,0.2979
121,an abandoned warehouse,0.2902
122,a busy warehouse,0.277
123,a painting of a warehouse,0.3289
124,a warehouse on fire,0.3104
125,a dark abandoned warehouse,0.2993
126,painting of a pharmacy,0.3332
127,a modern pharmacy,0.3066
128,inside a pharmacy,0.3044
129,a busy pharmacy,0.2735
130,entrance of a pharmacy,0.3196
131,a rural pharmacy,0.3073
132,an abandoned gas station,0.3298
133,a gas station in a desert,0.3173
134,a photograph of a modern gas station,0.3008
135,a very busy gas station,0.2773
136,a gas station in a big city,0.2767
137,a dirty gas station,0.2868
138,a man with a blue motorcycle,0.3183
139,a black motorcycle,0.2994
140,three motorcycles on the road,0.2935
141,a broken motorcycle,0.3031
142,a motorcycle in the forest,0.321
143,a group of motorcycles,0.3129
144,two rifles leaning on each other,0.2794
145,a person holding a rifle,0.2823
146,a broken rifle,0.2746
147,a rusty rifle,0.3089
148,a rifle in a store,0.2885
149,a rifle on the ground,0.2824
150,an old craftsman,0.305
151,a group of craftsmen,0.299
152,a craftsman in a house,0.2971
153,a dirty craftsman,0.2746
154,a craftsman in orange,0.3219
155,a craftsman in a big city,0.2839
156,an angry supervisor,0.2497
157,an old supervisor,0.2424
158,a supervisor in a room,0.2666
159,a painting of a supervisor,0.3183
160,a supervisor in the office,0.2515
161,a supervisor with a group of people,0.2679
162,some water on the table,0.2651
163,a child with water,0.2847
164,dirty water,0.2569
165,water in the forest,0.2765
166,water in the house,0.2695
167,water in the well,0.2995
168,a colorful festival,0.313
169,a lively festival,0.2734
170,a festival in the summer,0.2874
171,an indoor festival,0.2997
172,a bustling festival,0.2794
173,a festival in the winter,0.3226
174,a man next to a checkpoint,0.2869
175,a small red checkpoint,0.2793
176,a busy checkpoint,0.2715
177,a empty checkpoint,0.2791
178,an abandoned checkpoint,0.281
179,a checkpoint in the winter,0.3078
180,an outdoor luncheon,0.2888
181,a lively luncheon,0.2594
182,a luncheon in the building,0.2729
183,an indoor luncheon,0.2718
184,a luncheon in the city,0.2933
185,a luncheon at school,0.2973
186,the inside of a gambling den,0.2733
187,a gambling room,0.2822
188,a place of gambling,0.2521
189,a bustling gambling den,0.3066
190,a luxurious gambling den,0.292
191,a group of people gambling,0.292
192,a luxurious wardrobe,0.3075
193,an old wardrobe,0.2987
194,a painting of a wardrobe,0.3184
195,a wardrobe in the bedroom,0.3162
196,a broken wardrobe,0.2773
197,a green wardrobe,0.3282
198,a car trunk filled with luggage,0.3018
199,a car trunk left open,0.2851
200,a spacious red car trunk,0.332
201,a damaged car trunk,0.2827
202,a suitcase in a car trunk,0.311
203,a rusty car trunk,0.2938
204,a spare tire mounted on a vehicle,0.2874
205,a worn-out spare tire,0.2869
206,a spare tire leaning against a wall,0.3086
207,a black spare tire,0.274
208,a mechanic inspecting a spare tire,0.3085
209,a spare tire lying on the road,0.3233
210,a group photo of my classmates,0.2619
211,my classmate smiling,0.2449
212,two classmates studying,0.2758
213,a classmate at a desk,0.2768
214,classmates outside the school,0.2728
215,a classmate playing basketball,0.2928
