Prompt_Index,SAE_Prompt,Score
0,a painting of milk tea,0.3305
1,a photo of milk tea,0.2904
2,selling milk tea,0.273
3,a large milk tea,0.3071
4,a small milk tea,0.2764
5,milk tea on a counter,0.2778
6,coffee on a table,0.2684
7,coffee on a counter,0.2789
8,a painting of coffee,0.3374
9,two people getting coffee,0.2816
10,a man buying coffee,0.2858
11,a woman with coffee,0.2937
12,a painting of a red packet,0.325
13,two red packets on a table,0.3205
14,a red packet on a counter,0.3091
15,a person holding a red packet,0.3187
16,a red packet on the ground,0.3397
17,a child holding a red packet,0.3433
18,a painting of squid,0.3222
19,squid on a table,0.2764
20,a squid in a market,0.3139
21,a squid in an aquarium,0.287
22,a squid on a counter,0.2972
23,squid in a box,0.298
24,a person getting takeout,0.2599
25,takeout on a table,0.2675
26,takeout from the food truck,0.254
27,let's get some food takeout,0.2484
28,chinese food takeout,0.2673
29,a couple getting food takeout,0.2673
30,a businessman with a grasping and selfish attitude,0.2573
31,a leader with a grasping and selfish attitude,0.2346
32,a student with a grasping and selfish attitude,0.2586
33,a parent with a grasping and selfish attitude,0.2609
34,a businesswoman with a grasping and selfish attitude,0.2765
35,a politician with a grasping and selfish attitude,0.2377
36,a bored cat,0.2501
37,a bored woman,0.2374
38,a bored worker,0.2582
39,a child bored,0.2608
40,a bored dog,0.2491
41,a bored man,0.2311
42,a relaxing dog,0.2587
43,people relaxing on a beach,0.2859
44,people relaxing on a coach,0.2957
45,a couple relaxing in a park,0.285
46,a cat relaxing,0.2682
47,a relaxing setting,0.2537
48,a person gesturing yes,0.2305
49,a person answering yes,0.2371
50,a worker gesturing yes,0.2559
51,a student gesturing yes,0.2572
52,a woman gesturing yes,0.2578
53,a man gesturing yes,0.2473
54,a student saving a table,0.3002
55,a man saving a table,0.3113
56,a woman saving a table,0.3161
57,a group saving a table,0.3161
58,saving a table at a cafe,0.2788
59,saving a table with a napkin,0.2958
60,a counter with tasty things,0.2903
61,a painting of something that is very tasty,0.2861
62,a table with very tasty stuff,0.2618
63,a photo of something that is tasty,0.2371
64,something tasty,0.2387
65,a person enjoying something that is tasty,0.2797
66,a high class clothing store,0.2697
67,a high class party,0.2675
68,a painting of something that is high class,0.2654
69,a high class restaurant,0.2671
70,a high class car,0.2435
71,a high class house,0.2641
72,a secluded beach,0.2841
73,a secluded street,0.2849
74,a secluded trail,0.2723
75,a secluded locale,0.2478
76,a secluded house,0.2775
77,a secluded town,0.2611
78,a woman eating noodles,0.3222
79,a painting of someone eating,0.3161
80,a person eating a salad,0.2778
81,a man eating a taco,0.3096
82,people eating,0.267
83,a man eating a burrito,0.3081
84,a family redecorates their house,0.2965
85,a worker redecorates her office space,0.2992
86,a couple redecorate their garage,0.3376
87,a woman redecorates her room,0.3197
88,a man redecorates his desk,0.2895
89,a person redecorates their kitchen,0.3114
90,a tall girl,0.2438
91,a girl buying a computer,0.2792
92,a girl hiking,0.2792
93,a girl,0.2561
94,a girl in a city,0.2973
95,a painting of a girl,0.3069
96,a mobile phone on a table,0.2634
97,a woman holding a mobile phone,0.2912
98,a mobile phone on the ground,0.3118
99,a man with a mobile phone,0.2707
100,a painting of a mobile phone,0.3289
101,a mobile phone on a lawn,0.2974
102,a loan shark handling cash,0.2654
103,a loan shark carrying a knife,0.3044
104,a loan shark holding a bag,0.2915
105,a loan shark,0.2584
106,a loan shark talking to someone,0.2573
107,a loan shark spray painting,0.3172
108,a man at a coffee shop,0.2748
109,a woman at a coffee shop,0.2807
110,buying something at a coffee shop,0.2509
111,a coffee shop,0.2663
112,a modern coffee shop,0.2929
113,an old coffee shop,0.2888
114,a painting of a handsome male,0.2946
115,a handsome male buying food,0.2832
116,a handsome male walking,0.2571
117,a photo of a handsome male,0.2573
118,a handsome male,0.2452
119,a handsome male at a gym,0.2708
120,a man studying for finals,0.2658
121,a woman studying at home,0.2914
122,a child busy studying,0.2974
123,a group of people studying,0.2697
124,an older person studying,0.3151
125,studying at a table,0.2669
126,a man being a third wheel,0.2502
127,a woman being a third wheel,0.2576
128,a third wheel sitting with a couple,0.2519
129,a person feeling like a third wheel,0.2584
130,scene with an awkward third wheel,0.2674
131,a young third wheel,0.2683
132,a painting of black tea,0.3498
133,tea in a store,0.2839
134,a container with tea,0.2885
135,a tea shop in a city,0.2859
136,white tea,0.2669
137,a jar with dry tea,0.305
138,a plate of stir-fried rice noodles,0.292
139,a bowl of stir-fried rice noodles,0.2939
140,a painting of stir-fried rice noodles,0.3487
141,stir-fried rice noodle with vegetables,0.3272
142,stir-fried rice noodles with fruit,0.3192
143,two plates of stir-fried rice noodles,0.306
144,a traditional Chinese physician and a man,0.3144
145,a traditional Chinese physician and a woman,0.3256
146,a painting of a traditional Chinese physician,0.3468
147,a traditional Chinese physician,0.31
148,a traditional Chinese physician with two people,0.3186
149,a traditional Chinese physician sitting,0.3098
150,a large food court,0.3302
151,a couple at a food court,0.297
152,a modern food court,0.3172
153,an older food court,0.3257
154,a person at a food court,0.2868
155,a busy food court,0.3185
156,litter thrown from a high-rise building falling,0.3116
157,litter thrown from a high-rise building from window,0.2954
158,a sign about litter thrown from a high-rise building,0.3056
159,a painting of litter thrown from a high-rise building,0.309
160,a person avoiding litter thrown from a high-rise building,0.2973
161,a person nearly hit by litter thrown from a high-rise building,0.322
162,a man holding a hoe,0.3043
163,a hoe on a shelf,0.2384
164,a painting of a hoe,0.2488
165,an old hoe,0.237
166,a new hoe,0.2294
167,a hoe leaning on a wall,0.2466
168,a spicy stir-fried crab on a table,0.3102
169,a family enjoying spicy stir-fried crab,0.3626
170,two plates of spicy stir-fried crab,0.3067
171,a large spicy stir-fried crab with rice,0.3046
172,a waiter serving spicy stir-fried crab,0.3114
173,a chef making spicy stir-fried crab,0.3137
174,my uncle,0.247
175,an uncle in blue,0.2841
176,a uncle talking,0.2529
177,an uncle buying fruit,0.3081
178,an uncle drinking coffee,0.2922
179,an uncle reading a newspaper,0.3153
180,a plate of Fujianese fresh spring roll,0.3184
181,one Fujianese fresh spring roll,0.3122
182,a painting of Fujianese fresh spring roll,0.3619
183,a person eating a Fujianese fresh spring roll,0.272
184,Fujianese fresh spring roll on a table,0.3131
185,Fujianese fresh spring roll in a bowl,0.2998
186,a plate of Indian flatbread,0.3044
187,a painting of Indian flat bread,0.3377
188,a table with Indian flatbread,0.3159
189,a person eating Indian flatbread,0.2933
190,Indian flatbread on a counter,0.3047
191,Indian flatbread on a table,0.3149
192,a person eating Chinese pork jerky,0.2974
193,Chinese pork jerky in a bag,0.3396
194,a painting of Chinese pork jerky,0.355
195,a shop with Chinese pork jerky,0.3167
196,one piece of Chinese pork jerky,0.3117
197,a person holding Chinese pork jerky,0.2951
198,two buddies chatting,0.2635
199,buddies playing soccer,0.2772
200,buddies having coffee,0.2732
201,buddies laughing together,0.2859
202,a group of buddies outdoors,0.2575
203,buddies watching a movie,0.2413
