Prompt_Index,SAE_Prompt,Score
0,a red semitruck driving down the street,0.9799
1,a delivery semitruck loaded with packages,0.9861
2,a semitruck parked by the curb,0.5416
3,a semitruck parked at a stop sign,0.5653
4,a semitruck hauling timber,0.992
5,a semitruck with a flat tire,0.8756
6,a cozy sweater hanging in a closet,0.9786
7,a man wearing a purple sweater,0.9877
8,a woman knitting a brown sweater,0.8545
9,a sweater with reindeer patterns,0.9951
10,a sweater on a hanger,0.9822
11,a sweater folded neatly,0.5188
12,a girl knocking on the bathroom door,0.8396
13,a set of fresh towels in the bathroom,0.9449
14,a line of people waiting outside the bathroom,0.6846
15,a bathroom with a leaky faucet,0.1385
16,a tidy bathroom with shiny blue wall tiles,0.9348
17,a bathroom with a shower curtain,0.923
18,a pack of sausages at the grocery store,0.8067
19,a plate of sausages and eggs with toast,0.9786
20,a man cutting a sausage in half,0.9312
21,sausages on a grill,0.7288
22,sausages and mashed potatoes on a plate,0.9852
23,my sausages sizzling in a pan,0.8748
24,a woman throwing away the trash,0.9141
25,a bin overflowing with trash,0.9744
26,a raccoon going through trash,0.9744
27,a trash can near a park bench,0.992
28,a trash pile in an alley,0.9852
29,a trash dumpster in a construction site,0.5416
30,a top-floor apartment with a view of the city,0.9633
31,a college student's apartment,0.8929
32,a cozy apartment in the city,0.9449
33,an apartment with a balcony overlooking the city,0.9693
34,an apartment with a rooftop garden,0.9745
35,my apartment with an open-plan kitchen,0.6137
36,a man loading luggage into the car trunk,0.9417
37,a spare tire in the car trunk,0.9482
38,a woman putting groceries in the car trunk,0.9312
39,a car trunk filled with groceries,0.9903
40,a car trunk packed for a road trip,0.9743
41,my car trunk after a shopping spree,0.9185
42,a boy waiting in the line at a grocery store,0.7388
43,a line for the rollercoaster,0.8816
44,a line of cars at a drive-through,0.5416
45,a line at the ticket counter,0.6954
46,a line for the morning bus,0.8816
47,a line at the post office,0.9693
48,a man ironing creases in his pants,0.8067
49,a pair of purple pants folded on a chair,0.9822
50,a kid wearing a pair of blue pants,0.9811
51,a pants display in a store,0.9655
52,pants with a matching blazer,0.8756
53,my pants hanging in the closet,0.8688
54,a woman enjoying a cup of tea with a cookie,0.9842
55,a tin of assorted cookies,0.9786
56,a man baking homemade cookies,0.9728
57,a cookie with chocolate chips,0.9633
58,a cookie on a baking tray,0.9417
59,a cookie with a bite taken out,0.9676
60,a beam of light from the flashlight,0.9141
61,a man searching in the dark with a flashlight,0.9537
62,a rechargeable LED flashlight,0.862
63,my flashlight in a toolbox,0.8933
64,a flashlight with low battery,0.7697
65,a policeman shining a flashlight at the suspect,0.6381
66,a mother changing her baby's diaper,0.9417
67,a pack of cloth diapers,0.9039
68,a happy baby wearing pink diapers,0.9744
69,a diaper on a changing table,0.9141
70,diapers with cute patterns,0.9695
71,a diaper on a clothesline,0.798
72,a gasoline station at night,0.9833
73,a man filling up his car with gasoline,0.9884
74,a sign showing gasoline prices,0.9773
75,a gasoline pump at a station,0.9833
76,a gasoline tanker on the road,0.9348
77,a brightly lit gasoline station sign at night,0.9729
78,a group of kids kicking a soccer ball,0.9654
79,a soccer player in the stadium,0.9773
80,a soccer player celebrating a win,0.9537
81,my soccer cleats on the field,0.8986
82,a soccer goalie in the field,0.9509
83,a goalkeeper trying to catch a soccer ball,0.9711
84,a woman picking up a precription at the pharmacy,0.9655
85,a wide range of products at the pharmacy,0.9385
86,a group of people waiting at the pharmacy,0.9711
87,a pharmacy counter with vitamins,0.9092
88,my pharmacy where I get prescriptions,0.6846
89,a pharmacy with a neon sign,0.976
90,a bowl of french fries at a restaurant,0.9633
91,a boy eating french fries,0.9861
92,a plate with a burger and french fries,0.9877
93,french fries with ketchup and mayo,0.9482
94,my french fries from the local fry shop,0.8242
95,a french fries portion next to a burger,0.9695
96,an office belonging to an attorney,0.9675
97,an attorney talking to his client,0.9038
98,a man attending a meeting with his attorney,0.8396
99,an attorney in a courtroom,0.914
100,my attorney discussing the case,0.7887
101,an attorney with legal books,0.9449
102,a school janitor sweeping the hallway,0.8877
103,a man talking to a janitor at the mall,0.384
104,a tired janitor in an empty hallway,0.8877
105,a janitor sweeping the school hallway,0.9729
106,an office janitor in a supply closet,0.9509
107,a building janitor taking out the trash,0.9612
108,a man preparing dinner on the stove,0.9563
109,a bowl of hot soup sitting on the stove,0.6954
110,a modern electric stove with digital controls,0.9773
111,a stove with boiling pots,0.9633
112,a stove with a baking oven,0.9348
113,my stove after making breakfast,0.9563
114,a woman putting the baby down in the crib,0.6018
115,a man setting up a crib,0.9612
116,a baby in a colorful crib,0.9482
117,a crib with soft blankets,0.9636
118,a baby crib with wooden bars,0.923
119,a crib with stuffed animals,0.9903
120,an advertisement on a city billboard,0.9537
121,a worker changing the image on the billboard,0.9449
122,a group of people staring at a large billboard,0.9092
123,a billboard advertising a concert,0.9909
124,my billboard design displayed downtown,0.8242
125,a billboard lit up at night,0.9482
126,a woman using a vacuum cleaner to clean the carpet,0.9695
127,a bright red vacuum cleaner in a store,0.9786
128,a dirty vacuum cleaner on the carpet,0.8986
129,a vacuum cleaner stored in a closet,0.9786
130,a red vacuum cleaner with a long cord on the floor,0.923
131,a man using a vacuum cleaner on a carpeted floor,0.9799
132,a man holding a water pitcher,0.9312
133,a boy refilling his cup with a water pitcher,0.923
134,a decorative ceramic pitcher,0.9745
135,a pitcher filled with lemonade,0.9482
136,a pitcher with a floral design,0.9695
137,a pitcher in the refrigerator,0.9712
138,a mailman delivering packages,0.9038
139,a man having a friendly chat with the mailman,0.914
140,a mailman in blue uniform,0.9271
141,a mailman in a truck,0.9799
142,a mailman at the front door,0.9271
143,my mailman with a big bag,0.9039
144,a woman taking a walk with her baby in the baby carriage,0.9833
145,a baby carriage with a sunshade parked on a sidewalk,0.9312
146,a bright pink baby carriage next to a bench,0.9869
147,a baby carriage with a sleeping baby,0.9884
148,a baby carriage near a playground,0.9897
149,a man walking with a baby carriage on a cobblestone street,0.9799
150,a luxurious sedan parked outside a mansion,0.9759
151,the spacious interior of the sedan,0.9039
152,a man inside a black sedan,0.9348
153,a sedan parked in the driveway,0.9655
154,a sedan with tinted windows,0.7063
155,my sedan at the gas station,0.749
156,a boy sitting on the hood of the car,0.9348
157,a car with a red hood,0.6149
158,a car at a repair shop with an open hood,0.9773
159,a hood with a company logo,0.9729
160,a hood in the process of being painted,0.6137
161,a hood with racing stripes,0.7796
162,a woman chopping cilantro in the kitchen,0.9693
163,cilantro at the supermarket,0.7388
164,cilantro sprinked on top of pasta,0.9799
165,cilantro garnishing a curry,0.9799
166,cilantro leaves on a cutting board,0.9759
167,a cilantro bunch at the market,0.9271
168,a man slicing a zucchini in the kitchen,0.9744
169,a woman picking a zucchini at the market,0.9633
170,a large basket of zucchinis,0.9589
171,a zucchini in a vegetable garden,0.9449
172,my zucchini in a stir fry,0.8986
173,a zucchini in a shopping basket,0.8756
174,a crowd of people waiting for the subway,0.8933
175,a busy subway station with people rushing inside,0.9676
176,a man sitting inside the subway,0.9537
177,a subway train arriving,0.9729
178,my subway ride during rush hour,0.7593
179,a subway map on the wall,0.9676
180,a grandma slicing an eggplant in the kitchen,0.9799
181,a large basket of eggplants,0.9695
182,a man picking an eggplant at the market,0.8933
183,an eggplant in the supermarket,0.9695
184,a grilled eggplant with olive oil,0.9348
185,my eggplant in a curry,0.8621
186,a child waiting at a crosswalk,0.9482
187,a faded crosswalk,0.798
188,bikes crossing a crosswalk,0.9449
189,a crosswalk near a park,0.9482
190,a woman walking over a crosswalk,0.9417
191,a crosswalk near traffic lights,0.9537
192,trucks parked along the highway,0.3171
193,a crowded highway during rush hour,0.9759
194,a highway passing through mountains,0.9449
195,an aerial view of a highway,0.9612
196,highway signs at night,0.9385
197,a highway blocked due to accident,0.9449
198,a band-aid covering a small wound,0.8545
199,a band-aid on someone's forehead,0.9676
200,a band-aid floating in a swimming pool,0.9589
201,a discarded band-aid on the sidewalk,0.9348
202,a band-aid with cartoon characters,0.8877
203,a waterproof band-aid on a hand,0.9271
204,a black trash bag left outdoors,0.9482
205,a trash bag full of leaves,0.9482
206,a neatly tied trash bag,0.8479
207,a trash bag beside a dumpster,0.9729
208,a trash bag overflowing with trash,0.862
209,a stack of unused trash bags,0.7288
210,a vest displayed on a mannequin,0.9636
211,a checked vest on display,0.9509
212,a man buttoning his vest,0.8688
213,a silk vest in a boutique,0.8816
214,a vest matching formal pants,0.9612
215,a vest embroidered with flowers,0.9915
216,arugula leaves in a salad spinner,0.9563
217,a sandwich filled with arugula,0.9833
218,chopped arugula sprinkled on pasta,0.9385
219,a burger topped with fresh arugula,0.8877
220,a gardener harvesting arugula leaves,0.8933
221,a basket filled with fresh arugula,0.9786
