Prompt_Index,SAE_Prompt,Score
0,an old monastery in the village square,0.835
1,a monastery on a grassy hill with trees,0.7944
2,an older person entering a monastery,0.8166
3,a monastery in an old city center,0.83
4,a monastery with a crowd of people outside,0.9081
5,an old monastery in a dark misty forest,0.8234
6,a bottle of champagne on a wooden table,0.9227
7,champagne on a shelf in a grocery store,0.5679
8,champagne and two glasses on a table outside,0.8945
9,champagne in a glass on a table,0.9582
10,a person holding a bottle of champagne,0.8904
11,a person pouring champagne into a glass,0.9614
12,a midwife in a hospital,0.7685
13,a midwife walking into a house,0.7148
14,a woman in a bed with a midwife next to it,0.6767
15,a midwife talking with a doctor,0.6363
16,a midwife holding a bottle of medicine,0.7688
17,a midwife talking with a nurse,0.6751
18,a medical practitioner sitting at a table outside,0.7019
19,two medical practitioners in a conference room,0.6212
20,a medical practitioner walking in a park,0.7887
21,the medical practitioner talking with a patient in a room,0.7094
22,a medical practitioner standing outside a building,0.7121
23,a medical practitioner talking with a nurse,0.6454
24,two windows covered with bamboo blinds,0.5245
25,a living room with windows covered with bamboo blinds,0.8594
26,a kitchen with a window covered with bamboo blinds,0.7776
27,a living room window covered with rolled-up bamboo blinds,0.7763
28,a doorway with bamboo blinds covering it,0.5437
29,a window with rolled up bamboo blinds,0.5012
30,a mountain pass with lots of pine trees,0.9443
31,a narrow mountain pass covered in snow and pine trees,0.9273
32,a mountain pass with a road with lots of cars,0.4368
33,two people walking through the mountain pass,0.8234
34,a roadway in the mountain pass,0.9575
35,a trail in the wooded mountain pass,0.9527
36,an old convenience store with faded signage,0.8505
37,a modern convenience store with glass doors,0.9448
38,a busy convenience store packed with groceries,0.8523
39,a small convenience store on fire at dusk,0.8075
40,an empty convenience store with bare shelves,0.3626
41,a painting of a convenience store with stacked cans,0.7356
42,a temple beside some trees,0.9625
43,people standing outside a temple,0.9487
44,a well-dressed person in front of a temple,0.7988
45,a family in front of a temple,0.8889
46,a temple beside a sandy landscape,0.7717
47,an old temple with lots of people,0.4316
48,a barber cutting a man's hair,0.9109
49,a barber cutting a woman's hair,0.2997
50,a barber shop in a busy city,0.6384
51,a friendly local barber,0.5486
52,a child getting his hair cut by a barber,0.8551
53,three people in a barber shop,0.6193
54,officers working inside a police station,0.721
55,a person standing outside a police station,0.3867
56,a person talking to an officer inside a police station,0.5936
