Prompt_Index,SAE_Prompt,Score
0,a medieval monastery,0.9029
1,a monastery on a hill,0.9355
2,a small monastery,0.8021
3,a painting of a monastery,0.9062
4,a crowded monastery,0.8654
5,a monastery in a dark forest,0.8589
6,champagne on a wooden table,0.9084
7,champagne in a cabinet,0.8531
8,champagne on a table outside,0.9745
9,a painting of some champagne,0.9685
10,champagne on the beach,0.8858
11,champagne on top of a piano,0.688
12,an old midwife,0.7542
13,a midwife with a woman,0.8133
14,a painting of a midwife,0.7444
15,a young midwife,0.6443
16,a midwife sitting down,0.8409
17,a photograph of a midwife with a cat,0.8848
18,a medical practitioner at a table,0.9793
19,an old medical practitioner,0.9181
20,a medical practitioner at a park,0.9412
21,a medical practitioner with a woman,0.9689
22,a medical practitioner with a notepad,0.7959
23,a painting of a medical practitioner,0.9835
24,a window covered with bamboo blinds,0.6412
25,a doorway with bamboo blinds,0.9721
26,hand-crafted bamboo blinds,0.7788
27,sun-faded bamboo blinds,0.7546
28,bamboo blinds with decorative trim,0.7601
29,tattered bamboo blinds,0.5999
30,a dark mountain pass,0.8215
31,a mountain pass covered in snow,0.9345
32,a crowded mountain pass,0.9293
33,a mountain pass with a nearby lake,0.8494
34,a painting of a beautiful mountain pass,0.9683
35,an abandoned mountain pass,0.4895
36,an old convenience store,0.8504
37,a modern convenience store,0.9601
38,a busy convenience store,0.7922
39,a convenience store on fire,0.9576
40,an empty convenience store,0.3118
41,a painting of a convenience store,0.984
42,an old temple,0.9558
43,a temple on a hill,0.9594
44,a painting of a temple,0.9621
45,a temple in a dark forest,0.8812
46,a temple in a city,0.9014
47,an abandoned temple,0.9022
48,a barber in red,0.7924
49,an old barber,0.8043
50,a small barber shop,0.7458
51,a busy barber shop,0.7014
52,a barber by the chair,0.9034
53,a barber working,0.9497
54,a police station in a city,0.6942
55,a busy police station,0.8789
56,a police station in a small town,0.7335
57,a person walking into a police station,0.8766
58,a painting of a police station,0.8549
59,a photograph of a modern police station,0.8137
60,a father in front of a house,0.8043
61,a girl standing with her father,0.8548
62,a crying father,0.6781
63,a father on a bed,0.8811
64,an old father with a dog,0.9205
65,an old father in the kitchen,0.9253
66,a beautiful veranda,0.9572
67,an expensive looking veranda,0.9436
68,a modern looking veranda,0.9422
69,a green veranda,0.8912
70,a dimly lit veranda,0.9185
71,a painting of a veranda,0.9678
72,a dry riverbed,0.8497
73,a beautiful riverbed in a painting,0.9454
74,a riverbed in a forest,0.9687
75,a narrow riverbed,0.9092
76,a small riverbed,0.9084
77,a wet riverbed,0.9122
78,a beautiful queen,0.7832
79,a queen in a garden,0.9305
80,a painting of an old queen,0.9467
81,a queen covered in snow,0.812
82,a queen in a large hall,0.7447
83,an old queen on a bed,0.6656
84,a sliced eggplant,0.8445
85,an eggplant on a table,0.8235
86,eggplant in a basket,0.9248
87,a painting of a eggplant,0.9354
88,a moldy eggplant,0.8432
89,a dish with eggplant,0.9612
90,a table of food,0.9877
91,a basket with food,0.9751
92,healthy food,0.992
93,food in a cabinet,0.9794
94,a person with some food,0.9363
95,a family enjoying food,0.9876
96,a bustling town,0.9656
97,an abandoned town,0.9629
98,view of a town,0.8973
99,a beautiful town,0.9088
100,a painting of a town,0.977
101,a lively town,0.8852
102,a dying camel,0.3114
103,a camel next to water,0.9801
104,a painting of a large camel,0.9566
105,a camel eating food,0.5808
106,a camel in the street,0.9732
107,a camel walking in the heat,0.7945
108,incense in a house,0.8734
109,incense on a table,0.9129
110,a painting of incense,0.9005
111,incense burning,0.9222
112,red incense,0.89
113,incense on a shelf,0.5665
114,a painting of a beautiful crane bird,0.8838
115,a large group of crane birds,0.7565
116,a dirty crane bird,0.791
117,two crane birds next to each other,0.8457
118,a sleeping crane bird,0.3148
119,a crane bird eating food,0.8149
120,a enormous warehouse,0.9625
121,an abandoned warehouse,0.9744
122,a busy warehouse,0.7606
123,a painting of a warehouse,0.9579
124,a warehouse on fire,0.9135
125,a dark abandoned warehouse,0.8649
126,painting of a pharmacy,0.9692
127,a modern pharmacy,0.9685
128,inside a pharmacy,0.9922
129,a busy pharmacy,0.8318
130,entrance of a pharmacy,0.9721
131,a rural pharmacy,0.8646
132,an abandoned gas station,0.972
133,a gas station in a desert,0.9787
134,a photograph of a modern gas station,0.9645
135,a very busy gas station,0.7826
136,a gas station in a big city,0.9574
137,a dirty gas station,0.6318
138,a man with a blue motorcycle,0.9774
139,a black motorcycle,0.957
140,three motorcycles on the road,0.7975
141,a broken motorcycle,0.8466
142,a motorcycle in the forest,0.9852
143,a group of motorcycles,0.9852
144,two rifles leaning on each other,0.4683
145,a person holding a rifle,0.9354
146,a broken rifle,0.7794
147,a rusty rifle,0.939
148,a rifle in a store,0.9185
149,a rifle on the ground,0.9376
150,an old craftsman,0.8718
151,a group of craftsmen,0.9658
152,a craftsman in a house,0.8719
153,a dirty craftsman,0.9453
154,a craftsman in orange,0.8869
155,a craftsman in a big city,0.6222
156,an angry supervisor,0.5034
157,an old supervisor,0.7503
158,a supervisor in a room,0.7832
159,a painting of a supervisor,0.8568
160,a supervisor in the office,0.7998
161,a supervisor with a group of people,0.8125
162,some water on the table,0.9
163,a child with water,0.8893
164,dirty water,0.9502
165,water in the forest,0.9761
166,water in the house,0.8464
167,water in the well,0.941
168,a colorful festival,0.9819
169,a lively festival,0.9782
170,a festival in the summer,0.9651
171,an indoor festival,0.9398
172,a bustling festival,0.9798
173,a festival in the winter,0.9577
174,a man next to a checkpoint,0.7
175,a small red checkpoint,0.588
176,a busy checkpoint,0.8057
177,a empty checkpoint,0.8496
178,an abandoned checkpoint,0.8221
179,a checkpoint in the winter,0.7579
180,an outdoor luncheon,0.9686
181,a lively luncheon,0.9311
182,a luncheon in the building,0.9354
183,an indoor luncheon,0.9497
184,a luncheon in the city,0.9524
185,a luncheon at school,0.9353
186,the inside of a gambling den,0.9871
187,a gambling room,0.9894
188,a place of gambling,0.986
189,a bustling gambling den,0.899
190,a luxurious gambling den,0.9851
191,a group of people gambling,0.9826
192,a luxurious wardrobe,0.855
193,an old wardrobe,0.904
194,a painting of a wardrobe,0.9852
195,a wardrobe in the bedroom,0.9732
196,a broken wardrobe,0.7386
197,a green wardrobe,0.93
198,a car trunk filled with luggage,0.9916
199,a car trunk left open,0.9608
200,a spacious red car trunk,0.8227
201,a damaged car trunk,0.9227
202,a suitcase in a car trunk,0.9556
203,a rusty car trunk,0.6798
204,a spare tire mounted on a vehicle,0.4894
205,a worn-out spare tire,0.6187
206,a spare tire leaning against a wall,0.783
207,a black spare tire,0.376
208,a mechanic inspecting a spare tire,0.5847
209,a spare tire lying on the road,0.7128
210,a group photo of my classmates,0.9373
211,my classmate smiling,0.8116
212,two classmates studying,0.939
213,a classmate at a desk,0.7427
214,classmates outside the school,0.9465
215,a classmate playing basketball,0.598
