Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a large black torque driving on a neighborhood street,a large black truck driving on a neighborhood street,0.4459
1,a woman driving a green torque on a farm,a woman driving a green truck on a farm,0.9334
2,a torque with a dog in the back,a truck with a dog in the back,0.265
3,a man driving a torque on the highway,a man driving a truck on the highway,0.0887
4,two kids sitting on the back of a torque,two kids sitting on the back of a truck,0.6609
5,a torque parked on a driveway,a truck parked on a driveway,0.3007
6,a street vendor selling raspa,a street vendor selling shaved ice,0.0693
7,a man enjoying raspa on a hot day,a man enjoying shaved ice on a hot day,0.8447
8,a cup of raspa near a tree,a cup of shaved ice near a tree,0.1386
9,a colorful cup of raspa next to a spoon,a colorful cup of shaved ice next to a spoon,0.4372
10,a girl enjoying a bowl of raspa in the park,a girl enjoying a bowl of shaved ice in the park,0.1548
11,two people sharing a cup of raspa on the table,two people sharing a cup of shaved ice on the table,0.6946
12,a street mural of a clicka hanging out together,a street mural of a friend group hanging out together,0.8884
13,a group of teens in a clicka walking through the neighborhood,a group of teens in a friend group walking through the neighborhood,0.9669
14,a clicka gathered around a bench talking,a friend group gathered around a bench talking,0.9863
15,a clicka laughing loudly by a taco stand,a friend group laughing loudly by a taco stand,0.4668
16,a clicka posing for a picture in front of a mural,a friend group posing for a picture in front of a mural,0.3374
17,a clicka skateboarding down the street together,a friend group skateboarding down the street together,0.6989
18,a padrino cutting a birthday cake,a godfather cutting a birthday cake,0.7188
19,a padrino officiating a wedding ceremony,a godfather officiating a wedding ceremony,0.6311
20,a padrino playing chess with his godson,a godfather playing chess with his godson,0.6799
21,a padrino cheering at a baseball game,a godfather cheering at a baseball game,0.431
22,a padrino enjoying a cigar in a lounge,a godfather enjoying a cigar in a lounge,0.7808
23,a padrino gifting a necklace at a baptism,a godfather gifting a necklace at a baptism,0.5951
24,a person hiking through a fil,a person hiking through a field,0.9246
25,a park with a big fil,a park with a big field,0.808
26,a person running through a fil,a person running through a field,0.4048
27,a brown dog running in the fil,a brown dog running in the field,0.7199
28,two kids playing around in the fil,two kids playing around in the field,0.4946
29,a wide and open fil next to the lake,a wide and open field next to the lake,0.6808
30,two men sitting in a pinta cell,two men sitting in a jail cell,0.3502
31,a pinta guard standing in front of a wall,a jail guard standing in front of a wall,0.3549
32,a tall pinta building surrounded by barbed wire,a tall jail building surrounded by barbed wire,0.8752
