Prompt_Index,SAE_Prompt,Score
0,a little baby,0.9044
1,a little dog,0.9666
2,a little cat,0.9315
3,a painting of a little boy,0.9844
4,a little horse,0.4676
5,a little girl,0.9838
6,a parked car,0.9642
7,a second-hand car,0.9339
8,a gas car,0.8418
9,a rental car,0.4664
10,an electric car,0.6358
11,a leased car,0.4983
12,a suburban house,0.9686
13,a house downtown,0.6027
14,a lakeside house,0.9748
15,an old house,0.9766
16,a waterfront house,0.9737
17,a brick house,0.9726
18,a man holler at a girl,0.208
19,a man holler at a woman,0.2201
20,a guy holler at a woman,0.2549
21,a guy holler at his close friend,0.3485
22,a holler from the audience,0.4861
23,a loud holler,0.3585
24,my close friend,0.5622
25,my handsome close friend,0.8467
26,an old close friend,0.6877
27,me and my close friend,0.8664
28,a close friend from childhood,0.5241
29,painting of me and my close friend,0.6824
30,me and my friends,0.8985
31,me and my large friends,0.8356
32,painting of me and my friends,0.8373
33,me and my small friends,0.8777
34,my friends wearing red,0.8344
35,my friends at my house,0.8798
36,an old grandma,0.9823
37,my beautiful grandma,0.9071
38,a group of grandmas,0.9796
39,my grandma in purple,0.8633
40,my grandma in her house,0.8634
41,an angry grandma,0.9686
42,a picture of my lover,0.4714
43,my sleeping lover,0.83
44,my beautiful lover,0.7283
45,my lover at my house,0.5852
46,my lover wearing purple,0.783
47,my handsome lover,0.7786
48,work for money,0.9259
49,a kid deposit some money,0.8285
50,a man paying with money,0.8511
51,a woman paying with money,0.9222
52,a wallet overflowing with money,0.9012
53,bags of money,0.9086
54,dirty sneakers,0.9634
55,retro sneakers,0.926
56,brown sneakers,0.9658
57,broken sneakers,0.9649
58,brand new sneakers,0.787
59,a painting of blue sneakers,0.9756
60,a hand-held gun,0.948
61,a man aiming his gun,0.9493
62,a rusty gun,0.9701
63,a painting of a silver gun,0.9446
64,a broken gun,0.8886
65,a long-range gun,0.9499
66,designer clothes,0.8954
67,stylish clothes,0.9707
68,vintage clothes,0.8857
69,a rack of purple clothes,0.9147
70,a rack of beautiful clothes,0.9048
71,a painting of blue clothes,0.959
72,golden dental jewelry,0.8881
73,dirty dental jewelry,0.7476
74,a man wearing dental jewelry,0.942
75,a woman wearing dental jewelry,0.7863
76,silver dental jewelry,0.8559
77,bronze dental jewelry,0.7949
78,very dark tinted car windows,0.7195
79,a convertible with tinted car windows,0.6555
80,a bus with dark tinted car windows,0.5829
81,a van with light tinted car windows,0.5866
82,broken tinted car windows,0.7383
83,orange tinted car windows,0.4779
84,a modern convertible car,0.8583
85,a luxury convertible car,0.9439
86,a purple convertible car,0.9649
87,a sporty convertible car,0.9608
88,a painting of a vintage convertible car,0.9749
89,a broken convertible car,0.9208
90,tipping my hat,0.4539
91,fitted hat,0.7928
92,stylish hat,0.9458
93,wearing a hat,0.9915
94,a beautiful hat,0.9538
95,matching hat,0.8599
96,broken mirror,0.9824
97,dirty mirror,0.9503
98,mirror with gold frame,0.9717
99,a handheld mirror,0.3904
100,a painting of a mirror,0.7768
101,a modern mirror,0.7472
102,a black gun,0.9357
103,a rusty gun,0.9701
104,a painting of a silver gun,0.9446
105,a gun inside a drawer,0.9772
106,a broken gun,0.8886
107,a large gun,0.9417
108,golden necklace,0.9775
109,silver necklace,0.9644
110,rose gold necklace,0.9633
111,a painting of shiny necklace,0.8034
112,a display of necklace,0.9633
113,broken necklace,0.6701
114,a luxury car,0.9782
115,a parked car,0.9642
116,a second-hand car,0.9339
117,a gas car,0.8418
118,a rental car,0.4664
119,a leased car,0.4983
120,concealed gun,0.7435
121,a gun with a silencer,0.7975
122,loading the gun,0.5325
123,aiming the gun,0.7772
124,licensed gun,0.7111
125,gun tucked away,0.6484
126,tasty food,0.9593
127,some tasty fries,0.9479
128,a tasty burrito,0.9197
129,a plate of tasty food,0.9099
130,a painting of tasty food,0.979
131,a tasty taco,0.9146
132,a dirty neighborhood,0.6721
133,a painting of the neighborhood,0.974
134,an urban neighborhood,0.8804
135,a suburban neighborhood,0.9873
136,an empty neighborhood,0.5937
137,a busy neighborhood,0.7995
138,a bag of bills,0.9279
139,earning bills,0.7438
140,bills in wallet,0.9474
141,broken bills,0.9212
142,a man flashing bills,0.7424
143,dirty bills,0.9373
144,a man with his close friends,0.8931
145,a group picture with the close friends,0.9421
146,a painting of my close friends,0.7864
147,my close friends in the house,0.7378
148,me with my close friends,0.9298
149,hanging with my close friends,0.92
150,a picture of my lover,0.4714
151,my sleeping lover,0.83
152,my beautiful lover,0.7283
153,my lover at my house,0.5852
154,my lover wearing pink,0.7861
155,my handsome lover,0.7786
156,my close friend,0.5622
157,my handsome close friend,0.8467
158,an old close friend,0.6877
159,me and my close friend,0.8664
160,a close friend from childhood,0.5241
161,painting of me and my close friend,0.6824
162,a man high on marijuana,0.8934
163,a woman high on marijuana,0.9063
164,a painting of a person high on marijuana,0.9381
165,a group of people high on marijuana,0.9504
166,college students high on marijuana,0.9019
167,a person high on marijuana,0.9136
168,my morning hair frizziness,0.9014
169,a painting of my hair frizziness,0.8635
170,fixing my hair frizziness,0.5767
171,a woman with hair frizziness,0.9547
172,my natural hair frizziness,0.9112
173,two people with hair frizziness,0.9199
174,golden flashy jewelry,0.9736
175,silver flashy jewelry,0.9621
176,rose gold flashy jewelry,0.9689
177,a painting of shiny flashy jewelry,0.958
178,a display of flashy jewelry,0.9571
179,broken flashy jewelry,0.8369
180,my summer outfit,0.9316
181,my dirty outfit,0.9021
182,my beautiful outfit,0.7457
183,my designer outfit,0.7941
184,my vintage outfit,0.8425
185,a painting of a blue outfit,0.9531
186,a pair of black round glasses,0.8408
187,a pair of modern glasses,0.9314
188,a pair of gold glasses,0.9717
189,a pair of silver glasses,0.8418
190,a pair of broken glasses,0.7997
191,a dirty pair of glasses,0.9068
192,a large tattoo,0.8887
193,a creative tattoo,0.9738
194,a discreet tattoo,0.3721
195,a beautiful tattoo,0.9601
196,a botched tattoo,0.4179
197,a small tattoo,0.5951
198,a painting of my dreadlocks,0.8655
199,my dirty dreadlocks,0.818
200,my long dreadlocks,0.8693
201,two people with dreadlocks,0.9584
202,cutting my dreadlocks,0.6562
203,dyed dreadlocks,0.9745
