Prompt_Index,SAE_Prompt,Score
0,a large black truck driving on a neighborhood street,0.2827
1,a woman driving a green truck on a farm,0.3265
2,a truck with a dog in the back,0.3052
3,a man driving a truck on the highway,0.2643
4,two kids sitting on the back of a truck,0.3293
5,a truck parked on a driveway,0.2703
6,a street vendor selling shaved ice,0.3464
7,a man enjoying shaved ice on a hot day,0.3273
8,a cup of shaved ice near a tree,0.335
9,a colorful cup of shaved ice next to a spoon,0.336
10,a girl enjoying a bowl of shaved ice in the park,0.3324
11,two people sharing a cup of shaved ice on the table,0.2956
12,a street mural of a friend group hanging out together,0.3089
13,a group of teens in a friend group walking through the neighborhood,0.2946
14,a friend group gathered around a bench talking,0.2987
15,a friend group laughing loudly by a taco stand,0.306
16,a friend group posing for a picture in front of a mural,0.3241
17,a friend group skateboarding down the street together,0.3342
18,a godfather cutting a birthday cake,0.3301
19,a godfather officiating a wedding ceremony,0.3169
20,a godfather playing chess with his godson,0.3158
21,a godfather cheering at a baseball game,0.3117
22,a godfather enjoying a cigar in a lounge,0.3135
23,a godfather gifting a necklace at a baptism,0.3137
24,a person hiking through a field,0.2891
25,a park with a big field,0.2754
26,a person running through a field,0.3082
27,a brown dog running in the field,0.3149
28,two kids playing around in the field,0.3085
29,a wide and open field next to the lake,0.2578
30,two men sitting in a jail cell,0.3176
31,a jail guard standing in front of a wall,0.3162
32,a tall jail building surrounded by barbed wire,0.3048
33,a small prison with high fences,0.2824
34,a man about to go to prison,0.2564
35,inside a prison with barred windows,0.3117
36,a person and their girlfriend walking down a street,0.3146
37,a man and his girlfriend laughing,0.3062
38,a person and their girlfriend dressed in similar looking clothes,0.2901
39,my girlfriend and I driving in a blue car,0.3022
40,me having dinner in a restaurant with my girlfriend,0.2795
41,a sunny day in the park with my girlfriend,0.2903
42,a person irons a dress shirt,0.31
43,a person irons a towel in a sunny room,0.3007
44,a man irons his pants before work,0.2942
45,my mother irons the curtains,0.2838
46,a woman irons clothes in the laundry room,0.3104
47,my brother irons his uniform shirt,0.2874
48,a person exploring El Paso on a sunny afternoon,0.2959
49,a lively restaurant in El Paso bustling at night,0.301
50,a quiet street in El Paso lined with flowering plants,0.333
51,a crowded bus station in El Paso near downtown,0.3342
52,a typical single-story house in El Paso with a porch,0.291
53,a bird's eye view of El Paso with mountains in background,0.3027
54,a woman and her brother eating at a restaurant,0.297
55,a man hiking with his brother on a forest trail,0.2967
56,my brother posing for a picture,0.2722
57,me standing with my brother,0.2621
58,my brother and I sitting at a table,0.2717
59,my brother riding a bike,0.2896
60,a woman and her sister eating at a restaurant,0.3001
61,a man hiking with his sister through a mountain path,0.2955
62,me and my sister posing for a picture,0.2639
63,me standing with my sister,0.2629
64,my sister and I sitting at a table,0.2692
65,my sister riding a bike,0.2939
