Prompt_Index,SAE_Prompt,Normalized_Score
0,a long line,0.423
1,a short line,0.3508
2,a painting of a long line,0.4316
3,a line of people,0.3947
4,a line outside the store,0.668
5,a line for food,0.2841
6,a team scoring a soccer goal,0.7728
7,queue at a pharmacy shop,0.3697
8,an attorney at a table,0.6529
9,an old attorney,0.5947
10,an attorney at a park,0.4756
11,an attorney with a woman,0.5917
12,an attorney with a notepad,0.5672
13,a painting of an attorney,0.7833
14,a school janitor,0.7051
15,a dirty janitor,0.7602
16,a tired janitor,0.6815
17,a busy janitor,0.6232
18,a painting of an old janitor,0.79
19,a janitor in a mall,0.6419
20,a young mailman,0.8342
21,a lazy mailman,0.8293
22,a tired mailman,0.6544
23,a busy mailman,0.7417
24,a painting of an old mailman,0.75
25,a mailman on the street,0.5359
26,inside of the subway,0.3257
27,a subway station,0.3224
28,a sliced eggplant,0.3426
29,an eggplant on the table,0.2073
30,eggplant in a basket,0.2027
31,a painting of an eggplant,0.5931
32,a moldy eggplant,0.1948
33,a dish with eggplant,0.4879
34,people on a crosswalk,0.5435
35,a busy crosswalk,0.7395
36,a woman on a crosswalk,0.5926
37,a band-aid wrapped around a finger,0.5693
38,a band-aid covering a small cut,0.4259
39,a band-aid on an injured knee,0.495
40,a colorful band-aid on an elbow,0.6834
41,a band-aid for a cut,0.5234
42,a band-aid peeling off skin,0.59
