Prompt_Index,SAE_Prompt,Normalized_Score
0,a man wearing a purple sweater,0.6015
1,a woman knitting a brown sweater,0.5438
2,a girl knocking on the bathroom door,0.7198
3,a line of people waiting outside the bathroom,0.2985
4,a man cutting a sausage in half,0.7555
5,a woman throwing away the trash,0.8012
6,a man loading luggage into the car trunk,0.7992
7,a woman putting groceries in the car trunk,0.6668
8,a boy waiting in the line at a grocery store,0.6115
9,a line for the rollercoaster,0.3138
10,a line at the ticket counter,0.3155
11,a line for the morning bus,0.5166
12,a line at the post office,0.6238
13,a man ironing creases in his pants,0.8174
14,a kid wearing a pair of blue pants,0.8645
15,a woman enjoying a cup of tea with a cookie,0.4963
16,a man baking homemade cookies,0.7399
17,a man searching in the dark with a flashlight,0.3993
18,a policeman shining a flashlight at the suspect,0.2463
19,a mother changing her baby's diaper,0.7612
20,a happy baby wearing pink diapers,0.8286
21,a man filling up his car with gasoline,0.7611
22,a group of kids kicking a soccer ball,0.8269
23,a soccer player in the stadium,0.6802
24,a soccer player celebrating a win,0.6353
25,a soccer goalie in the field,0.5639
26,a goalkeeper trying to catch a soccer ball,0.7688
27,a woman picking up a precription at the pharmacy,0.5224
28,a group of people waiting at the pharmacy,0.5331
29,a boy eating french fries,0.7711
30,an attorney talking to his client,0.7051
31,a man attending a meeting with his attorney,0.6365
32,an attorney in a courtroom,0.7412
33,my attorney discussing the case,0.5028
34,an attorney with legal books,0.726
35,a school janitor sweeping the hallway,0.5601
36,a man talking to a janitor at the mall,0.7303
37,a tired janitor in an empty hallway,0.6268
38,a janitor sweeping the school hallway,0.5783
39,an office janitor in a supply closet,0.7565
40,a building janitor taking out the trash,0.8259
41,a man preparing dinner on the stove,0.4758
42,a woman putting the baby down in the crib,0.6735
43,a man setting up a crib,0.7429
44,a baby in a colorful crib,0.9289
45,a worker changing the image on the billboard,0.8352
46,a group of people staring at a large billboard,0.2952
47,a woman using a vacuum cleaner to clean the carpet,0.7531
48,a man using a vacuum cleaner on a carpeted floor,0.8149
49,a man holding a water pitcher,0.7459
50,a boy refilling his cup with a water pitcher,0.8489
51,a mailman delivering packages,0.6969
52,a man having a friendly chat with the mailman,0.914
53,a mailman in blue uniform,0.7144
54,a mailman in a truck,0.7954
55,a mailman at the front door,0.8801
56,my mailman with a big bag,0.8276
57,a woman taking a walk with her baby in the baby carriage,0.6125
58,a baby carriage with a sleeping baby,0.7478
59,a man walking with a baby carriage on a cobblestone street,0.5726
60,a man inside a black sedan,0.8129
61,a boy sitting on the hood of the car,0.9202
62,a woman chopping cilantro in the kitchen,0.6842
63,a man slicing a zucchini in the kitchen,0.6165
64,a woman picking a zucchini at the market,0.3393
65,a crowd of people waiting for the subway,0.3735
66,a man sitting inside the subway,0.5753
67,my subway ride during rush hour,0.4609
68,a grandma slicing an eggplant in the kitchen,0.3368
69,a man picking an eggplant at the market,0.2835
70,a band-aid covering a small wound,0.407
71,a band-aid on someone's forehead,0.4562
72,a band-aid floating in a swimming pool,0.6939
73,a discarded band-aid on the sidewalk,0.6257
74,a band-aid with cartoon characters,0.6188
75,a waterproof band-aid on a hand,0.618
76,a vest displayed on a mannequin,0.7027
77,a checked vest on display,0.5739
78,a man buttoning his vest,0.5044
79,a silk vest in a boutique,0.6002
80,a vest matching formal pants,0.3189
81,a vest embroidered with flowers,0.6875
