Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,person_in_prompt,dialect_word_count,polysemic,Polysemy_Prompt
math,monastery,an old man in the village square,an old monastery in the village square,0,1,1,a math textbook from the 1960s lying on a wooden desk
math,monastery,a math on a grassy hill with trees,a monastery on a grassy hill with trees,0,1,1,a whiteboard filled with complex math equations
math,monastery,an older person entering a math,an older person entering a monastery,1,1,1,a student explaining a math problem to a teacher
math,monastery,a math in an old city center,a monastery in an old city center,0,1,1,a young girl solving math exercises in her workbook
math,monastery,a math class with a crowd of people outside,a monastery with a crowd of people outside,1,1,1,a math competition in a crowded school hall
math,monastery,an ancient mathematician in a dark misty forest,an old monastery in a dark misty forest,0,1,1,an open laptop displaying a math quiz in a dim room
simkin,champagne,a bottle of sherry on a wooden table,a bottle of champagne on a wooden table,0,1,0,
simkin,champagne,simkin on a shelf in a grocery store,champagne on a shelf in a grocery store,0,1,0,
simkin,champagne,simkin and two glasses on a table outside,champagne and two glasses on a table outside,0,1,0,
simkin,champagne,simkin in a glass on a table,champagne in a glass on a table,0,1,0,
simkin,champagne,a person holding a bottle of simkin,a person holding a bottle of champagne,1,1,0,
simkin,champagne,a person pouring sherry into a glass,a person pouring champagne into a glass,1,1,0,
dai,midwife,a day in a hospital,a midwife in a hospital,1,1,0,
dai,midwife,a day walking into a house,a midwife walking into a house,1,1,0,
dai,midwife,a woman in a bed with a dog next to it,a woman in a bed with a midwife next to it,1,1,0,
dai,midwife,a doctor talking with a patient,a midwife talking with a doctor,1,1,0,
dai,midwife,a day holding a bottle of medicine,a midwife holding a bottle of medicine,1,1,0,
dai,midwife,a doctor talking with a nurse,a midwife talking with a nurse,1,1,0,
medico,medical practitioner,a doctor sitting at a table outside,a medical practitioner sitting at a table outside,1,1,0,
medico,medical practitioner,two doctors in a conference room,two medical practitioners in a conference room,1,1,0,
medico,medical practitioner,a doctor walking in a park,a medical practitioner walking in a park,1,1,0,
medico,medical practitioner,the doctor talking with a patient in a room,the medical practitioner talking with a patient in a room,1,1,0,
medico,medical practitioner,a doctor standing outside a building,a medical practitioner standing outside a building,1,1,0,
medico,medical practitioner,a doctor talking with a nurse,a medical practitioner talking with a nurse,1,1,0,
chick,bamboo blinds,two windows covered with chicken wire,two windows covered with bamboo blinds,0,1,1,two fluffy yellow chicks standing in front of a mirror
chick,bamboo blinds,a living room with windows covered with chicken wire,a living room with windows covered with bamboo blinds,0,1,1,a chick pecking at feed in a coop
chick,bamboo blinds,a kitchen with a window covered with chicken wire,a kitchen with a window covered with bamboo blinds,0,1,1,a hand holding a tiny chick inside a basket
chick,bamboo blinds,a living room window covered with rolled-up chicken wire,a living room window covered with rolled-up bamboo blinds,0,1,1,several chicks huddled under a heat lamp
chick,bamboo blinds,a doorway covered with chicken feathers,a doorway with bamboo blinds covering it,0,1,1,a chick perched on a wooden fence
chick,bamboo blinds,a window with rolled-up curtains,a window with rolled up bamboo blinds,0,1,1,a line of chicks walking behind their mother hen
ghat,mountain pass,A house with lots of pine trees,a mountain pass with lots of pine trees,0,1,0,
ghat,mountain pass,a narrow ghat covered in snow and pine trees,a narrow mountain pass covered in snow and pine trees,0,1,0,
ghat,mountain pass,A road with a bridge that has many cars.,a mountain pass with a road with lots of cars,0,1,0,
ghat,mountain pass,two people walking through the path,two people walking through the mountain pass,0,1,0,
ghat,mountain pass,a road in the hill,a roadway in the mountain pass,0,1,0,
ghat,mountain pass,a trail in the wooded area,a trail in the wooded mountain pass,0,1,0,
kirana,convenience store,an old grocery store with faded signage,an old convenience store with faded signage,0,1,0,
kirana,convenience store,a modern convenience store with glass doors,a modern convenience store with glass doors,0,1,0,
kirana,convenience store,a busy convenience store packed with groceries,a busy convenience store packed with groceries,0,1,0,
kirana,convenience store,a small convenience store on fire at dusk,a small convenience store on fire at dusk,0,1,0,
kirana,convenience store,an empty convenience store with bare shelves,an empty convenience store with bare shelves,0,1,0,
kirana,convenience store,a painting of a kirana with stacked cans,a painting of a convenience store with stacked cans,0,1,0,
mandapa,temple,a pavilion beside some trees,a temple beside some trees,0,1,0,
mandapa,temple,people standing outside a pavilion,people standing outside a temple,1,1,0,
mandapa,temple,a well-dressed person in front of a mandapa,a well-dressed person in front of a temple,1,1,0,
mandapa,temple,a family in front of a mandapa,a family in front of a temple,1,1,0,
mandapa,temple,a mandapa beside a sandy landscape,a temple beside a sandy landscape,0,1,0,
mandapa,temple,an old temple with many people,an old temple with lots of people,1,1,0,
nai,barber,a barber cutting a man's hair,a barber cutting a man's hair,1,1,0,
nai,barber,a barber cutting a woman's hair,a barber cutting a woman's hair,1,1,0,
nai,barber,a small shop in a busy city,a barber shop in a busy city,0,1,0,
nai,barber,a friendly local neighbor,a friendly local barber,1,1,0,
nai,barber,a child getting his hair cut by a barber,a child getting his hair cut by a barber,1,1,0,
nai,barber,three people in a nail shop,three people in a barber shop,1,1,0,
thana,police station,police officers working inside a police station,officers working inside a police station,1,1,0,
thana,police station,a person standing outside a police station,a person standing outside a police station,1,1,0,
thana,police station,a person talking to an officer inside a police station,a person talking to an officer inside a police station,1,1,0,
thana,police station,two police officers speaking to a detained person in a police station,two officers speaking to an arrested person in a police station,1,1,0,
thana,police station,A house on a road with lots of trees,a police station on a road with lots of trees,0,1,0,
thana,police station,a store in a busy city,a police station in a busy city,0,1,0,
abba,father,a boy standing with his father,a boy standing with his father,1,1,0,
abba,father,a girl standing with her father near the school gate,a girl standing with her father near the school gate,1,1,0,
abba,father,a man hiking with his dad,a man hiking with his father,1,1,0,
abba,father,a woman in a car with her Abba,a woman in a car with her father,1,1,0,
abba,father,a woman walking with her grandmother and a dog,a woman walking with her father and a dog,1,1,0,
abba,father,a man sitting at a table with his father,a man sitting at a table with his father,1,1,0,
pial,veranda,a big house with a pool,a big house with a veranda,0,1,0,
pial,veranda,outdoor furniture under a patio,outdoor furniture under a veranda,0,1,0,
pial,veranda,a small one-story house with a pool,a small one story house with a veranda,0,1,0,
pial,veranda,people relaxing under a palm,people relaxing under a veranda,1,1,0,
pial,veranda,A modern-looking plate on a house,a modern looking veranda on a house,0,1,0,
