Prompt_Index,SAE_Prompt,Score
0,a red semitruck driving down the street,0.2827
1,a delivery semitruck loaded with packages,0.2811
2,a semitruck parked by the curb,0.2756
3,a semitruck parked at a stop sign,0.2631
4,a semitruck hauling timber,0.3272
5,a semitruck with a flat tire,0.2746
6,a cozy sweater hanging in a closet,0.3213
7,a man wearing a purple sweater,0.324
8,a woman knitting a brown sweater,0.3104
9,a sweater with reindeer patterns,0.3453
10,a sweater on a hanger,0.3269
11,a sweater folded neatly,0.2918
12,a girl knocking on the bathroom door,0.3085
13,a set of fresh towels in the bathroom,0.3067
14,a line of people waiting outside the bathroom,0.2781
15,a bathroom with a leaky faucet,0.2586
16,a tidy bathroom with shiny blue wall tiles,0.3547
17,a bathroom with a shower curtain,0.3006
18,a pack of sausages at the grocery store,0.3043
19,a plate of sausages and eggs with toast,0.3108
20,a man cutting a sausage in half,0.3136
21,sausages on a grill,0.2953
22,sausages and mashed potatoes on a plate,0.337
23,my sausages sizzling in a pan,0.3049
24,a woman throwing away the trash,0.3103
25,a bin overflowing with trash,0.2518
26,a raccoon going through trash,0.3466
27,a trash can near a park bench,0.265
28,a trash pile in an alley,0.2962
29,a trash dumpster in a construction site,0.3026
30,a top-floor apartment with a view of the city,0.2993
31,a college student's apartment,0.2958
32,a cozy apartment in the city,0.2922
33,an apartment with a balcony overlooking the city,0.2916
34,an apartment with a rooftop garden,0.3316
35,my apartment with an open-plan kitchen,0.2953
36,a man loading luggage into the car trunk,0.3035
37,a spare tire in the car trunk,0.2907
38,a woman putting groceries in the car trunk,0.3061
39,a car trunk filled with groceries,0.3207
40,a car trunk packed for a road trip,0.2954
41,my car trunk after a shopping spree,0.2843
42,a boy waiting in the line at a grocery store,0.3107
43,a line for the rollercoaster,0.3033
44,a line of cars at a drive-through,0.2751
45,a line at the ticket counter,0.3003
46,a line for the morning bus,0.2848
47,a line at the post office,0.3049
48,a man ironing creases in his pants,0.3101
49,a pair of purple pants folded on a chair,0.3376
50,a kid wearing a pair of blue pants,0.3233
51,a pants display in a store,0.2881
52,pants with a matching blazer,0.2966
53,my pants hanging in the closet,0.2703
54,a woman enjoying a cup of tea with a cookie,0.3036
55,a tin of assorted cookies,0.2995
56,a man baking homemade cookies,0.2998
57,a cookie with chocolate chips,0.2901
58,a cookie on a baking tray,0.2709
59,a cookie with a bite taken out,0.2741
60,a beam of light from the flashlight,0.293
61,a man searching in the dark with a flashlight,0.3125
62,a rechargeable LED flashlight,0.3192
63,my flashlight in a toolbox,0.2772
64,a flashlight with low battery,0.3017
65,a policeman shining a flashlight at the suspect,0.3056
66,a mother changing her baby's diaper,0.277
67,a pack of cloth diapers,0.3177
68,a happy baby wearing pink diapers,0.3079
69,a diaper on a changing table,0.2968
70,diapers with cute patterns,0.3219
71,a diaper on a clothesline,0.3162
72,a gasoline station at night,0.3213
73,a man filling up his car with gasoline,0.2912
74,a sign showing gasoline prices,0.2963
75,a gasoline pump at a station,0.2943
76,a gasoline tanker on the road,0.3037
77,a brightly lit gasoline station sign at night,0.3019
78,a group of kids kicking a soccer ball,0.2898
79,a soccer player in the stadium,0.2715
80,a soccer player celebrating a win,0.2838
81,my soccer cleats on the field,0.2865
82,a soccer goalie in the field,0.297
83,a goalkeeper trying to catch a soccer ball,0.2789
84,a woman picking up a precription at the pharmacy,0.2836
85,a wide range of products at the pharmacy,0.299
86,a group of people waiting at the pharmacy,0.3017
87,a pharmacy counter with vitamins,0.2871
88,my pharmacy where I get prescriptions,0.2779
89,a pharmacy with a neon sign,0.3034
90,a bowl of french fries at a restaurant,0.3001
91,a boy eating french fries,0.3204
92,a plate with a burger and french fries,0.3028
93,french fries with ketchup and mayo,0.3156
94,my french fries from the local fry shop,0.2889
95,a french fries portion next to a burger,0.2898
96,an office belonging to an attorney,0.3076
97,an attorney talking to his client,0.2884
98,a man attending a meeting with his attorney,0.2736
99,an attorney in a courtroom,0.2969
100,my attorney discussing the case,0.2681
101,an attorney with legal books,0.3058
102,a school janitor sweeping the hallway,0.3539
103,a man talking to a janitor at the mall,0.3311
104,a tired janitor in an empty hallway,0.2926
105,a janitor sweeping the school hallway,0.3706
106,an office janitor in a supply closet,0.2908
107,a building janitor taking out the trash,0.2825
108,a man preparing dinner on the stove,0.2789
109,a bowl of hot soup sitting on the stove,0.2747
110,a modern electric stove with digital controls,0.3082
111,a stove with boiling pots,0.2938
112,a stove with a baking oven,0.2969
113,my stove after making breakfast,0.2768
114,a woman putting the baby down in the crib,0.2975
115,a man setting up a crib,0.3142
116,a baby in a colorful crib,0.3289
117,a crib with soft blankets,0.2955
118,a baby crib with wooden bars,0.3455
119,a crib with stuffed animals,0.3199
120,an advertisement on a city billboard,0.2905
121,a worker changing the image on the billboard,0.3172
122,a group of people staring at a large billboard,0.3317
123,a billboard advertising a concert,0.3031
124,my billboard design displayed downtown,0.3124
125,a billboard lit up at night,0.2962
126,a woman using a vacuum cleaner to clean the carpet,0.3313
127,a bright red vacuum cleaner in a store,0.3535
128,a dirty vacuum cleaner on the carpet,0.3162
129,a vacuum cleaner stored in a closet,0.3147
130,a red vacuum cleaner with a long cord on the floor,0.3436
131,a man using a vacuum cleaner on a carpeted floor,0.3359
132,a man holding a water pitcher,0.2925
133,a boy refilling his cup with a water pitcher,0.322
134,a decorative ceramic pitcher,0.3167
135,a pitcher filled with lemonade,0.335
136,a pitcher with a floral design,0.342
137,a pitcher in the refrigerator,0.2711
138,a mailman delivering packages,0.3129
139,a man having a friendly chat with the mailman,0.2834
140,a mailman in blue uniform,0.3425
