Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,a long queue,a long line,0.4914
1,a short queue,a short line,0.5928
2,a painting of a long queue,a painting of a long line,0.6088
3,a queue of people,a line of people,0.1951
4,a queue outside the store,a line outside the store,0.3695
5,a queue for food,a line for food,0.3566
6,a team scoring a football goal,a team scoring a soccer goal,0.4566
7,queue at a chemist shop,queue at a pharmacy shop,0.3183
8,a barrister at a table,an attorney at a table,0.8179
9,an old barrister,an old attorney,0.7572
10,a barrister at a park,an attorney at a park,0.8022
11,a barrister with a woman,an attorney with a woman,0.6876
12,a barrister with a notepad,an attorney with a notepad,0.7936
13,a painting of a barrister,a painting of an attorney,0.763
14,a school caretaker,a school janitor,0.5089
15,a dirty caretaker,a dirty janitor,0.814
16,a tired caretaker,a tired janitor,0.5676
17,a busy caretaker,a busy janitor,0.6432
18,a painting of an old caretaker,a painting of an old janitor,0.828
19,a caretaker in a mall,a janitor in a mall,0.6339
20,a young postman,a young mailman,0.8877
21,a lazy postman,a lazy mailman,0.823
22,a tired postman,a tired mailman,0.8738
23,a busy postman,a busy mailman,0.8627
24,a painting of an old postman,a painting of an old mailman,0.8764
25,a postman on the street,a mailman on the street,0.592
26,inside of the tube,inside of the subway,0.4232
27,a tube station,a subway station,0.2381
28,a sliced aubergine,a sliced eggplant,0.5361
29,an aubergine on the table,an eggplant on the table,0.1339
30,aubergine in a basket,eggplant in a basket,0.072
31,a painting of an aubergine,a painting of an eggplant,0.2444
32,a moldy aubergine,a moldy eggplant,0.1808
33,a dish with aubergine,a dish with eggplant,0.3012
34,people on a zebra crossing,people on a crosswalk,0.6143
35,a busy zebra crossing,a busy crosswalk,0.6405
36,a woman on a zebra crossing,a woman on a crosswalk,0.6192
37,a plaster wrapped around a finger,a band-aid wrapped around a finger,0.7706
38,a plaster covering a small cut,a band-aid covering a small cut,0.7775
39,a plaster on an injured knee,a band-aid on an injured knee,0.6939
40,a colorful plaster on an elbow,a colorful band-aid on an elbow,0.7646
41,a plaster for a cut,a band-aid for a cut,0.6369
42,a plaster peeling off skin,a band-aid peeling off skin,0.7131
