Prompt_Index,SAE_Prompt,Normalized_Score
0,a woman driving a green truck on a farm,0.6545
1,a man driving a truck on the highway,0.5197
2,two kids sitting on the back of a truck,0.727
3,a street vendor selling shaved ice,0.4836
4,a man enjoying shaved ice on a hot day,0.8661
5,a girl enjoying a bowl of shaved ice in the park,0.7985
6,two people sharing a cup of shaved ice on the table,0.8281
7,a group of teens in a friend group walking through the neighborhood,0.5458
8,a friend group gathered around a bench talking,0.5279
9,a friend group laughing loudly by a taco stand,0.6642
10,a friend group posing for a picture in front of a mural,0.6222
11,a friend group skateboarding down the street together,0.7472
12,a godfather cutting a birthday cake,0.6916
13,a godfather officiating a wedding ceremony,0.6779
14,a godfather playing chess with his godson,0.6175
15,a godfather cheering at a baseball game,0.8857
16,a godfather enjoying a cigar in a lounge,0.6581
17,a godfather gifting a necklace at a baptism,0.8345
18,a person hiking through a field,0.3821
19,a person running through a field,0.3206
20,two kids playing around in the field,0.7865
21,two men sitting in a jail cell,0.2993
22,a jail guard standing in front of a wall,0.1774
23,a small prison with high fences,0.1342
24,a man about to go to prison,0.4035
25,a person and their girlfriend walking down a street,0.2991
26,a man and his girlfriend laughing,0.4286
27,a person and their girlfriend dressed in similar looking clothes,0.6331
28,my girlfriend and I driving in a blue car,0.7565
29,me having dinner in a restaurant with my girlfriend,0.8502
30,a sunny day in the park with my girlfriend,0.5896
31,a person irons a dress shirt,0.435
32,a person irons a towel in a sunny room,0.5703
33,a man irons his pants before work,0.4171
34,my mother irons the curtains,0.6051
35,a woman irons clothes in the laundry room,0.434
36,my brother irons his uniform shirt,0.6786
37,a person exploring El Paso on a sunny afternoon,0.577
38,a woman and her brother eating at a restaurant,0.5449
39,a man hiking with his brother on a forest trail,0.5132
40,my brother posing for a picture,0.7214
41,me standing with my brother,0.2407
42,my brother and I sitting at a table,0.9287
43,my brother riding a bike,0.8527
44,a woman and her sister eating at a restaurant,0.422
45,a man hiking with his sister through a mountain path,0.3721
46,me and my sister posing for a picture,0.3798
47,me standing with my sister,0.2123
48,my sister and I sitting at a table,0.5453
49,my sister riding a bike,0.8252
50,my brothers playing basketball together,0.7479
51,a brothers duo in a rock band,0.775
52,my brothers on a camping trip,0.8695
53,a brothers wrestling match,0.5381
54,my brothers building a treehouse,0.9242
55,a brothers handshake at graduation,0.7878
56,a sisters moment at a wedding,0.5854
57,my sisters studying together,0.3379
58,a sisters dance routine,0.3262
59,my sisters sharing a secret,0.4299
60,my sisters having a tea party in the garden,0.4542
61,my sisters braiding each other's hair,0.2695
62,a group of mexican americans at a family reunion,0.3381
63,a mexican american activist speaking at a rally,0.6534
64,a mexican american community center hosting an event,0.5486
65,a mexican american cultural festival in the park,0.2124
66,a mexican american musician performing live,0.6452
67,a mexican american student at a graduation ceremony,0.6325
68,a young man wearing sunglasses and a bandana,0.8143
69,a young man skateboarding down a hill,0.8153
70,a young man leaning against a lowrider,0.6972
71,a young man playing an acoustic guitar,0.5705
72,a young man writing in a journal at a cafe,0.7282
73,a young man shooting pool at a bar,0.4572
74,a young man playing basketball in a local court,0.3279
75,a young man walking his pitbull in the neighborhood,0.5725
76,a young man buying street tacos from a food truck,0.7915
77,a young man riding a BMX bike in a skate park,0.8166
78,a young man breakdancing on a city street,0.6879
79,a young man playing the trumpet in a mariachi band,0.5685
80,a man grilling burgers at a cookout,0.7359
81,a man riding a horse at a ranch,0.3703
82,a man repairing a broken fence,0.6745
83,a man practicing archery in a field,0.3597
84,a man jogging in a city park,0.4724
85,a man watching a sunset from a pier,0.4696
86,a godmother baking cookies for a bake sale,0.724
87,a godmother attending a school play,0.6321
88,a godmother planting flowers in the garden,0.5543
89,a godmother knitting a sweater for her godchild,0.7249
90,a godmother singing in a church choir,0.6424
91,a godmother decorating a Christmas tree,0.6871
92,a crazy guy dancing in the rain,0.4762
93,a crazy stunt on a skateboard,0.7653
94,a crazy artist painting upside down,0.7764
95,a crazy expression on her face,0.3831
96,a crazy scene at the concert,0.6058
97,my daughter playing in a sandbox,0.8182
98,a daughter drawing with chalk on the sidewalk,0.7647
99,my daughter holding a big ice cream cone,0.69
100,a daughter riding a bike for the first time,0.7685
101,a daughter wearing a princess costume,0.6027
102,my daughter exploring the beach,0.5402
103,my son kicking a soccer ball,0.8937
104,a son climbing a tree,0.6458
105,my son reading a comic book,0.8052
106,a son playing with a toy train,0.7628
107,my son catching a fish,0.9737
108,a son building a sandcastle,0.9003
109,a surfer on a california wave,0.7964
110,my vacation in california,0.7435
111,a bustling market in california,0.3967
112,a hand dropping money into a piggy bank,0.6422
113,a close friend at a campfire,0.602
114,my close friend wearing a birthday hat,0.8005
115,a memory with my close friend at the beach,0.4963
116,an afternoon with my close friend at the cafe,0.535
117,a photo of me and my close friend,0.7221
118,a close friend helping with homework,0.5854
119,my favorite pampering session with candles,0.585
120,a man deciding to pamper himself,0.5295
121,a day out to pamper with friends,0.2913
122,a group of people sharing a lunch,0.5074
123,a child excited for his lunch break,0.5933
124,a boy flying a kite,0.7558
125,my boy wearing a school uniform,0.9062
126,an adventurous boy climbing a tree,0.8188
127,a boy with his toy collection,0.8696
128,a boy making a sandcastle,0.7494
129,a tired boy after soccer practice,0.7981
130,a girl with a flower crown,0.3534
131,my girl's first day at school,0.7247
132,a girl playing with her dolls,0.5806
133,an artistic girl painting a picture,0.7707
134,a girl practicing her dance routine,0.364
135,a girl laughing at a playground,0.7444
