Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a painting of teh tarik,a painting of milk tea,0.9348
1,a photo of teh tarik,a photo of milk tea,0.449
2,selling teh tarik,selling milk tea,0.8933
3,a large teh tarik,a large milk tea,0.6258
4,a small teh tarik,a small milk tea,0.5788
5,teh tarik on a table,milk tea on a counter,0.749
6,kopi on a table,coffee on a table,0.9759
7,kopi on a counter,coffee on a counter,0.9589
8,a painting of kopi,a painting of coffee,0.7697
9,two people getting kopi,two people getting coffee,0.7887
10,a man buying kopi,a man buying coffee,0.9312
11,a woman with kopi,a woman with coffee,0.9915
12,a painting of an ang pow,a painting of a red packet,0.4169
13,two ang pows on a table,two red packets on a table,0.9185
14,an ang pow on a counter,a red packet on a counter,0.5311
15,a person holding an ang pow,a person holding a red packet,0.4596
16,an ang pow on the ground,a red packet on the ground,0.5902
17,a child holding an ang pow,a child holding a red packet,0.9509
18,a painting of sotong,a painting of squid,0.8756
19,sotong on a table,squid on a table,0.8877
20,a sotong in a market,a squid in a market,0.8396
21,a sotong in an aquarium,a squid in an aquarium,0.8479
22,a sotong on a counter,a squid on a counter,0.9092
23,sotong in a box,squid in a box,0.9385
24,a person getting tapao,a person getting takeout,0.7593
25,tapao on a table,takeout on a table,0.7063
26,tapao from the food truck,takeout from the food truck,0.6018
27,let's get some food tapao,let's get some food takeout,0.9509
28,chinese food tapao,chinese food takeout,0.9449
29,a couple getting food tapao,a couple getting food takeout,0.8479
30,a kiasu businessman,a businessman with a grasping and selfish attitude,0.7489
31,a kiasu leader,a leader with a grasping and selfish attitude,0.3272
32,a kiasu student,a student with a grasping and selfish attitude,0.218
33,a kiasu parent,a parent with a grasping and selfish attitude,0.1607
34,a kiasu businesswoman,a businesswoman with a grasping and selfish attitude,0.2843
35,a kiasu politician,a politician with a grasping and selfish attitude,0.3538
36,a sian cat,a bored cat,0.8748
37,a sian woman,a bored woman,0.1711
38,a sian worker,a bored worker,0.3098
39,a child sian,a child bored,0.1658
40,a sian dog,a bored dog,0.1821
41,a sian man,a bored man,0.3947
42,a lepak dog,a relaxing dog,0.9141
43,people lepak on a beach,people relaxing on a beach,0.9729
44,people lepak on a coach,people relaxing on a coach,0.8545
45,a couple lepak in a park,a couple relaxing in a park,0.9861
46,a cat lepak,a cat relaxing,0.9417
47,a lepak setting,a relaxing setting,0.9799
48,a person gesturing can,a person gesturing yes,0.7388
49,a person answering can,a person answering yes,0.7593
50,a worker gesturing can,a worker gesturing yes,0.4724
51,a student gesturing can,a student gesturing yes,0.3272
52,a woman gesturing can,a woman gesturing yes,0.7063
53,a man gesturing can,a man gesturing yes,0.6954
54,a student chope,a student saving a table,0.2113
55,a man chope,a man saving a table,0.3538
56,a woman chope,a woman saving a table,0.5068
57,a group chope,a group saving a table,0.1252
58,chope at a cafe,saving a table at a cafe,0.3947
59,chope with a napkin,saving a table with a napkin,0.749
60,a counter with shiok things,a counter with tasty things,0.3538
61,a painting of something that is shiok,a painting of something that is very tasty,0.1452
62,a table with shiok stuff,a table with very tasty stuff,0.9141
63,a photo of something that is shiok,a photo of something that is tasty,0.335
64,something shiok,something tasty,0.4056
65,a person enjoying something that is shiok,a person enjoying something that is tasty,0.9822
66,an atas clothing store,a high class clothing store,0.8986
67,an atas party,a high class party,0.5788
68,a painting of something that is atas,a painting of something that is high class,0.8688
69,an atas restaurant,a high class restaurant,0.9745
70,an atas car,a high class car,0.1711
71,an atas house,a high class house,0.6727
72,an ulu beach,a secluded beach,0.8545
73,an ulu street,a secluded street,0.7887
74,an ulu trail,a secluded trail,0.9271
75,an ulu locale,a secluded locale,0.9612
76,an ulu house,a secluded house,0.9185
77,an ulu town,a secluded town,0.7175
78,a woman makan noodles,a woman eating noodles,0.9891
79,a painting of someone makan,a painting of someone eating,0.9417
80,a person makan salad,a person eating a salad,0.9786
81,a man makan a taco,a man eating a taco,0.4056
82,people makan,people eating,0.9385
83,a man makan a burrito,a man eating a burrito,0.4056
84,a family zhng their house,a family redecorates their house,0.4836
85,a worker zhng her office space,a worker redecorates her office space,0.6381
86,a couple zhng their garage,a couple redecorate their garage,0.7796
87,a woman zhng her room,a woman redecorates her room,0.4596
88,a man zhng his desk,a man redecorates his desk,0.1765
89,a person zhng their kitchen,a person redecorates their kitchen,0.3456
90,a tall ger,a tall girl,0.4836
91,a ger buying a computer,a girl buying a computer,0.384
92,a ger hiking,a girl hiking,0.7887
93,a ger,a girl,0.1452
94,a ger in a city,a girl in a city,0.7288
95,a painting of a ger,a painting of a girl,0.6954
96,a handphone on a table,a mobile phone on a table,0.9833
97,a woman holding a handphone,a woman holding a mobile phone,0.9891
98,a handphone on the ground,a mobile phone on the ground,0.749
99,a man with a handphone,a man with a mobile phone,0.9891
100,a painting of a handphone,a painting of a mobile phone,0.8933
101,a handphone on a lawn,a mobile phone on a lawn,0.9745
102,an ah long handling cash,a loan shark handling cash,0.5787
103,an ah long carrying a knife,a loan shark carrying a knife,0.6727
104,an ah long holding a bag,a loan shark holding a bag,0.5902
105,an ah long,a loan shark,0.2113
106,an ah long talking to someone,a loan shark talking to someone,0.3171
107,an ah long spray painting,a loan shark spray painting,0.3538
108,a man at a kopi tiam,a man at a coffee shop,0.9693
109,a woman at a kopi tiam,a woman at a coffee shop,0.9676
110,buying something at a kopi tiam,buying something at a coffee shop,0.8877
111,a kopi tiam,a coffee shop,0.7887
112,a modern kopi tiam,a modern coffee shop,0.9744
113,an old kopi tiam,an old coffee shop,0.749
114,a painting of a yandao,a painting of a handsome male,0.4267
115,a yandao buying food,a handsome male buying food,0.9833
116,a yandao walking,a handsome male walking,0.2048
117,a photo of a yandao,a photo of a handsome male,0.3538
118,a yandao,a handsome male,0.1939
119,a yandao at a gym,a handsome male at a gym,0.9655
120,a man mugging for finals,a man studying for finals,0.8748
121,a woman mugging at home,a woman studying at home,0.1879
122,a child busy mugging,a child busy studying,0.5788
123,a group of people mugging,a group of people studying,0.0468
124,an older person mugging,an older person studying,0.0916
125,mugging at a table,studying at a table,0.1765
126,a man being a lightbulb,a man being a third wheel,0.2609
127,a woman being a lightbulb,a woman being a third wheel,0.3098
128,a lightbulb sitting with a couple,a third wheel sitting with a couple,0.3003
129,a person feeling like a lightbulb,a person feeling like a third wheel,0.7063
130,scene with an awkward lightbulb,scene with an awkward third wheel,0.4596
131,a young lightbulb,a young third wheel,0.4724
132,a painting of black teh,a painting of black tea,0.7593
133,teh in a store,tea in a store,0.8621
134,a container with teh,a container with tea,0.9271
135,a teh shop in a city,a tea shop in a city,0.9312
136,white teh,white tea,0.8816
137,a jar with dry teh,a jar with dry tea,0.9563
