Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,a lil baby,a little baby,0.799
1,a painting of a lil boy,a painting of a little boy,0.8832
2,a lil girl,a little girl,0.4045
3,a man holla at a girl,a man holler at a girl,0.474
4,a man holla at a woman,a man holler at a woman,0.2568
5,a guy holla at a woman,a guy holler at a woman,0.3501
6,a guy holla at his homie,a guy holler at his close friend,0.4162
7,a holla from the audience,a holler from the audience,0.5386
8,my homie,my close friend,0.3007
9,my handsome homie,my handsome close friend,0.7467
10,an old homie,an old close friend,0.5871
11,me and my homie,me and my close friend,0.5043
12,a homie from childhood,a close friend from childhood,0.5127
13,painting of me and my homie,painting of me and my close friend,0.5933
14,me and my crew,me and my friends,0.2582
15,me and my large crew,me and my large friends,0.3793
16,painting of me and my crew,painting of me and my friends,0.4174
17,me and my small crew,me and my small friends,0.3914
18,my crew wearing red,my friends wearing red,0.2647
19,my crew at my house,my friends at my house,0.411
20,an old nana,an old grandma,0.5509
21,my beautiful nana,my beautiful grandma,0.7684
22,a group of nanas,a group of grandmas,0.422
23,my nana in purple,my grandma in purple,0.5947
24,my nana in her house,my grandma in her house,0.4938
25,an angry nana,an angry grandma,0.2294
26,a picture of my bae,a picture of my lover,0.2817
27,my sleeping bae,my sleeping lover,0.4337
28,my beautiful bae,my beautiful lover,0.299
29,my bae at my house,my lover at my house,0.4171
30,my bae wearing purple,my lover wearing purple,0.1753
31,my handsome bae,my handsome lover,0.3081
32,a kid deposit some dough,a kid deposit some money,0.8992
33,a man paying with dough,a man paying with money,0.6727
34,a woman paying with dough,a woman paying with money,0.6841
35,a man aiming his piece,a man aiming his gun,0.3533
36,a man wearing grills,a man wearing dental jewelry,0.6797
37,a woman wearing grills,a woman wearing dental jewelry,0.598
38,tipping my lid,tipping my hat,0.5324
39,wearing a lid,wearing a hat,0.6229
40,loading the hammer,loading the gun,0.4426
41,aiming the hammer,aiming the gun,0.2826
42,a busy hood,a busy neighborhood,0.3483
43,a man flashing paper,a man flashing bills,0.6222
44,a man with his fam,a man with his close friends,0.3733
45,a group picture with the fam,a group picture with the close friends,0.5311
46,a painting of my fam,a painting of my close friends,0.514
47,my fam in the house,my close friends in the house,0.3675
48,me with my fam,me with my close friends,0.5385
49,hanging with my fam,hanging with my close friends,0.4143
50,a picture of my boo,a picture of my lover,0.5763
51,my sleeping boo,my sleeping lover,0.637
52,my beautiful boo,my beautiful lover,0.1193
53,my boo at my house,my lover at my house,0.1597
54,my boo wearing pink,my lover wearing pink,0.7392
55,my handsome boo,my handsome lover,0.4809
56,my homeboy,my close friend,0.6655
57,my handsome homeboy,my handsome close friend,0.5209
58,an old homeboy,an old close friend,0.3891
59,me and my homeboy,me and my close friend,0.659
60,a homeboy from childhood,a close friend from childhood,0.4967
61,painting of me and my homeboy,painting of me and my close friend,0.9198
62,a man feeling mellow,a man high on marijuana,0.5741
63,a woman feeling mellow,a woman high on marijuana,0.3728
64,a painting of a person feeling mellow,a painting of a person high on marijuana,0.643
65,a group of people feeling mellow,a group of people high on marijuana,0.5714
66,college students feeling mellow,college students high on marijuana,0.556
67,a person feeling mellow,a person high on marijuana,0.6817
68,my morning nappiness,my morning hair frizziness,0.4055
69,a painting of my nappiness,a painting of my hair frizziness,0.7671
70,fixing my nappiness,fixing my hair frizziness,0.5479
71,a woman with nappiness,a woman with hair frizziness,0.5154
72,my natural nappiness,my natural hair frizziness,0.3106
73,two people with nappiness,two people with hair frizziness,0.3529
74,a painting of my dreads,a painting of my dreadlocks,0.4658
75,my dirty dreads,my dirty dreadlocks,0.3504
76,my long dreads,my long dreadlocks,0.2682
77,two people with dreads,two people with dreadlocks,0.1007
78,cutting my dreads,cutting my dreadlocks,0.1177
79,dyed dreads,dyed dreadlocks,0.2869
