Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,person_in_prompt,dialect_word_count,polysemic,Polysemy_Prompt
math,monastery,an old math in the village square,an old monastery in the village square,0,1,1,a math textbook from the 1960s lying on a wooden desk
math,monastery,a math on a grassy hill with trees,a monastery on a grassy hill with trees,0,1,1,a whiteboard filled with complex math equations
math,monastery,an older person entering a math,an older person entering a monastery,1,1,1,a student explaining a math problem to a teacher
math,monastery,a math in an old city center,a monastery in an old city center,0,1,1,a young girl solving math exercises in her workbook
math,monastery,a math with a crowd of people outside,a monastery with a crowd of people outside,1,1,1,a math competition in a crowded school hall
math,monastery,a math in a dark forest,a monastery in a dark forest,0,1,1,an open laptop displaying a math quiz in a dim room
chick,bamboo blinds,two windows covered with chick,two windows covered with bamboo blinds,0,1,1,two fluffy yellow chicks standing in front of a mirror
chick,bamboo blinds,a living room with windows covered with chick,a living room with windows covered with bamboo blinds,0,1,1,a chick pecking at feed in a coop
chick,bamboo blinds,a kitchen with a window covered with chick,a kitchen with a window covered with bamboo blinds,0,1,1,a hand holding a tiny chick inside a basket
chick,bamboo blinds,a window covered with chick,a window covered with bamboo blinds,0,1,1,several chicks huddled under a heat lamp
chick,bamboo blinds,a doorway with chick covering it,a doorway with bamboo blinds covering it,0,1,1,a chick perched on a wooden fence
chick,bamboo blinds,a window with rolled up chick,a window with rolled up bamboo blinds,0,1,1,a line of chicks walking behind their mother hen
dicky,car trunk,a man loading groceries into the dicky,a man loading groceries into the car trunk,1,1,1,a man adjusting his tuxedo’s detachable dicky collar
dicky,car trunk,a white car with an empty dicky,a white car with an empty car trunk,1,0,1,a white formal shirt with a starched dicky folded neatly
dicky,car trunk,a woman retrieving bags from the dicky,a woman retrieving bags from the car trunk,1,1,1,a woman ironing a vintage detachable dicky for formalwear
dicky,car trunk,a dirty dicky covered with mud stains,a dirty car trunk covered with mud stains,1,0,1,a stained dicky collar lying in a laundry basket
dicky,car trunk,a mechanic repairing a broken dicky,a mechanic repairing a broken car trunk,1,1,1,a tailor sewing a torn dicky back into shape
dicky,car trunk,children hiding inside an open dicky,children hiding inside an open car trunk,1,1,1,a child wearing a comically oversized tuxedo dicky
