Prompt_Index,SAE_Prompt,Normalized_Score
0,a crowded monastery,0.0
1,a painting of some champagne,1.0
2,an old midwife,1.0
3,a midwife with a woman,0.0
4,a painting of a midwife,0.0
5,a young midwife,0.0
6,a midwife sitting down,0.0
7,a photograph of a midwife with a cat,1.0
8,a medical practitioner at a table,0.0
9,an old medical practitioner,1.0
10,a medical practitioner at a park,0.0
11,a medical practitioner with a woman,0.0
12,a medical practitioner with a notepad,0.0
13,a painting of a medical practitioner,1.0
14,a barber in red,0.0
15,an old barber,1.0
16,a barber by the chair,0.0
17,a barber working,0.0
18,a person walking into a police station,0.9715
19,a father in front of a house,0.0
20,a girl standing with her father,1.0
21,a crying father,1.0
22,a father on a bed,0.0
23,an old father with a dog,0.0007
24,an old father in the kitchen,1.0
25,a beautiful queen,1.0
26,a queen in a garden,1.0
27,a painting of an old queen,1.0
28,a queen covered in snow,1.0
29,a queen in a large hall,1.0
30,an old queen on a bed,1.0
31,a painting of a eggplant,0.0
32,a person with some food,0.9917
33,a family enjoying food,1.0
34,a bustling town,1.0
35,a lively town,1.0
36,a painting of incense,0.1015
37,a busy warehouse,1.0
38,a very busy gas station,1.0
39,a man with a blue motorcycle,0.0
40,a black motorcycle,0.9999
41,an old craftsman,1.0
42,a group of craftsmen,0.0
43,a craftsman in a house,1.0
44,a dirty craftsman,0.0023
45,a craftsman in orange,1.0
46,a craftsman in a big city,1.0
47,an angry supervisor,1.0
48,an old supervisor,1.0
49,a supervisor in a room,1.0
50,a painting of a supervisor,1.0
51,a supervisor in the office,0.9993
52,a supervisor with a group of people,0.997
53,a child with water,0.0
54,a man next to a checkpoint,0.0
55,a lively luncheon,1.0
56,a luncheon in the building,1.0
57,an indoor luncheon,1.0
58,a luncheon in the city,1.0
59,a luncheon at school,1.0
60,the inside of a gambling den,0.9997
61,a gambling room,0.0004
62,a place of gambling,1.0
63,a bustling gambling den,1.0
64,a luxurious gambling den,0.9928
65,a group of people gambling,1.0
66,a mechanic inspecting a spare tire,1.0
67,a group photo of my classmates,0.9991
68,my classmate smiling,0.0021
69,two classmates studying,1.0
70,a classmate at a desk,1.0
71,classmates outside the school,0.0003
72,a classmate playing basketball,0.0
