Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,person_in_prompt,dialect_word_count,polysemic,Polysemy_Prompt
math,monastery,an old math in the village square,an old monastery in the village square,0,1,1,a math textbook from the 1960s lying on a wooden desk
math,monastery,a math on a grassy hill with trees,a monastery on a grassy hill with trees,0,1,1,a whiteboard filled with complex math equations
math,monastery,an older person entering a math,an older person entering a monastery,1,1,1,a student explaining a math problem to a teacher
math,monastery,a math in an old city center,a monastery in an old city center,0,1,1,a young girl solving math exercises in her workbook
math,monastery,a math with a crowd of people outside,a monastery with a crowd of people outside,1,1,1,a math competition in a crowded school hall
math,monastery,an old math in a dark misty forest,an old monastery in a dark misty forest,0,1,1,an open laptop displaying a math quiz in a dim room
simkin,champagne,a bottle of simkin on a wooden table,a bottle of champagne on a wooden table,0,1,0,
simkin,champagne,simkin on a shelf in a grocery store,champagne on a shelf in a grocery store,0,1,0,
simkin,champagne,simkin and two glasses on a table outside,champagne and two glasses on a table outside,0,1,0,
simkin,champagne,simkin in a glass on a table,champagne in a glass on a table,0,1,0,
simkin,champagne,a person holding a bottle of simkin,a person holding a bottle of champagne,1,1,0,
simkin,champagne,a person pouring simkin into a glass,a person pouring champagne into a glass,1,1,0,
dai,midwife,a dai in a hospital,a midwife in a hospital,1,1,0,
dai,midwife,a dai walking into a house,a midwife walking into a house,1,1,0,
dai,midwife,a woman in a bed with a dai next to it,a woman in a bed with a midwife next to it,1,1,0,
dai,midwife,a dai talking with a doctor,a midwife talking with a doctor,1,1,0,
dai,midwife,a dai holding a bottle of medicine,a midwife holding a bottle of medicine,1,1,0,
dai,midwife,a dai talking with a nurse,a midwife talking with a nurse,1,1,0,
medico,medical practitioner,a medico sitting at a table outside,a medical practitioner sitting at a table outside,1,1,0,
medico,medical practitioner,two medicos in a conference room,two medical practitioners in a conference room,1,1,0,
medico,medical practitioner,a medico walking in a park,a medical practitioner walking in a park,1,1,0,
medico,medical practitioner,the medico talking with a patient in a room,the medical practitioner talking with a patient in a room,1,1,0,
medico,medical practitioner,a medico standing outside a building,a medical practitioner standing outside a building,1,1,0,
medico,medical practitioner,a medico talking with a nurse,a medical practitioner talking with a nurse,1,1,0,
chick,bamboo blinds,two windows covered with chick,two windows covered with bamboo blinds,0,1,1,two fluffy yellow chicks standing in front of a mirror
chick,bamboo blinds,a living room with windows covered with chick,a living room with windows covered with bamboo blinds,0,1,1,a chick pecking at feed in a coop
chick,bamboo blinds,a kitchen with a window covered with chick,a kitchen with a window covered with bamboo blinds,0,1,1,a hand holding a tiny chick inside a basket
chick,bamboo blinds,a living room window covered with rolled-up chick,a living room window covered with rolled-up bamboo blinds,0,1,1,several chicks huddled under a heat lamp
chick,bamboo blinds,a doorway with chick covering it,a doorway with bamboo blinds covering it,0,1,1,a chick perched on a wooden fence
chick,bamboo blinds,a window with rolled up chick,a window with rolled up bamboo blinds,0,1,1,a line of chicks walking behind their mother hen
ghat,mountain pass,a ghat with lots of pine trees,a mountain pass with lots of pine trees,0,1,0,
ghat,mountain pass,a narrow ghat covered in snow and pine trees,a narrow mountain pass covered in snow and pine trees,0,1,0,
ghat,mountain pass,a ghat with a road with lots of cars,a mountain pass with a road with lots of cars,0,1,0,
ghat,mountain pass,two people walking through the ghat,two people walking through the mountain pass,0,1,0,
ghat,mountain pass,a roadway in the ghat,a roadway in the mountain pass,0,1,0,
ghat,mountain pass,a trail in the wooded ghat,a trail in the wooded mountain pass,0,1,0,
kirana,convenience store,an old kirana with faded signage,an old convenience store with faded signage,0,1,0,
kirana,convenience store,a modern kirana with glass doors,a modern convenience store with glass doors,0,1,0,
kirana,convenience store,a busy kirana packed with groceries,a busy convenience store packed with groceries,0,1,0,
kirana,convenience store,a small kirana on fire at dusk,a small convenience store on fire at dusk,0,1,0,
kirana,convenience store,an empty kirana with bare shelves,an empty convenience store with bare shelves,0,1,0,
kirana,convenience store,a painting of a kirana with stacked cans,a painting of a convenience store with stacked cans,0,1,0,
mandapa,temple,a mandapa beside some trees,a temple beside some trees,0,1,0,
mandapa,temple,people standing outside a mandapa,people standing outside a temple,1,1,0,
mandapa,temple,a well-dressed person in front of a mandapa,a well-dressed person in front of a temple,1,1,0,
mandapa,temple,a family in front of a mandapa,a family in front of a temple,1,1,0,
mandapa,temple,a mandapa beside a sandy landscape,a temple beside a sandy landscape,0,1,0,
mandapa,temple,an old mandapa with lots of people,an old temple with lots of people,1,1,0,
nai,barber,a nai cutting a man's hair,a barber cutting a man's hair,1,1,0,
nai,barber,a nai cutting a woman's hair,a barber cutting a woman's hair,1,1,0,
nai,barber,a nai shop in a busy city,a barber shop in a busy city,0,1,0,
nai,barber,a friendly local nai,a friendly local barber,1,1,0,
nai,barber,a child getting his hair cut by a nai,a child getting his hair cut by a barber,1,1,0,
nai,barber,three people in a nai shop,three people in a barber shop,1,1,0,
thana,police station,officers working inside a thana,officers working inside a police station,1,1,0,
thana,police station,a person standing outside a thana,a person standing outside a police station,1,1,0,
thana,police station,a person talking to an officer inside a thana,a person talking to an officer inside a police station,1,1,0,
thana,police station,two officers speaking to an arrested person in a thana,two officers speaking to an arrested person in a police station,1,1,0,
thana,police station,a thana on a road with lots of trees,a police station on a road with lots of trees,0,1,0,
thana,police station,a thana in a busy city,a police station in a busy city,0,1,0,
abba,father,a boy standing with his abba,a boy standing with his father,1,1,0,
abba,father,a girl standing with her abba near the school gate,a girl standing with her father near the school gate,1,1,0,
abba,father,a man hiking with his abba,a man hiking with his father,1,1,0,
abba,father,a woman in a car with her abba,a woman in a car with her father,1,1,0,
abba,father,a woman walking with her abba and a dog,a woman walking with her father and a dog,1,1,0,
abba,father,a man sitting at a table with his abba,a man sitting at a table with his father,1,1,0,
pial,veranda,a big house with a pial,a big house with a veranda,0,1,0,
pial,veranda,outdoor furniture under a pial,outdoor furniture under a veranda,0,1,0,
pial,veranda,a small one story house with a pial,a small one story house with a veranda,0,1,0,
pial,veranda,people relaxing under a pial,people relaxing under a veranda,1,1,0,
pial,veranda,a modern looking pial on a house,a modern looking veranda on a house,0,1,0,
pial,veranda,a glass pial on a house,a glass veranda on a house,0,1,0,
nullah,river-bed,a dry nullah surrounded by a dry landscape,a dry river-bed surrounded by a dry landscape,0,1,0,
nullah,river-bed,two people walking through a nullah,two people walking through a river-bed,1,1,0,
nullah,river-bed,a dry nullah in a dense green forest,a dry river-bed in a dense green forest,0,1,0,
nullah,river-bed,a nullah in an alpine meadow,a river-bed in an alpine meadow,0,1,0,
nullah,river-bed,a bridge across a nullah,a bridge across a river-bed,0,1,0,
nullah,river-bed,a nullah with some water in it,a river-bed with some water in it,0,1,0,
rani,queen,a rani sitting on a throne,a queen sitting on a throne,1,1,0,
rani,queen,a rani making a speech,a queen making a speech,1,1,0,
rani,queen,a rani inside a palace,a queen in a palace,1,1,0,
rani,queen,a rani sitting at a banquet,a queen sitting at a banquet,1,1,0,
rani,queen,a rani in a garden surrounded by blooming flowers,a queen in a garden surrounded by blooming flowers,1,1,0,
rani,queen,a rani riding in a large car,a queen riding in a large car,1,1,0,
brinjal,eggplant,brinjal in a grocery store,eggplant in a grocery store,0,1,0,
brinjal,eggplant,brinjal sitting on a kitchen counter,eggplant sitting on a kitchen counter,0,1,0,
brinjal,eggplant,brinjal being sliced,eggplant being sliced,1,1,0,
brinjal,eggplant,brinjal in a pot,eggplant in a pot,0,1,0,
brinjal,eggplant,a brinjal plant in a garden,an eggplant plant in a garden,0,1,0,
brinjal,eggplant,a spicy curry dish with brinjal slices,a spicy curry dish with eggplant slices,0,1,0,
khana,food,a table with lots of khana,a table with lots of food,0,1,0,
khana,food,a person eating khana,a person eating food,1,1,0,
khana,food,a couple enjoying khana at a restaurant,a couple enjoying food at a restaurant,1,1,0,
khana,food,a person cooking khana on the stove,a person cooking food on the stove,1,1,0,
khana,food,a person buying khana from a grocery store,a person buying food from a grocery store,1,1,0,
khana,food,a family enjoying lots of khana,a family enjoying lots of food,1,1,0,
nagar,town,a main street in a small nagar,a main street in a small town,0,1,0,
nagar,town,a residential neighborhood in a small nagar,a residential neighborhood in a small town,0,1,0,
nagar,town,birds-eye view of a nagar,birds-eye view of a town,0,1,0,
nagar,town,a couple walking in a nagar,a couple walking in a town,1,1,0,
nagar,town,a nagar in a desert climate,a town in a desert climate,0,1,0,
nagar,town,a nagar with snow everywhere,a town with snow everywhere,0,1,0,
oont,camel,a person riding an oont in the desert,a person riding a camel in the desert,1,1,0,
oont,camel,a large group of oonts walking in a desert,a large group of camels walking in a desert,0,1,0,
