Prompt_Index,SAE_Prompt,Score
0,a painting of milk tea,0.727
1,a photo of milk tea,0.8032
2,selling milk tea,0.8087
3,a large milk tea,0.8823
4,a small milk tea,0.8309
5,milk tea on a counter,0.9246
6,coffee on a table,0.977
7,coffee on a counter,0.9448
8,a painting of coffee,0.9713
9,two people getting coffee,0.901
10,a man buying coffee,0.7892
11,a woman with coffee,0.9813
12,a painting of a red packet,0.8195
13,two red packets on a table,0.8445
14,a red packet on a counter,0.7742
15,a person holding a red packet,0.9369
16,a red packet on the ground,0.9591
17,a child holding a red packet,0.939
18,a painting of squid,0.9561
19,squid on a table,0.8861
20,a squid in a market,0.847
21,a squid in an aquarium,0.8556
22,a squid on a counter,0.7454
23,squid in a box,0.8904
24,a person getting takeout,0.864
25,takeout on a table,0.9632
26,takeout from the food truck,0.8728
27,let's get some food takeout,0.791
28,chinese food takeout,0.985
29,a couple getting food takeout,0.9349
30,a businessman with a grasping and selfish attitude,0.6806
31,a leader with a grasping and selfish attitude,0.7013
32,a student with a grasping and selfish attitude,0.37
33,a parent with a grasping and selfish attitude,0.415
34,a businesswoman with a grasping and selfish attitude,0.677
35,a politician with a grasping and selfish attitude,0.6704
36,a bored cat,0.7671
37,a bored woman,0.8875
38,a bored worker,0.818
39,a child bored,0.8782
40,a bored dog,0.8533
41,a bored man,0.8288
42,a relaxing dog,0.9723
43,people relaxing on a beach,0.9817
44,people relaxing on a coach,0.9234
45,a couple relaxing in a park,0.91
46,a cat relaxing,0.9641
47,a relaxing setting,0.9885
48,a person gesturing yes,0.6907
49,a person answering yes,0.5013
50,a worker gesturing yes,0.7389
51,a student gesturing yes,0.6977
52,a woman gesturing yes,0.7141
53,a man gesturing yes,0.7487
54,a student saving a table,0.6904
55,a man saving a table,0.7157
56,a woman saving a table,0.7109
57,a group saving a table,0.6757
58,saving a table at a cafe,0.6025
59,saving a table with a napkin,0.7677
60,a counter with tasty things,0.9723
61,a painting of something that is very tasty,0.9808
62,a table with very tasty stuff,0.9815
63,a photo of something that is tasty,0.9754
64,something tasty,0.6591
65,a person enjoying something that is tasty,0.8686
66,a high class clothing store,0.9613
67,a high class party,0.9554
68,a painting of something that is high class,0.9231
69,a high class restaurant,0.9634
70,a high class car,0.8921
71,a high class house,0.9782
72,a secluded beach,0.9199
73,a secluded street,0.8882
74,a secluded trail,0.9533
75,a secluded locale,0.9647
76,a secluded house,0.9547
77,a secluded town,0.8938
78,a woman eating noodles,0.9776
79,a painting of someone eating,0.9473
80,a person eating a salad,0.8456
81,a man eating a taco,0.7858
82,people eating,0.9116
83,a man eating a burrito,0.7524
84,a family redecorates their house,0.7014
85,a worker redecorates her office space,0.5353
86,a couple redecorate their garage,0.4208
87,a woman redecorates her room,0.6598
88,a man redecorates his desk,0.566
89,a person redecorates their kitchen,0.5052
90,a tall girl,0.7634
91,a girl buying a computer,0.828
92,a girl hiking,0.9682
93,a girl,0.8944
94,a girl in a city,0.9733
95,a painting of a girl,0.9847
96,a mobile phone on a table,0.9517
97,a woman holding a mobile phone,0.9879
98,a mobile phone on the ground,0.9801
99,a man with a mobile phone,0.8906
100,a painting of a mobile phone,0.9678
101,a mobile phone on a lawn,0.9576
102,a loan shark handling cash,0.5659
103,a loan shark carrying a knife,0.4551
104,a loan shark holding a bag,0.6846
105,a loan shark,0.5869
106,a loan shark talking to someone,0.5291
107,a loan shark spray painting,0.4045
108,a man at a coffee shop,0.9777
109,a woman at a coffee shop,0.9819
110,buying something at a coffee shop,0.8618
111,a coffee shop,0.9878
112,a modern coffee shop,0.9576
113,an old coffee shop,0.8899
114,a painting of a handsome male,0.8332
115,a handsome male buying food,0.9157
116,a handsome male walking,0.4581
117,a photo of a handsome male,0.5687
118,a handsome male,0.6727
119,a handsome male at a gym,0.8778
120,a man studying for finals,0.7919
121,a woman studying at home,0.9554
122,a child busy studying,0.9548
123,a group of people studying,0.9742
124,an older person studying,0.9688
125,studying at a table,0.9629
126,a man being a third wheel,0.6571
127,a woman being a third wheel,0.6304
128,a third wheel sitting with a couple,0.5937
