Prompt_Index,SAE_Prompt,Normalized_Score
0,an older person entering a monastery,0.3324
1,a monastery with a crowd of people outside,0.5632
2,a person holding a bottle of champagne,0.7898
3,a person pouring champagne into a glass,0.7032
4,a midwife in a hospital,0.3666
5,a midwife walking into a house,0.2805
6,a woman in a bed with a midwife next to it,0.4529
7,a midwife talking with a doctor,0.3218
8,a midwife holding a bottle of medicine,0.2772
9,a midwife talking with a nurse,0.4114
10,a medical practitioner sitting at a table outside,0.2418
11,two medical practitioners in a conference room,0.6184
12,a medical practitioner walking in a park,0.2642
13,the medical practitioner talking with a patient in a room,0.2531
14,a medical practitioner standing outside a building,0.2399
15,a medical practitioner talking with a nurse,0.2293
16,people standing outside a temple,0.251
17,a well-dressed person in front of a temple,0.3522
18,a family in front of a temple,0.4696
19,an old temple with lots of people,0.1763
20,a barber cutting a man's hair,0.8551
21,a barber cutting a woman's hair,0.7555
22,a friendly local barber,0.9432
23,a child getting his hair cut by a barber,0.8508
24,three people in a barber shop,0.8644
25,officers working inside a police station,0.5771
26,a person standing outside a police station,0.4672
27,a person talking to an officer inside a police station,0.3198
28,two officers speaking to an arrested person in a police station,0.5416
29,a boy standing with his father,0.5064
30,a girl standing with her father near the school gate,0.1019
31,a man hiking with his father,0.5244
32,a woman in a car with her father,0.725
33,a woman walking with her father and a dog,0.3073
34,a man sitting at a table with his father,0.4879
35,people relaxing under a veranda,0.586
36,two people walking through a river-bed,0.5465
37,a queen sitting on a throne,0.5786
38,a queen making a speech,0.5559
39,a queen in a palace,0.3887
40,a queen sitting at a banquet,0.3228
41,a queen in a garden surrounded by blooming flowers,0.69
42,a queen riding in a large car,0.7213
43,eggplant being sliced,0.2144
44,a person eating food,0.439
45,a couple enjoying food at a restaurant,0.5562
46,a person cooking food on the stove,0.4839
47,a person buying food from a grocery store,0.4223
48,a family enjoying lots of food,0.448
49,a couple walking in a town,0.2902
50,a person riding a camel in the desert,0.3398
51,a person giving water to a camel,0.2776
52,a person holding a bundle of incense,0.4803
53,a person looking at a crane bird,0.6111
54,a warehouse with lots of people inside,0.4032
55,a person walking inside a warehouse,0.4158
56,a person driving a forklift inside a warehouse,0.6364
57,a person walking inside a pharmacy,0.459
58,a person talking to a worker inside a pharmacy,0.4105
59,a pharmacy with lots of people outside,0.4158
60,a person getting gas for their car at a gas station,0.6091
61,a very busy gas station with people refueling,0.5921
62,a man riding a blue motorcycle,0.5224
63,a woman riding a black motorcycle,0.2605
64,three motorcycles riding on a road,0.208
65,a person riding a motorcycle on a dirt road,0.339
66,a person riding a motorcycle in a big city,0.5989
67,a person holding a rifle in the countryside,0.219
68,a woman aiming a rifle,0.1373
69,several soldiers holding rifles,0.3334
70,a police officer holding a rifle,0.4365
71,a craftsman weaving a rug,0.4604
72,a skilled craftsman at work,0.6899
73,an elderly craftsman sharing his wisdom,0.682
74,a talented craftsman from the village,0.0717
75,an innovative craftsman designing jewelry,0.3489
76,my supervisor talking to me,0.5766
77,a new supervisor at the construction site,0.791
78,a supervisor giving instructions to the team,0.6252
79,a friendly supervisor helping out,0.6319
80,a supervisor in the office breakroom,0.7636
81,a supervisor working at a computer,0.317
82,a vendor selling water bottles,0.5039
83,a colorful festival in the city,0.4946
84,a festival filled with dance and music,0.4814
85,an autumn festival in the town center,0.3073
86,food stalls at a festival,0.2748
87,a festival with lots of people,0.4466
88,a festival in winter,0.3773
89,a checkpoint guarded by armed forces,0.1211
90,a checkpoint on the highway,0.337
91,a long queue at the toll checkpoint,0.419
92,a checkpoint at the national border,0.2172
93,a checkpoint with police officers,0.4087
94,a checkpoint with very few cars,0.4412
95,an outdoor luncheon with lots of people,0.6017
96,two people having a luncheon,0.6406
97,a company having a luncheon,0.6975
98,a fancy indoor luncheon,0.7208
99,a plant-based luncheon,0.5807
100,a luncheon with lots of salad,0.6617
101,a gambling den hidden away in an alley,0.1067
102,a group of people gambling in a room,0.3158
103,a place of gambling in a big city,0.2658
104,an illegal gambling den,0.4108
105,a place of gambling with lots of people,0.2295
106,a group of people gambling at a table,0.2664
107,a man loading groceries into the car trunk,0.5693
108,a white car with an empty car trunk,0.8361
109,a woman retrieving bags from the car trunk,0.6056
110,a dirty car trunk covered with mud stains,0.2396
111,a mechanic repairing a broken car trunk,0.5486
112,children hiding inside an open car trunk,0.747
