Prompt_Index,SAE_Prompt,Score
0,a little baby,0.8848
1,a little dog,0.9775
2,a little cat,0.8667
3,a painting of a little boy,0.8779
4,a little horse,0.5195
5,a little girl,0.9796
6,a parked car,0.8841
7,a second-hand car,0.9059
8,a gas car,0.7587
9,a rental car,0.5449
10,an electric car,0.8834
11,a leased car,0.6144
12,a suburban house,0.9673
13,a house downtown,0.8232
14,a lakeside house,0.9635
15,an old house,0.9732
16,a waterfront house,0.9566
17,a brick house,0.9557
18,a man holler at a girl,0.4223
19,a man holler at a woman,0.4125
20,a guy holler at a woman,0.2187
21,a guy holler at his close friend,0.5075
22,a holler from the audience,0.5017
23,a loud holler,0.3801
24,my close friend,0.8044
25,my handsome close friend,0.8542
26,an old close friend,0.7364
27,me and my close friend,0.9096
28,a close friend from childhood,0.6032
29,painting of me and my close friend,0.7196
30,me and my friends,0.8339
31,me and my large friends,0.9326
32,painting of me and my friends,0.7986
33,me and my small friends,0.7772
34,my friends wearing red,0.9229
35,my friends at my house,0.5623
36,an old grandma,0.8874
37,my beautiful grandma,0.856
38,a group of grandmas,0.9766
39,my grandma in purple,0.9296
40,my grandma in her house,0.9014
41,an angry grandma,0.9084
42,a picture of my lover,0.466
43,my sleeping lover,0.7098
44,my beautiful lover,0.7532
45,my lover at my house,0.4495
46,my lover wearing purple,0.838
47,my handsome lover,0.8521
48,work for money,0.6994
49,a kid deposit some money,0.6501
50,a man paying with money,0.7575
51,a woman paying with money,0.8309
52,a wallet overflowing with money,0.6691
53,bags of money,0.4366
54,dirty sneakers,0.7026
55,retro sneakers,0.8939
56,brown sneakers,0.9719
57,broken sneakers,0.3901
58,brand new sneakers,0.877
59,a painting of blue sneakers,0.9766
60,a hand-held gun,0.9543
61,a man aiming his gun,0.9242
62,a rusty gun,0.9683
63,a painting of a silver gun,0.8919
64,a broken gun,0.6526
65,a long-range gun,0.8735
66,designer clothes,0.8437
67,stylish clothes,0.9703
68,vintage clothes,0.5913
69,a rack of purple clothes,0.9227
70,a rack of beautiful clothes,0.9177
71,a painting of blue clothes,0.9079
72,golden dental jewelry,0.6968
73,dirty dental jewelry,0.417
74,a man wearing dental jewelry,0.7616
75,a woman wearing dental jewelry,0.6662
76,silver dental jewelry,0.7033
77,bronze dental jewelry,0.7754
78,very dark tinted car windows,0.555
79,a convertible with tinted car windows,0.6657
80,a bus with dark tinted car windows,0.589
81,a van with light tinted car windows,0.6509
82,broken tinted car windows,0.4739
83,orange tinted car windows,0.5466
84,a modern convertible car,0.9094
85,a luxury convertible car,0.9355
86,a purple convertible car,0.9874
87,a sporty convertible car,0.975
88,a painting of a vintage convertible car,0.9479
89,a broken convertible car,0.5758
90,tipping my hat,0.479
91,fitted hat,0.8077
92,stylish hat,0.9622
93,wearing a hat,0.9863
94,a beautiful hat,0.9446
95,matching hat,0.796
96,broken mirror,0.8176
97,dirty mirror,0.7492
98,mirror with gold frame,0.9736
99,a handheld mirror,0.6177
100,a painting of a mirror,0.7275
101,a modern mirror,0.571
102,a black gun,0.8765
103,a rusty gun,0.9683
104,a painting of a silver gun,0.8919
105,a gun inside a drawer,0.9396
106,a broken gun,0.6526
107,a large gun,0.8625
108,golden necklace,0.9726
109,silver necklace,0.9642
110,rose gold necklace,0.9621
111,a painting of shiny necklace,0.8397
112,a display of necklace,0.9691
113,broken necklace,0.3679
114,a luxury car,0.8683
115,a parked car,0.8841
116,a second-hand car,0.9059
117,a gas car,0.7587
118,a rental car,0.5449
119,a leased car,0.6144
120,concealed gun,0.7637
121,a gun with a silencer,0.6816
122,loading the gun,0.5828
123,aiming the gun,0.837
124,licensed gun,0.606
125,gun tucked away,0.6166
126,tasty food,0.9763
127,some tasty fries,0.9679
128,a tasty burrito,0.7624
129,a plate of tasty food,0.9693
130,a painting of tasty food,0.9761
131,a tasty taco,0.954
132,a dirty neighborhood,0.891
133,a painting of the neighborhood,0.9584
134,an urban neighborhood,0.9453
135,a suburban neighborhood,0.9836
136,an empty neighborhood,0.8747
137,a busy neighborhood,0.8584
138,a bag of bills,0.6064
139,earning bills,0.7372
140,bills in wallet,0.5075
141,broken bills,0.5894
142,a man flashing bills,0.478
143,dirty bills,0.7437
144,a man with his close friends,0.9388
145,a group picture with the close friends,0.9414
146,a painting of my close friends,0.6792
147,my close friends in the house,0.669
148,me with my close friends,0.9345
149,hanging with my close friends,0.9612
150,a picture of my lover,0.466
151,my sleeping lover,0.7098
152,my beautiful lover,0.7532
153,my lover at my house,0.4495
154,my lover wearing pink,0.8615
155,my handsome lover,0.8521
156,my close friend,0.8044
157,my handsome close friend,0.8542
158,an old close friend,0.7364
159,me and my close friend,0.9096
160,a close friend from childhood,0.6032
161,painting of me and my close friend,0.7196
162,a man high on marijuana,0.705
163,a woman high on marijuana,0.6025
164,a painting of a person high on marijuana,0.8464
165,a group of people high on marijuana,0.7546
166,college students high on marijuana,0.5619
167,a person high on marijuana,0.6536
168,my morning hair frizziness,0.8506
169,a painting of my hair frizziness,0.854
170,fixing my hair frizziness,0.7125
171,a woman with hair frizziness,0.9523
172,my natural hair frizziness,0.8817
173,two people with hair frizziness,0.9361
174,golden flashy jewelry,0.9632
175,silver flashy jewelry,0.9442
176,rose gold flashy jewelry,0.8582
177,a painting of shiny flashy jewelry,0.9451
178,a display of flashy jewelry,0.9781
179,broken flashy jewelry,0.4693
180,my summer outfit,0.9099
181,my dirty outfit,0.7376
182,my beautiful outfit,0.7854
183,my designer outfit,0.6312
184,my vintage outfit,0.7953
185,a painting of a blue outfit,0.9609
186,a pair of black round glasses,0.9338
187,a pair of modern glasses,0.8497
188,a pair of gold glasses,0.6953
