Prompt_Index,SAE_Prompt,Score
0,a little baby,0.2512
1,a little dog,0.2813
2,a little cat,0.2893
3,a painting of a little boy,0.3567
4,a little horse,0.3258
5,a little girl,0.2864
6,a parked car,0.2654
7,a second-hand car,0.274
8,a gas car,0.262
9,a rental car,0.2628
10,an electric car,0.2733
11,a leased car,0.284
12,a suburban house,0.2717
13,a house downtown,0.2721
14,a lakeside house,0.3051
15,an old house,0.3086
16,a waterfront house,0.3026
17,a brick house,0.273
18,a man holler at a girl,0.2162
19,a man holler at a woman,0.231
20,a guy holler at a woman,0.2405
21,a guy holler at his close friend,0.2402
22,a holler from the audience,0.24
23,a loud holler,0.2443
24,my close friend,0.2111
25,my handsome close friend,0.2313
26,an old close friend,0.2341
27,me and my close friend,0.2167
28,a close friend from childhood,0.2412
29,painting of me and my close friend,0.3077
30,me and my friends,0.2277
31,me and my large friends,0.2497
32,painting of me and my friends,0.3045
33,me and my small friends,0.2132
34,my friends wearing red,0.2722
35,my friends at my house,0.2246
36,an old grandma,0.2883
37,my beautiful grandma,0.2805
38,a group of grandmas,0.309
39,my grandma in purple,0.2901
40,my grandma in her house,0.2674
41,an angry grandma,0.3108
42,a picture of my lover,0.2093
43,my sleeping lover,0.2601
44,my beautiful lover,0.2148
45,my lover at my house,0.1887
46,my lover wearing purple,0.223
47,my handsome lover,0.2261
48,work for money,0.3053
49,a kid deposit some money,0.2771
50,a man paying with money,0.2811
51,a woman paying with money,0.2896
52,a wallet overflowing with money,0.3056
53,bags of money,0.2534
54,dirty sneakers,0.2935
55,retro sneakers,0.2845
56,brown sneakers,0.3072
57,broken sneakers,0.2771
58,brand new sneakers,0.2703
59,a painting of blue sneakers,0.3927
60,a hand-held gun,0.3036
61,a man aiming his gun,0.2891
62,a rusty gun,0.3298
63,a painting of a silver gun,0.3918
64,a broken gun,0.2801
65,a long-range gun,0.2774
66,designer clothes,0.2538
67,stylish clothes,0.257
68,vintage clothes,0.2886
69,a rack of purple clothes,0.3836
70,a rack of beautiful clothes,0.3113
71,a painting of blue clothes,0.3781
72,golden dental jewelry,0.3408
73,dirty dental jewelry,0.3348
74,a man wearing dental jewelry,0.2814
75,a woman wearing dental jewelry,0.2905
76,silver dental jewelry,0.3084
77,bronze dental jewelry,0.2995
78,very dark tinted car windows,0.2984
79,a convertible with tinted car windows,0.3002
80,a bus with dark tinted car windows,0.2785
81,a van with light tinted car windows,0.2822
82,broken tinted car windows,0.2897
83,orange tinted car windows,0.3004
84,a modern convertible car,0.2739
85,a luxury convertible car,0.2856
86,a purple convertible car,0.3511
87,a sporty convertible car,0.2708
88,a painting of a vintage convertible car,0.3631
89,a broken convertible car,0.2947
90,tipping my hat,0.2668
91,fitted hat,0.3015
92,stylish hat,0.2858
93,wearing a hat,0.271
94,a beautiful hat,0.2856
95,matching hat,0.2668
96,broken mirror,0.2881
97,dirty mirror,0.2256
98,mirror with gold frame,0.3482
99,a handheld mirror,0.333
100,a painting of a mirror,0.3412
101,a modern mirror,0.3275
102,a black gun,0.2909
103,a rusty gun,0.3298
104,a painting of a silver gun,0.3918
105,a gun inside a drawer,0.3475
106,a broken gun,0.2801
107,a large gun,0.251
108,golden necklace,0.3074
109,silver necklace,0.2916
110,rose gold necklace,0.3309
111,a painting of shiny necklace,0.2934
112,a display of necklace,0.2738
113,broken necklace,0.2656
114,a luxury car,0.2683
115,a parked car,0.2654
116,a second-hand car,0.274
117,a gas car,0.262
118,a rental car,0.2628
119,a leased car,0.284
120,concealed gun,0.2846
121,a gun with a silencer,0.3034
122,loading the gun,0.2641
123,aiming the gun,0.2613
124,licensed gun,0.323
125,gun tucked away,0.2614
126,tasty food,0.2602
127,some tasty fries,0.2881
128,a tasty burrito,0.2978
129,a plate of tasty food,0.2695
130,a painting of tasty food,0.3205
131,a tasty taco,0.2824
132,a dirty neighborhood,0.2625
133,a painting of the neighborhood,0.3463
134,an urban neighborhood,0.2633
135,a suburban neighborhood,0.2871
136,an empty neighborhood,0.3004
137,a busy neighborhood,0.2618
138,a bag of bills,0.2762
139,earning bills,0.2941
140,bills in wallet,0.2835
141,broken bills,0.2686
142,a man flashing bills,0.2768
143,dirty bills,0.2822
144,a man with his close friends,0.2582
145,a group picture with the close friends,0.2503
146,a painting of my close friends,0.2983
147,my close friends in the house,0.2313
148,me with my close friends,0.2434
149,hanging with my close friends,0.2176
150,a picture of my lover,0.2093
151,my sleeping lover,0.2601
152,my beautiful lover,0.2148
153,my lover at my house,0.1887
154,my lover wearing pink,0.2248
155,my handsome lover,0.2261
156,my close friend,0.2111
157,my handsome close friend,0.2313
158,an old close friend,0.2341
159,me and my close friend,0.2167
160,a close friend from childhood,0.2412
161,painting of me and my close friend,0.3077
162,a man high on marijuana,0.321
163,a woman high on marijuana,0.3365
164,a painting of a person high on marijuana,0.3343
165,a group of people high on marijuana,0.3279
166,college students high on marijuana,0.3298
167,a person high on marijuana,0.3241
168,my morning hair frizziness,0.268
169,a painting of my hair frizziness,0.2977
170,fixing my hair frizziness,0.2487
171,a woman with hair frizziness,0.2846
172,my natural hair frizziness,0.2595
173,two people with hair frizziness,0.3253
174,golden flashy jewelry,0.3114
175,silver flashy jewelry,0.3058
176,rose gold flashy jewelry,0.2969
177,a painting of shiny flashy jewelry,0.3198
178,a display of flashy jewelry,0.3146
179,broken flashy jewelry,0.2862
180,my summer outfit,0.2644
181,my dirty outfit,0.2619
182,my beautiful outfit,0.2381
183,my designer outfit,0.2479
184,my vintage outfit,0.2694
185,a painting of a blue outfit,0.3538
186,a pair of black round glasses,0.322
187,a pair of modern glasses,0.3127
188,a pair of gold glasses,0.337
189,a pair of silver glasses,0.3249
190,a pair of broken glasses,0.3132
191,a dirty pair of glasses,0.3187
192,a large tattoo,0.3052
193,a creative tattoo,0.3074
194,a discreet tattoo,0.2959
195,a beautiful tattoo,0.2928
196,a botched tattoo,0.3139
197,a small tattoo,0.3198
198,a painting of my dreadlocks,0.3378
199,my dirty dreadlocks,0.2994
200,my long dreadlocks,0.2468
201,two people with dreadlocks,0.322
202,cutting my dreadlocks,0.2205
203,dyed dreadlocks,0.2995
