Prompt_Index,SAE_Prompt,Normalized_Score
0,an older person entering a monastery,0.2482
1,a monastery with a crowd of people outside,0.5726
2,a person holding a bottle of champagne,0.5524
3,a person pouring champagne into a glass,0.5271
4,a midwife in a hospital,0.4098
5,a midwife walking into a house,0.2647
6,a woman in a bed with a midwife next to it,0.3706
7,a midwife talking with a doctor,0.347
8,a midwife holding a bottle of medicine,0.3752
9,a midwife talking with a nurse,0.331
10,a medical practitioner sitting at a table outside,0.4727
11,two medical practitioners in a conference room,0.352
12,a medical practitioner walking in a park,0.3327
13,the medical practitioner talking with a patient in a room,0.5138
14,a medical practitioner standing outside a building,0.2094
15,a medical practitioner talking with a nurse,0.3096
16,people standing outside a temple,0.1579
17,a well-dressed person in front of a temple,0.171
18,a family in front of a temple,0.226
19,an old temple with lots of people,0.3037
20,a barber cutting a man's hair,0.8795
21,a barber cutting a woman's hair,0.9113
22,a friendly local barber,0.9001
23,a child getting his hair cut by a barber,0.9189
24,three people in a barber shop,0.8613
25,officers working inside a police station,0.4002
26,a person standing outside a police station,0.1651
27,a person talking to an officer inside a police station,0.4996
28,two officers speaking to an arrested person in a police station,0.4437
29,a boy standing with his father,0.1959
30,a girl standing with her father near the school gate,0.0494
31,a man hiking with his father,0.5354
32,a woman in a car with her father,0.627
33,a woman walking with her father and a dog,0.448
34,a man sitting at a table with his father,0.5301
35,people relaxing under a veranda,0.3591
36,two people walking through a river-bed,0.5589
37,a queen sitting on a throne,0.8013
38,a queen making a speech,0.7202
39,a queen in a palace,0.5618
40,a queen sitting at a banquet,0.4829
41,a queen in a garden surrounded by blooming flowers,0.7073
42,a queen riding in a large car,0.6703
43,eggplant being sliced,0.214
44,a person eating food,0.4313
45,a couple enjoying food at a restaurant,0.6408
46,a person cooking food on the stove,0.535
47,a person buying food from a grocery store,0.4636
48,a family enjoying lots of food,0.6934
49,a couple walking in a town,0.2415
50,a person riding a camel in the desert,0.2457
51,a person giving water to a camel,0.5639
52,a person holding a bundle of incense,0.4436
53,a person looking at a crane bird,0.4827
54,a warehouse with lots of people inside,0.532
55,a person walking inside a warehouse,0.3989
56,a person driving a forklift inside a warehouse,0.6624
57,a person walking inside a pharmacy,0.5465
58,a person talking to a worker inside a pharmacy,0.5237
59,a pharmacy with lots of people outside,0.3388
60,a person getting gas for their car at a gas station,0.7386
61,a very busy gas station with people refueling,0.6219
62,a man riding a blue motorcycle,0.4386
63,a woman riding a black motorcycle,0.1966
64,three motorcycles riding on a road,0.3123
65,a person riding a motorcycle on a dirt road,0.4582
66,a person riding a motorcycle in a big city,0.3441
67,a person holding a rifle in the countryside,0.2225
68,a woman aiming a rifle,0.1376
69,several soldiers holding rifles,0.2993
70,a police officer holding a rifle,0.2313
71,a craftsman weaving a rug,0.387
72,a skilled craftsman at work,0.7066
73,an elderly craftsman sharing his wisdom,0.5594
74,a talented craftsman from the village,0.1042
75,an innovative craftsman designing jewelry,0.5716
76,my supervisor talking to me,0.8689
77,a new supervisor at the construction site,0.9341
78,a supervisor giving instructions to the team,0.6749
79,a friendly supervisor helping out,0.7162
80,a supervisor in the office breakroom,0.6908
81,a supervisor working at a computer,0.4677
82,a vendor selling water bottles,0.3645
83,a colorful festival in the city,0.4449
84,a festival filled with dance and music,0.4118
85,an autumn festival in the town center,0.2259
86,food stalls at a festival,0.4157
87,a festival with lots of people,0.4761
88,a festival in winter,0.3872
89,a checkpoint guarded by armed forces,0.052
90,a checkpoint on the highway,0.4941
91,a long queue at the toll checkpoint,0.2673
92,a checkpoint at the national border,0.1754
93,a checkpoint with police officers,0.1172
94,a checkpoint with very few cars,0.3711
95,an outdoor luncheon with lots of people,0.5572
96,two people having a luncheon,0.6219
97,a company having a luncheon,0.7575
98,a fancy indoor luncheon,0.6697
99,a plant-based luncheon,0.5351
100,a luncheon with lots of salad,0.7518
101,a gambling den hidden away in an alley,0.201
102,a group of people gambling in a room,0.3031
103,a place of gambling in a big city,0.5475
104,an illegal gambling den,0.1898
105,a place of gambling with lots of people,0.3329
106,a group of people gambling at a table,0.2125
107,a man loading groceries into the car trunk,0.5412
108,a white car with an empty car trunk,0.6348
109,a woman retrieving bags from the car trunk,0.572
110,a dirty car trunk covered with mud stains,0.411
111,a mechanic repairing a broken car trunk,0.5527
112,children hiding inside an open car trunk,0.6837
