Prompt_Index,SAE_Prompt,Normalized_Score
0,a woman driving a green truck on a farm,0.879
1,a man driving a truck on the highway,0.6497
2,two kids sitting on the back of a truck,0.8089
3,a street vendor selling shaved ice,0.4293
4,a man enjoying shaved ice on a hot day,0.7833
5,a girl enjoying a bowl of shaved ice in the park,0.7758
6,two people sharing a cup of shaved ice on the table,0.7559
7,a group of teens in a friend group walking through the neighborhood,0.8238
8,a friend group gathered around a bench talking,0.4824
9,a friend group laughing loudly by a taco stand,0.7259
10,a friend group posing for a picture in front of a mural,0.8514
11,a friend group skateboarding down the street together,0.9034
12,a godfather cutting a birthday cake,0.6448
13,a godfather officiating a wedding ceremony,0.7785
14,a godfather playing chess with his godson,0.3006
15,a godfather cheering at a baseball game,0.6681
16,a godfather enjoying a cigar in a lounge,0.5306
17,a godfather gifting a necklace at a baptism,0.6749
18,a person hiking through a field,0.4094
19,a person running through a field,0.2236
20,two kids playing around in the field,0.8406
21,two men sitting in a jail cell,0.2499
22,a jail guard standing in front of a wall,0.7232
23,a small prison with high fences,0.3446
24,a man about to go to prison,0.6723
25,a person and their girlfriend walking down a street,0.321
26,a man and his girlfriend laughing,0.3933
27,a person and their girlfriend dressed in similar looking clothes,0.5742
28,my girlfriend and I driving in a blue car,0.8042
29,me having dinner in a restaurant with my girlfriend,0.4715
30,a sunny day in the park with my girlfriend,0.8197
31,a person irons a dress shirt,0.6556
32,a person irons a towel in a sunny room,0.5728
33,a man irons his pants before work,0.6527
34,my mother irons the curtains,0.6775
35,a woman irons clothes in the laundry room,0.6744
36,my brother irons his uniform shirt,0.6559
37,a person exploring El Paso on a sunny afternoon,0.4108
38,a woman and her brother eating at a restaurant,0.8264
39,a man hiking with his brother on a forest trail,0.6947
40,my brother posing for a picture,0.9309
41,me standing with my brother,0.8658
42,my brother and I sitting at a table,0.858
43,my brother riding a bike,0.8623
44,a woman and her sister eating at a restaurant,0.5778
45,a man hiking with his sister through a mountain path,0.713
46,me and my sister posing for a picture,0.6359
47,me standing with my sister,0.4245
48,my sister and I sitting at a table,0.3091
49,my sister riding a bike,0.8842
50,my brothers playing basketball together,0.8985
51,a brothers duo in a rock band,0.7422
52,my brothers on a camping trip,0.8704
53,a brothers wrestling match,0.7426
54,my brothers building a treehouse,0.8953
55,a brothers handshake at graduation,0.8787
56,a sisters moment at a wedding,0.5988
57,my sisters studying together,0.5893
58,a sisters dance routine,0.4465
59,my sisters sharing a secret,0.3932
60,my sisters having a tea party in the garden,0.5236
61,my sisters braiding each other's hair,0.6211
62,a group of mexican americans at a family reunion,0.7852
63,a mexican american activist speaking at a rally,0.6811
64,a mexican american community center hosting an event,0.779
65,a mexican american cultural festival in the park,0.3211
66,a mexican american musician performing live,0.4305
67,a mexican american student at a graduation ceremony,0.9008
68,a young man wearing sunglasses and a bandana,0.9262
69,a young man skateboarding down a hill,0.8377
70,a young man leaning against a lowrider,0.9127
71,a young man playing an acoustic guitar,0.569
72,a young man writing in a journal at a cafe,0.9192
73,a young man shooting pool at a bar,0.306
74,a young man playing basketball in a local court,0.792
75,a young man walking his pitbull in the neighborhood,0.7409
76,a young man buying street tacos from a food truck,0.8111
77,a young man riding a BMX bike in a skate park,0.7407
78,a young man breakdancing on a city street,0.6266
79,a young man playing the trumpet in a mariachi band,0.3811
80,a man grilling burgers at a cookout,0.8935
81,a man riding a horse at a ranch,0.6562
82,a man repairing a broken fence,0.8468
83,a man practicing archery in a field,0.6998
84,a man jogging in a city park,0.6825
85,a man watching a sunset from a pier,0.3063
86,a godmother baking cookies for a bake sale,0.8694
87,a godmother attending a school play,0.8614
88,a godmother planting flowers in the garden,0.493
89,a godmother knitting a sweater for her godchild,0.7103
90,a godmother singing in a church choir,0.8004
91,a godmother decorating a Christmas tree,0.6383
92,a crazy guy dancing in the rain,0.7553
93,a crazy stunt on a skateboard,0.7932
94,a crazy artist painting upside down,0.7951
95,a crazy expression on her face,0.2729
96,a crazy scene at the concert,0.4592
97,my daughter playing in a sandbox,0.8883
98,a daughter drawing with chalk on the sidewalk,0.7529
99,my daughter holding a big ice cream cone,0.7848
100,a daughter riding a bike for the first time,0.9392
101,a daughter wearing a princess costume,0.7578
102,my daughter exploring the beach,0.7446
103,my son kicking a soccer ball,0.7953
104,a son climbing a tree,0.8916
105,my son reading a comic book,0.7094
106,a son playing with a toy train,0.9183
107,my son catching a fish,0.9427
108,a son building a sandcastle,0.8589
109,a surfer on a california wave,0.6911
110,my vacation in california,0.66
111,a bustling market in california,0.5511
112,a hand dropping money into a piggy bank,0.6229
113,a close friend at a campfire,0.6329
114,my close friend wearing a birthday hat,0.7433
115,a memory with my close friend at the beach,0.4596
116,an afternoon with my close friend at the cafe,0.5274
117,a photo of me and my close friend,0.8396
118,a close friend helping with homework,0.7903
119,my favorite pampering session with candles,0.6282
120,a man deciding to pamper himself,0.8435
121,a day out to pamper with friends,0.758
122,a group of people sharing a lunch,0.7488
123,a child excited for his lunch break,0.8297
124,a boy flying a kite,0.7879
125,my boy wearing a school uniform,0.8358
126,an adventurous boy climbing a tree,0.7973
127,a boy with his toy collection,0.8608
128,a boy making a sandcastle,0.8666
129,a tired boy after soccer practice,0.7688
130,a girl with a flower crown,0.6894
131,my girl's first day at school,0.8015
132,a girl playing with her dolls,0.647
133,an artistic girl painting a picture,0.5594
134,a girl practicing her dance routine,0.5407
135,a girl laughing at a playground,0.757
