Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a medieval math,a medieval monastery,0.9307
1,a math on a hill,a monastery on a hill,0.1985
2,a small math,a small monastery,0.1213
3,a painting of a math,a painting of a monastery,0.0629
4,a crowded math,a crowded monastery,0.093
5,a math in a dark forest,a monastery in a dark forest,0.2843
6,simkin on a wooden table,champagne on a wooden table,0.1176
7,simkin in a cabinet,champagne in a cabinet,0.1939
8,simkin on a table outside,champagne on a table outside,0.1232
9,a painting of some simkin,a painting of some champagne,0.096
10,simkin on the beach,champagne on the beach,0.2588
11,simkin on top of a piano,champagne on top of a piano,0.1194
12,an old dai,an old midwife,0.1364
13,a dai with a woman,a midwife with a woman,0.2375
14,a painting of a dai,a painting of a midwife,0.0555
15,a young dai,a young midwife,0.3538
16,a dai sitting down,a midwife sitting down,0.4267
17,a photograph of a dai with a cat,a photograph of a midwife with a cat,0.2375
18,a medico at a table,a medical practitioner at a table,0.9843
19,an old medico,an old medical practitioner,0.9842
20,a medico at a park,a medical practitioner at a park,0.9861
21,a medico with a woman,a medical practitioner with a woman,0.9915
22,a medico with a notepad,a medical practitioner with a notepad,0.9842
23,a painting of a medico,a painting of a medical practitioner,0.9312
24,a window covered with chick,a window covered with bamboo blinds,0.151
25,a doorway with chick,a doorway with bamboo blinds,0.2671
26,hand-crafted chick,hand-crafted bamboo blinds,0.6258
27,sun-faded chick,sun-faded bamboo blinds,0.7288
28,chick with decorative trim,bamboo blinds with decorative trim,0.2609
29,tattered chick,tattered bamboo blinds,0.2528
30,a dark ghat,a dark mountain pass,0.5311
31,a ghat covered in snow,a mountain pass covered in snow,0.5188
32,a crowded ghat,a crowded mountain pass,0.6018
33,a ghat with a nearby lake,a mountain pass with a nearby lake,0.7697
34,a painting of a beautiful ghat,a painting of a beautiful mountain pass,0.661
35,an abandoned ghat,an abandoned mountain pass,0.4386
36,an old kirana,an old convenience store,0.8154
37,a modern kirana,a modern convenience store,0.8986
38,a busy kirana,a busy convenience store,0.9312
39,a kirana on fire,a convenience store on fire,0.9185
40,an empty kirana,an empty convenience store,0.7175
41,a painting of a kirana,a painting of a convenience store,0.9612
42,an old mandapa,an old temple,0.9271
43,a mandapa on a hill,a temple on a hill,0.9655
44,a painting of a mandapa,a painting of a temple,0.8877
45,a mandapa in a dark forest,a temple in a dark forest,0.9385
46,a mandapa in a city,a temple in a city,0.9773
47,a abandoned mandapa,an abandoned temple,0.9307
48,a nai in red,a barber in red,0.2375
49,an old nai,an old barber,0.093
50,a small nai shop,a small barber shop,0.4386
51,a busy nai shop,a busy barber shop,0.7175
52,a nai by the chair,a barber by the chair,0.5068
53,a nai working,a barber working,0.0453
54,a thana in a city,a police station in a city,0.9449
55,a busy thana,a busy police station,0.9711
56,a thana in a small town,a police station in a small town,0.3003
57,a person entering a thana,a person walking into a police station,0.9759
58,a painting of a thana,a painting of a police station,0.291
59,a photograph of a modern thana,a photograph of a modern police station,0.4386
60,an abba in front of a house,a father in front of a house,0.2528
61,a girl standing with her abba,a girl standing with her father,0.9509
62,a crying abba,a crying father,0.2302
63,an abba on a bed,a father on a bed,0.3171
64,an old abba with a dog,an old father with a dog,0.8688
65,an old abba in the kitchen,an old father in the kitchen,0.5311
66,a beautiful pial,a beautiful veranda,0.3538
67,an expensive looking pial,an expensive looking veranda,0.8067
68,a modern looking pial,a modern looking veranda,0.291
69,a green pial,a green veranda,0.2048
70,a dimly lit pial,a dimly lit veranda,0.5068
71,a painting of a pial,a painting of a veranda,0.1213
72,a dry nullah,a dry riverbed,0.7697
73,a beautiful nullah in a painting,a beautiful riverbed in a painting,0.9509
74,a nullah in a forest,a riverbed in a forest,0.9612
75,a narrow nullah,a narrow riverbed,0.9185
76,a small nullah,a small riverbed,0.923
77,a wet nullah,a wet riverbed,0.8545
78,a beautiful rani,a beautiful queen,0.9185
79,a rani in a garden,a queen in a garden,0.8396
80,a painting of an old rani,a painting of an old queen,0.8479
81,a rani covered in snow,a queen covered in snow,0.7175
82,a rani in a large hall,a queen in a large hall,0.9537
83,an old rani on a bed,an old queen on a bed,0.8986
84,a sliced brinjal,a sliced eggplant,0.6494
