Prompt_Index,SAE_Prompt,Normalized_Score
0,a man wearing a purple sweater,0.9993
1,a woman knitting a brown sweater,1.0
2,a girl knocking on the bathroom door,1.0
3,a line of people waiting outside the bathroom,0.0002
4,a man cutting a sausage in half,1.0
5,a woman throwing away the trash,0.0067
6,a man loading luggage into the car trunk,0.0
7,a woman putting groceries in the car trunk,1.0
8,a boy waiting in the line at a grocery store,0.0
9,a line for the rollercoaster,1.0
10,a line at the ticket counter,0.0001
11,a line for the morning bus,0.6014
12,a line at the post office,0.0
13,a man ironing creases in his pants,1.0
14,a kid wearing a pair of blue pants,0.9944
15,a woman enjoying a cup of tea with a cookie,0.0
16,a man baking homemade cookies,1.0
17,a man searching in the dark with a flashlight,0.0003
18,a policeman shining a flashlight at the suspect,0.0
19,a mother changing her baby's diaper,1.0
20,a happy baby wearing pink diapers,1.0
21,a man filling up his car with gasoline,0.0002
22,a group of kids kicking a soccer ball,0.0633
23,a soccer player in the stadium,0.0
24,a soccer player celebrating a win,1.0
25,a soccer goalie in the field,1.0
26,a goalkeeper trying to catch a soccer ball,0.9966
27,a woman picking up a precription at the pharmacy,0.0
28,a group of people waiting at the pharmacy,0.0
29,a boy eating french fries,1.0
30,an attorney talking to his client,0.0
31,a man attending a meeting with his attorney,0.0
32,an attorney in a courtroom,1.0
33,my attorney discussing the case,0.9637
34,an attorney with legal books,1.0
35,a school janitor sweeping the hallway,0.0
36,a man talking to a janitor at the mall,0.0
37,a tired janitor in an empty hallway,0.0
38,a janitor sweeping the school hallway,0.0
39,an office janitor in a supply closet,0.9783
40,a building janitor taking out the trash,0.0
41,a man preparing dinner on the stove,0.4535
42,a woman putting the baby down in the crib,0.9269
43,a man setting up a crib,0.0
44,a baby in a colorful crib,1.0
45,a worker changing the image on the billboard,0.0
46,a group of people staring at a large billboard,1.0
47,a woman using a vacuum cleaner to clean the carpet,1.0
48,a man using a vacuum cleaner on a carpeted floor,1.0
49,a man holding a water pitcher,1.0
50,a boy refilling his cup with a water pitcher,0.0
51,a mailman delivering packages,0.9999
52,a man having a friendly chat with the mailman,0.0
53,a mailman in blue uniform,1.0
54,a mailman in a truck,0.0001
55,a mailman at the front door,1.0
56,my mailman with a big bag,0.0
57,a woman taking a walk with her baby in the baby carriage,1.0
58,a baby carriage with a sleeping baby,1.0
59,a man walking with a baby carriage on a cobblestone street,1.0
60,a man inside a black sedan,0.0004
61,a boy sitting on the hood of the car,1.0
62,a woman chopping cilantro in the kitchen,1.0
63,a man slicing a zucchini in the kitchen,1.0
64,a woman picking a zucchini at the market,0.0256
65,a crowd of people waiting for the subway,0.2151
66,a man sitting inside the subway,0.9993
67,my subway ride during rush hour,0.873
68,a grandma slicing an eggplant in the kitchen,1.0
69,a man picking an eggplant at the market,0.0
70,a band-aid covering a small wound,1.0
71,a band-aid on someone's forehead,1.0
72,a band-aid floating in a swimming pool,1.0
73,a discarded band-aid on the sidewalk,1.0
74,a band-aid with cartoon characters,1.0
75,a waterproof band-aid on a hand,1.0
76,a vest displayed on a mannequin,1.0
77,a checked vest on display,1.0
78,a man buttoning his vest,1.0
79,a silk vest in a boutique,1.0
80,a vest matching formal pants,1.0
81,a vest embroidered with flowers,1.0
