Prompt_Index,SAE_Prompt,Score
0,a little boy playing with a yoyo,0.3205
1,a little girl playing with a toy car,0.3197
2,a little cat sitting on top of the piano,0.3217
3,a little dog playing in the backyard,0.2945
4,a little one story blue house,0.306
5,a little baby wrapped in a blanket,0.2777
6,a man driving his car,0.2788
7,a woman driving her blue car,0.3113
8,a man driving a new car on the freeway,0.2759
9,a red car parked in the garage,0.2815
10,a car parked by the curb,0.2777
11,a black car with chrome rims,0.2727
12,a man in front of his house,0.2916
13,a woman in front of her house,0.3039
14,a family in front of their new house,0.3135
15,a retiree and her one story house with a flower garden,0.3493
16,a house with a white picket fence,0.3364
17,a brick house with a garden,0.2865
18,a man holler at a girl across the street,0.2399
19,a man holler at a woman near the bus stop,0.2912
20,a man holler at a woman walking past him,0.2619
21,a man holler at his close friend from the balcony,0.2781
22,a loud holler from the audience during the show,0.28
23,she heard a holler from across the street,0.2478
24,me and my close friend hanging out at a cafe,0.2914
25,my close friend talking on the phone,0.2692
26,my close friend waiting outside the store,0.2691
27,me and my close friend eating together at lunch,0.2594
28,a close friend from childhood playing video games together,0.2811
29,a close friend with a skateboard,0.3027
30,me and my friends hanging out after school,0.2576
31,me and my friends at a restaurant,0.2647
32,taking a selfie with my friends,0.2624
33,me and my friends hanging out at a cafe,0.2792
34,my friends hanging out at the park,0.2819
35,a group of friends in matching shirts,0.2952
36,an old grandma in front of a new england style house,0.3474
37,my grandmother and my dad,0.2712
38,my grandmother with my mom,0.2907
39,my grandmother and her cat,0.3362
40,a grandma knitting a sweater,0.3353
41,a grandma baking cookies,0.3407
42,a picture of my lover smiling at the beach,0.2902
43,me and my lover holding hands at sunset,0.2906
44,my lover posing in a botanical garden,0.2994
45,my lover drinking coffee,0.2954
46,a lover holding a bouquet of roses,0.3059
47,a lover taking a selfie,0.2621
48,a wallet full of money,0.2874
49,pay with some money,0.2564
50,a man paying money to the cashier,0.2868
51,a woman paying money to the shopkeeper,0.2457
52,a wallet overflowing with fresh green money,0.3136
53,an armored cash carrier carrying bags of money,0.3317
54,a man wearing sneakers,0.254
55,a girl wearing white leather sneakers,0.3162
56,a pair of stylish sneakers,0.2901
57,a pair of gray sneakers,0.2989
58,a row of sneakers in a store,0.3041
59,a pair of sneakers hanging on a wire,0.3606
60,a man aiming his gun,0.2977
61,a man aiming his gun in a dark alley,0.3268
62,a woman firing her gun at the target,0.3423
63,a soldier carrying a gun,0.3125
64,a gun in a holster,0.3104
65,a gun tucked into a waistband,0.3228
66,a man wearing cool clothes,0.2702
67,a woman wearing cool clothes,0.2753
68,a man wearing minimalist clothes,0.3197
69,some fresh clothes on a mannequin,0.235
70,a woman wearing vintage clothes,0.3213
71,a rack of designer clothes,0.3257
72,a man wearing dental jewelry over the teeth,0.3333
73,a rapper with dental jewelry,0.3288
74,a man wearing green dental jewelry,0.3462
75,a woman wearing dental jewelry with a confident smile,0.3432
76,a rapper showing off his dental jewelry,0.3222
77,gold dental jewelry on a smiling face,0.3218
78,a car with dark tinted windows,0.2899
79,a black convertible with tinted windows,0.2964
80,a red Tesla with very dark tinted windows,0.3038
81,a SUV with dark tinted windows,0.2882
82,a silver van with light window tinting on the windows,0.3105
83,a schoolbus with orange tinted windows,0.3132
84,a woman driving her convertible car,0.3055
85,a man driving his convertible car on the hilly road,0.3056
86,two people riding in a convertible car,0.3101
87,a man driving a sporty convertible car,0.3065
88,a red convertible car cruising down the street,0.31
89,a vintage convertible car parked at the beach,0.3205
90,a grandpa wearing a baseball cap,0.295
91,a woman wearing an orange cap,0.3371
92,a man wearing a red cap,0.2972
93,a man with a blue cap,0.3046
94,a baseball cap with a sports logo,0.3151
95,a boy wearing a cap matching his outfit,0.3245
96,a man looking at his reflection in a mirror,0.3233
97,a woman looking at her reflection in a mirror,0.3125
98,a couple looking at their reflection in a mirror,0.3119
99,a mirror mounted above the sink in a bathroom,0.309
