Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a medieval math,a medieval monastery,0.4098
1,a math on a hill,a monastery on a hill,0.2979
2,a small math,a small monastery,0.1027
3,a painting of a math,a painting of a monastery,0.0622
4,a crowded math,a crowded monastery,0.1898
5,a math in a dark forest,a monastery in a dark forest,0.1249
6,simkin on a wooden table,champagne on a wooden table,0.1875
7,simkin in a cabinet,champagne in a cabinet,0.2797
8,simkin on a table outside,champagne on a table outside,0.2748
9,a painting of some simkin,a painting of some champagne,0.1672
10,simkin on the beach,champagne on the beach,0.2588
11,simkin on top of a piano,champagne on top of a piano,0.0892
12,an old dai,an old midwife,0.2234
13,a dai with a woman,a midwife with a woman,0.2646
14,a painting of a dai,a painting of a midwife,0.2689
15,a young dai,a young midwife,0.1108
16,a dai sitting down,a midwife sitting down,0.1093
17,a photograph of a dai with a cat,a photograph of a midwife with a cat,0.4279
18,a medico at a table,a medical practitioner at a table,0.8053
19,an old medico,an old medical practitioner,0.7485
20,a medico at a park,a medical practitioner at a park,0.9802
21,a medico with a woman,a medical practitioner with a woman,0.6951
22,a medico with a notepad,a medical practitioner with a notepad,0.6591
23,a painting of a medico,a painting of a medical practitioner,0.862
24,a window covered with chick,a window covered with bamboo blinds,0.5153
25,a doorway with chick,a doorway with bamboo blinds,0.4114
26,hand-crafted chick,hand-crafted bamboo blinds,0.2164
27,sun-faded chick,sun-faded bamboo blinds,0.1632
28,chick with decorative trim,bamboo blinds with decorative trim,0.1847
29,tattered chick,tattered bamboo blinds,0.3757
30,a dark ghat,a dark mountain pass,0.6135
31,a ghat covered in snow,a mountain pass covered in snow,0.5143
32,a crowded ghat,a crowded mountain pass,0.3738
33,a ghat with a nearby lake,a mountain pass with a nearby lake,0.7746
34,a painting of a beautiful ghat,a painting of a beautiful mountain pass,0.5409
35,an abandoned ghat,an abandoned mountain pass,0.333
36,an old kirana,an old convenience store,0.239
37,a modern kirana,a modern convenience store,0.0664
38,a busy kirana,a busy convenience store,0.4021
39,a kirana on fire,a convenience store on fire,0.1414
40,an empty kirana,an empty convenience store,0.2496
41,a painting of a kirana,a painting of a convenience store,0.0538
42,an old mandapa,an old temple,0.8742
43,a mandapa on a hill,a temple on a hill,0.894
44,a painting of a mandapa,a painting of a temple,0.9394
45,a mandapa in a dark forest,a temple in a dark forest,0.654
46,a mandapa in a city,a temple in a city,0.6999
47,a abandoned mandapa,an abandoned temple,0.8799
48,a nai in red,a barber in red,0.2312
49,an old nai,an old barber,0.3963
50,a small nai shop,a small barber shop,0.2424
