Prompt_Index,SAE_Prompt,Score
0,an old monastery in the village square,0.31
1,a monastery on a grassy hill with trees,0.3055
2,an older person entering a monastery,0.3454
3,a monastery in an old city center,0.2937
4,a monastery with a crowd of people outside,0.2918
5,an old monastery in a dark misty forest,0.3223
6,a bottle of champagne on a wooden table,0.294
7,champagne on a shelf in a grocery store,0.2933
8,champagne and two glasses on a table outside,0.2928
9,champagne in a glass on a table,0.2813
10,a person holding a bottle of champagne,0.3008
11,a person pouring champagne into a glass,0.296
12,a midwife in a hospital,0.2949
13,a midwife walking into a house,0.3052
14,a woman in a bed with a midwife next to it,0.297
15,a midwife talking with a doctor,0.2849
16,a midwife holding a bottle of medicine,0.2977
17,a midwife talking with a nurse,0.3053
18,a medical practitioner sitting at a table outside,0.2962
19,two medical practitioners in a conference room,0.2965
20,a medical practitioner walking in a park,0.3112
21,the medical practitioner talking with a patient in a room,0.2997
22,a medical practitioner standing outside a building,0.3059
23,a medical practitioner talking with a nurse,0.2914
24,two windows covered with bamboo blinds,0.3295
25,a living room with windows covered with bamboo blinds,0.3259
26,a kitchen with a window covered with bamboo blinds,0.3392
27,a living room window covered with rolled-up bamboo blinds,0.3226
28,a doorway with bamboo blinds covering it,0.334
29,a window with rolled up bamboo blinds,0.3206
30,a mountain pass with lots of pine trees,0.2613
31,a narrow mountain pass covered in snow and pine trees,0.2878
32,a mountain pass with a road with lots of cars,0.2854
33,two people walking through the mountain pass,0.2928
34,a roadway in the mountain pass,0.288
35,a trail in the wooded mountain pass,0.2787
36,an old convenience store with faded signage,0.2934
37,a modern convenience store with glass doors,0.3276
38,a busy convenience store packed with groceries,0.2943
39,a small convenience store on fire at dusk,0.3209
40,an empty convenience store with bare shelves,0.294
41,a painting of a convenience store with stacked cans,0.3553
42,a temple beside some trees,0.2821
43,people standing outside a temple,0.3043
44,a well-dressed person in front of a temple,0.2935
45,a family in front of a temple,0.3231
46,a temple beside a sandy landscape,0.325
47,an old temple with lots of people,0.2905
48,a barber cutting a man's hair,0.3043
49,a barber cutting a woman's hair,0.2996
50,a barber shop in a busy city,0.3071
51,a friendly local barber,0.2845
52,a child getting his hair cut by a barber,0.3325
53,three people in a barber shop,0.2927
54,officers working inside a police station,0.3204
55,a person standing outside a police station,0.3033
56,a person talking to an officer inside a police station,0.3205
57,two officers speaking to an arrested person in a police station,0.307
58,a police station on a road with lots of trees,0.2802
59,a police station in a busy city,0.289
60,a boy standing with his father,0.2777
61,a girl standing with her father near the school gate,0.3242
62,a man hiking with his father,0.2866
63,a woman in a car with her father,0.2801
64,a woman walking with her father and a dog,0.3074
65,a man sitting at a table with his father,0.326
66,a big house with a veranda,0.2787
67,outdoor furniture under a veranda,0.2959
68,a small one story house with a veranda,0.2886
69,people relaxing under a veranda,0.2971
70,a modern looking veranda on a house,0.2967
71,a glass veranda on a house,0.2956
72,a dry river-bed surrounded by a dry landscape,0.2654
73,two people walking through a river-bed,0.316
74,a dry river-bed in a dense green forest,0.2897
75,a river-bed in an alpine meadow,0.3079
76,a bridge across a river-bed,0.2814
77,a river-bed with some water in it,0.2667
78,a queen sitting on a throne,0.3018
79,a queen making a speech,0.2819
80,a queen in a palace,0.2877
81,a queen sitting at a banquet,0.3017
82,a queen in a garden surrounded by blooming flowers,0.3069
83,a queen riding in a large car,0.2891
84,eggplant in a grocery store,0.3048
85,eggplant sitting on a kitchen counter,0.2272
86,eggplant being sliced,0.3197
87,eggplant in a pot,0.2931
88,an eggplant plant in a garden,0.2912
89,a spicy curry dish with eggplant slices,0.3175
90,a table with lots of food,0.2877
91,a person eating food,0.2763
92,a couple enjoying food at a restaurant,0.2979
93,a person cooking food on the stove,0.2784
94,a person buying food from a grocery store,0.2666
95,a family enjoying lots of food,0.2926
96,a main street in a small town,0.2875
97,a residential neighborhood in a small town,0.2984
98,birds-eye view of a town,0.2627
99,a couple walking in a town,0.294
100,a town in a desert climate,0.3024
101,a town with snow everywhere,0.2816
102,a person riding a camel in the desert,0.3256
103,a large group of camels walking in a desert,0.3371
104,a person giving water to a camel,0.3494
105,a camel eating food near a desert tent,0.3288
106,two camels walking down the street,0.3295
107,a camel walking in a grassy field,0.3204
108,incense burning in a house,0.2914
109,a bundle of incense on a table,0.2904
110,a person holding a bundle of incense,0.2812
111,incense in a stand,0.2679
112,incense inside a box on a table,0.2719
113,incense inside a store,0.2835
114,a crane bird flying above a beautiful pond,0.3114
115,a crane bird sitting on a dock,0.3263
116,a crane bird with a caught fish,0.3106
117,two crane birds on a river,0.3188
118,a person looking at a crane bird,0.2929
119,a crane bird sitting on the side of a bridge,0.3131
120,a large warehouse with lots of boxes,0.2975
121,a large warehouse with lots of produce,0.2844
122,a warehouse with lots of people inside,0.2901
123,a person walking inside a warehouse,0.3071
124,a person driving a forklift inside a warehouse,0.3127
125,a dark abandoned warehouse with broken windows,0.296
126,a pharmacy in a big city,0.3301
127,a pharmacy with a large parking lot,0.2922
128,a person walking inside a pharmacy,0.3031
129,a person talking to a worker inside a pharmacy,0.2988
130,a pharmacy with lots of people outside,0.3068
131,a small pharmacy in a rural area,0.3142
132,a shabby old looking gas station,0.3139
133,a person getting gas for their car at a gas station,0.2619
134,a small shop next to a gas station,0.2797
135,a small gas station in a dusty desert town,0.317
136,a very busy gas station with people refueling,0.2888
137,a gas station surrounded by tall city buildings,0.2982
138,a man riding a blue motorcycle,0.3186
139,a woman riding a black motorcycle,0.3292
140,three motorcycles riding on a road,0.3019
141,a person riding a motorcycle on a dirt road,0.3228
142,a person riding a motorcycle in a big city,0.3105
143,a motorcycle sitting in a garage,0.2975
144,two rifles leaning on a wall,0.3139
145,a person holding a rifle in the countryside,0.3139
146,a woman aiming a rifle,0.3264
147,several soldiers holding rifles,0.3045
148,a store selling rifles,0.298
149,a police officer holding a rifle,0.3144
150,a craftsman weaving a rug,0.3349
151,my local craftsman's newest creation,0.2812
152,a skilled craftsman at work,0.2847
153,an elderly craftsman sharing his wisdom,0.3236
154,a talented craftsman from the village,0.2827
155,an innovative craftsman designing jewelry,0.2899
