Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,a woman driving a green torque on a farm,a woman driving a green truck on a farm,0.6281
1,a man driving a torque on the highway,a man driving a truck on the highway,0.5982
2,two kids sitting on the back of a torque,two kids sitting on the back of a truck,0.7642
3,a street vendor selling raspa,a street vendor selling shaved ice,0.3411
4,a man enjoying raspa on a hot day,a man enjoying shaved ice on a hot day,0.6655
5,a girl enjoying a bowl of raspa in the park,a girl enjoying a bowl of shaved ice in the park,0.4781
6,two people sharing a cup of raspa on the table,two people sharing a cup of shaved ice on the table,0.8034
7,a group of teens in a clicka walking through the neighborhood,a group of teens in a friend group walking through the neighborhood,0.6003
8,a clicka gathered around a bench talking,a friend group gathered around a bench talking,0.6195
9,a clicka laughing loudly by a taco stand,a friend group laughing loudly by a taco stand,0.8401
10,a clicka posing for a picture in front of a mural,a friend group posing for a picture in front of a mural,0.5521
11,a clicka skateboarding down the street together,a friend group skateboarding down the street together,0.8446
12,a padrino cutting a birthday cake,a godfather cutting a birthday cake,0.7591
13,a padrino officiating a wedding ceremony,a godfather officiating a wedding ceremony,0.7846
14,a padrino playing chess with his godson,a godfather playing chess with his godson,0.4536
15,a padrino cheering at a baseball game,a godfather cheering at a baseball game,0.9224
16,a padrino enjoying a cigar in a lounge,a godfather enjoying a cigar in a lounge,0.6987
17,a padrino gifting a necklace at a baptism,a godfather gifting a necklace at a baptism,0.9538
18,a person hiking through a fil,a person hiking through a field,0.5337
19,a person running through a fil,a person running through a field,0.4527
20,two kids playing around in the fil,two kids playing around in the field,0.7094
21,two men sitting in a pinta cell,two men sitting in a jail cell,0.7778
22,a pinta guard standing in front of a wall,a jail guard standing in front of a wall,0.0893
23,a small pinta with high fences,a small prison with high fences,0.163
24,a man about to go to pinta,a man about to go to prison,0.3842
25,a person and their jaina walking down a street,a person and their girlfriend walking down a street,0.1158
26,a man and his jaina laughing,a man and his girlfriend laughing,0.2667
27,a person and their jaina dressed in similar looking clothes,a person and their girlfriend dressed in similar looking clothes,0.0433
28,my jaina and I driving in a blue car,my girlfriend and I driving in a blue car,0.7572
29,me having dinner in a restaurant with my jaina,me having dinner in a restaurant with my girlfriend,0.6642
30,a sunny day in the park with my jaina,a sunny day in the park with my girlfriend,0.2148
31,a person planchar a dress shirt,a person irons a dress shirt,0.5285
32,a person planchar a towel in a sunny room,a person irons a towel in a sunny room,0.5389
33,a man planchar his pants before work,a man irons his pants before work,0.5011
34,my mother planchar the curtains,my mother irons the curtains,0.579
35,a woman planchar clothes in the laundry room,a woman irons clothes in the laundry room,0.4162
36,my brother planchar his uniform shirt,my brother irons his uniform shirt,0.0665
37,a person exploring Chuco on a sunny afternoon,a person exploring El Paso on a sunny afternoon,0.4377
38,a woman and her carnal eating at a restaurant,a woman and her brother eating at a restaurant,0.7806
39,a man hiking with his carnal on a forest trail,a man hiking with his brother on a forest trail,0.3745
40,my carnal posing for a picture,my brother posing for a picture,0.796
41,me standing with my carnal,me standing with my brother,0.4585
42,my carnal and I sitting at a table,my brother and I sitting at a table,0.9433
43,my carnal riding a bike,my brother riding a bike,0.5498
44,a woman and her carnalita eating at a restaurant,a woman and her sister eating at a restaurant,0.6469
45,a man hiking with his carnalita through a mountain path,a man hiking with his sister through a mountain path,0.4536
46,me and my carnalita posing for a picture,me and my sister posing for a picture,0.6108
47,me standing with my carnalita,me standing with my sister,0.3563
48,my carnalita and I sitting at a table,my sister and I sitting at a table,0.4179
49,my carnalita riding a bike,my sister riding a bike,0.781
50,my carnales playing basketball together,my brothers playing basketball together,0.8631
51,a carnales duo in a rock band,a brothers duo in a rock band,0.6761
52,my carnales on a camping trip,my brothers on a camping trip,0.1627
53,a carnales wrestling match,a brothers wrestling match,0.6006
54,my carnales building a treehouse,my brothers building a treehouse,0.688
55,a carnales handshake at graduation,a brothers handshake at graduation,0.7701
56,a carnalas moment at a wedding,a sisters moment at a wedding,0.9173
57,my carnalas studying together,my sisters studying together,0.67
58,a carnalas dance routine,a sisters dance routine,0.2607
59,my carnalas sharing a secret,my sisters sharing a secret,0.4162
60,my carnalas having a tea party in the garden,my sisters having a tea party in the garden,0.527
61,my carnalas braiding each other's hair,my sisters braiding each other's hair,0.3619
62,a group of raza at a family reunion,a group of mexican americans at a family reunion,0.0272
63,a raza activist speaking at a rally,a mexican american activist speaking at a rally,0.0513
64,a raza community center hosting an event,a mexican american community center hosting an event,0.3558
65,a raza cultural festival in the park,a mexican american cultural festival in the park,0.2264
66,a raza musician performing live,a mexican american musician performing live,0.0444
67,a raza student at a graduation ceremony,a mexican american student at a graduation ceremony,0.3516
68,a vato wearing sunglasses and a bandana,a young man wearing sunglasses and a bandana,0.9349
69,a vato skateboarding down a hill,a young man skateboarding down a hill,0.8228
70,a vato leaning against a lowrider,a young man leaning against a lowrider,0.8108
71,a vato playing an acoustic guitar,a young man playing an acoustic guitar,0.6312
72,a vato writing in a journal at a cafe,a young man writing in a journal at a cafe,0.736
73,a vato shooting pool at a bar,a young man shooting pool at a bar,0.5686
74,an ese playing basketball in a local court,a young man playing basketball in a local court,0.6068
