Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,a large teh tarik,a large milk tea,0.5468
1,a small teh tarik,a small milk tea,0.4544
2,kopi on a table,coffee on a table,0.1287
3,kopi on a counter,coffee on a counter,0.1841
4,two people getting kopi,two people getting coffee,0.2071
5,a man buying kopi,a man buying coffee,0.1424
6,a woman with kopi,a woman with coffee,0.0923
7,a painting of an ang pow,a painting of a red packet,0.7776
8,a person holding an ang pow,a person holding a red packet,0.6447
9,let's get some food tapao,let's get some food takeout,0.2303
10,a couple getting food tapao,a couple getting food takeout,0.3348
11,a kiasu businessman,a businessman with a grasping and selfish attitude,0.1209
12,a kiasu leader,a leader with a grasping and selfish attitude,0.1283
13,a kiasu student,a student with a grasping and selfish attitude,0.2488
14,a kiasu parent,a parent with a grasping and selfish attitude,0.463
15,a kiasu businesswoman,a businesswoman with a grasping and selfish attitude,0.1898
16,a kiasu politician,a politician with a grasping and selfish attitude,0.0982
17,a sian woman,a bored woman,0.0278
18,a sian worker,a bored worker,0.2775
19,a child sian,a child bored,0.1828
20,a sian man,a bored man,0.0344
21,people lepak on a beach,people relaxing on a beach,0.347
22,people lepak on a coach,people relaxing on a coach,0.4662
23,a couple lepak in a park,a couple relaxing in a park,0.2571
24,a person gesturing can,a person gesturing yes,0.6115
25,a person answering can,a person answering yes,0.5164
26,a worker gesturing can,a worker gesturing yes,0.7111
27,a student gesturing can,a student gesturing yes,0.4085
28,a woman gesturing can,a woman gesturing yes,0.5486
29,a man gesturing can,a man gesturing yes,0.4957
30,a student chope,a student saving a table,0.4781
31,a man chope,a man saving a table,0.8209
32,a woman chope,a woman saving a table,0.4319
33,a group chope,a group saving a table,0.5884
34,chope at a cafe,saving a table at a cafe,0.4636
35,chope with a napkin,saving a table with a napkin,0.7443
36,a painting of something that is shiok,a painting of something that is very tasty,0.4621
37,an atas party,a high class party,0.6807
38,an atas car,a high class car,0.3089
39,an ulu trail,a secluded trail,0.3757
40,a woman makan noodles,a woman eating noodles,0.4208
41,a painting of someone makan,a painting of someone eating,0.5832
42,a person makan salad,a person eating a salad,0.6901
43,a man makan a taco,a man eating a taco,0.6431
44,people makan,people eating,0.3727
45,a man makan a burrito,a man eating a burrito,0.8248
46,a family zhng their house,a family redecorates their house,0.3599
47,a worker zhng her office space,a worker redecorates her office space,0.4141
48,a couple zhng their garage,a couple redecorate their garage,0.6862
49,a woman zhng her room,a woman redecorates her room,0.1694
50,a man zhng his desk,a man redecorates his desk,0.4172
51,a person zhng their kitchen,a person redecorates their kitchen,0.4752
52,a tall ger,a tall girl,0.4537
53,a ger buying a computer,a girl buying a computer,0.4232
54,a ger hiking,a girl hiking,0.412
55,a ger,a girl,0.6067
56,a ger in a city,a girl in a city,0.5227
57,a painting of a ger,a painting of a girl,0.7991
58,a woman holding a handphone,a woman holding a mobile phone,0.3806
59,a man with a handphone,a man with a mobile phone,0.1852
60,a painting of a handphone,a painting of a mobile phone,0.6769
61,a handphone on a lawn,a mobile phone on a lawn,0.6156
62,an ah long handling cash,a loan shark handling cash,0.4181
63,an ah long carrying a knife,a loan shark carrying a knife,0.1953
64,an ah long holding a bag,a loan shark holding a bag,0.2926
65,an ah long,a loan shark,0.5286
66,an ah long talking to someone,a loan shark talking to someone,0.1864
67,an ah long spray painting,a loan shark spray painting,0.4368
68,a man at a kopi tiam,a man at a coffee shop,0.3816
69,a woman at a kopi tiam,a woman at a coffee shop,0.1108
70,a modern kopi tiam,a modern coffee shop,0.2875
71,an old kopi tiam,an old coffee shop,0.3861
72,a painting of a yandao,a painting of a handsome male,0.46
73,a yandao buying food,a handsome male buying food,0.2837
74,a yandao walking,a handsome male walking,0.2262
75,a photo of a yandao,a photo of a handsome male,0.2841
76,a yandao,a handsome male,0.0829
