Prompt_Index,SAE_Prompt,Normalized_Score
0,a woman driving a green truck on a farm,0.7721
1,a man driving a truck on the highway,0.6355
2,two kids sitting on the back of a truck,0.7454
3,a street vendor selling shaved ice,0.7255
4,a man enjoying shaved ice on a hot day,0.7932
5,a girl enjoying a bowl of shaved ice in the park,0.1781
6,two people sharing a cup of shaved ice on the table,0.7586
7,a group of teens in a friend group walking through the neighborhood,0.7206
8,a friend group gathered around a bench talking,0.6853
9,a friend group laughing loudly by a taco stand,0.8503
10,a friend group posing for a picture in front of a mural,0.3282
11,a friend group skateboarding down the street together,0.7399
12,a godfather cutting a birthday cake,0.4563
13,a godfather officiating a wedding ceremony,0.6523
14,a godfather playing chess with his godson,0.5815
15,a godfather cheering at a baseball game,0.8062
16,a godfather enjoying a cigar in a lounge,0.8275
17,a godfather gifting a necklace at a baptism,0.6223
18,a person hiking through a field,0.3658
19,a person running through a field,0.1174
20,two kids playing around in the field,0.786
21,two men sitting in a jail cell,0.5398
22,a jail guard standing in front of a wall,0.3507
23,a small prison with high fences,0.18
24,a man about to go to prison,0.5691
25,a person and their girlfriend walking down a street,0.7431
26,a man and his girlfriend laughing,0.7281
27,a person and their girlfriend dressed in similar looking clothes,0.6747
28,my girlfriend and I driving in a blue car,0.8056
29,me having dinner in a restaurant with my girlfriend,0.496
30,a sunny day in the park with my girlfriend,0.4873
31,a person irons a dress shirt,0.7184
32,a person irons a towel in a sunny room,0.8327
33,a man irons his pants before work,0.4746
34,my mother irons the curtains,0.4994
35,a woman irons clothes in the laundry room,0.408
36,my brother irons his uniform shirt,0.7021
37,a person exploring El Paso on a sunny afternoon,0.7007
38,a woman and her brother eating at a restaurant,0.2301
39,a man hiking with his brother on a forest trail,0.8526
40,my brother posing for a picture,0.9326
41,me standing with my brother,0.9197
42,my brother and I sitting at a table,0.794
43,my brother riding a bike,0.9256
44,a woman and her sister eating at a restaurant,0.7715
45,a man hiking with his sister through a mountain path,0.8137
46,me and my sister posing for a picture,0.5955
47,me standing with my sister,0.4883
48,my sister and I sitting at a table,0.1276
49,my sister riding a bike,0.8491
50,my brothers playing basketball together,0.4594
51,a brothers duo in a rock band,0.8824
52,my brothers on a camping trip,0.9116
53,a brothers wrestling match,0.7929
54,my brothers building a treehouse,0.9083
55,a brothers handshake at graduation,0.836
56,a sisters moment at a wedding,0.9085
57,my sisters studying together,0.416
58,a sisters dance routine,0.6483
59,my sisters sharing a secret,0.1662
60,my sisters having a tea party in the garden,0.8654
61,my sisters braiding each other's hair,0.2012
62,a group of mexican americans at a family reunion,0.7233
63,a mexican american activist speaking at a rally,0.7661
64,a mexican american community center hosting an event,0.8845
65,a mexican american cultural festival in the park,0.35
66,a mexican american musician performing live,0.6205
67,a mexican american student at a graduation ceremony,0.3725
68,a young man wearing sunglasses and a bandana,0.8225
69,a young man skateboarding down a hill,0.6858
70,a young man leaning against a lowrider,0.8677
71,a young man playing an acoustic guitar,0.5403
72,a young man writing in a journal at a cafe,0.2953
73,a young man shooting pool at a bar,0.4966
74,a young man playing basketball in a local court,0.8482
75,a young man walking his pitbull in the neighborhood,0.8691
76,a young man buying street tacos from a food truck,0.93
77,a young man riding a BMX bike in a skate park,0.7824
78,a young man breakdancing on a city street,0.43
79,a young man playing the trumpet in a mariachi band,0.5423
80,a man grilling burgers at a cookout,0.8596
81,a man riding a horse at a ranch,0.4932
82,a man repairing a broken fence,0.2604
83,a man practicing archery in a field,0.0881
84,a man jogging in a city park,0.8368
85,a man watching a sunset from a pier,0.321
86,a godmother baking cookies for a bake sale,0.796
87,a godmother attending a school play,0.9017
88,a godmother planting flowers in the garden,0.5993
89,a godmother knitting a sweater for her godchild,0.6707
90,a godmother singing in a church choir,0.354
91,a godmother decorating a Christmas tree,0.8334
92,a crazy guy dancing in the rain,0.8889
93,a crazy stunt on a skateboard,0.6417
94,a crazy artist painting upside down,0.5941
95,a crazy expression on her face,0.6739
96,a crazy scene at the concert,0.7451
97,my daughter playing in a sandbox,0.7555
98,a daughter drawing with chalk on the sidewalk,0.6507
99,my daughter holding a big ice cream cone,0.8231
100,a daughter riding a bike for the first time,0.5968
101,a daughter wearing a princess costume,0.0804
102,my daughter exploring the beach,0.6407
103,my son kicking a soccer ball,0.962
104,a son climbing a tree,0.7801
105,my son reading a comic book,0.8397
106,a son playing with a toy train,0.8051
107,my son catching a fish,0.9596
108,a son building a sandcastle,0.9634
109,a surfer on a california wave,0.6319
110,my vacation in california,0.625
111,a bustling market in california,0.5266
112,a hand dropping money into a piggy bank,0.6234
113,a close friend at a campfire,0.453
114,my close friend wearing a birthday hat,0.4347
115,a memory with my close friend at the beach,0.1154
116,an afternoon with my close friend at the cafe,0.5475
117,a photo of me and my close friend,0.0511
118,a close friend helping with homework,0.438
119,my favorite pampering session with candles,0.7724
120,a man deciding to pamper himself,0.4792
121,a day out to pamper with friends,0.2895
122,a group of people sharing a lunch,0.6889
123,a child excited for his lunch break,0.292
124,a boy flying a kite,0.9292
125,my boy wearing a school uniform,0.3115
126,an adventurous boy climbing a tree,0.9819
127,a boy with his toy collection,0.7451
128,a boy making a sandcastle,0.8028
129,a tired boy after soccer practice,0.8658
130,a girl with a flower crown,0.8008
131,my girl's first day at school,0.8014
132,a girl playing with her dolls,0.788
133,an artistic girl painting a picture,0.6374
134,a girl practicing her dance routine,0.2904
135,a girl laughing at a playground,0.7744
