Prompt_Index,SAE_Prompt,Normalized_Score
0,a little baby,0.827
1,a painting of a little boy,0.9242
2,a little girl,0.6098
3,a man holler at a girl,0.4022
4,a man holler at a woman,0.1494
5,a guy holler at a woman,0.4831
6,a guy holler at his close friend,0.5312
7,a holler from the audience,0.487
8,my close friend,0.4145
9,my handsome close friend,0.5885
10,an old close friend,0.368
11,me and my close friend,0.3766
12,a close friend from childhood,0.3434
13,painting of me and my close friend,0.5411
14,me and my friends,0.4226
15,me and my large friends,0.7417
16,painting of me and my friends,0.5972
17,me and my small friends,0.7376
18,my friends wearing red,0.5489
19,my friends at my house,0.6016
20,an old grandma,0.6922
21,my beautiful grandma,0.7006
22,a group of grandmas,0.6846
23,my grandma in purple,0.6401
24,my grandma in her house,0.6315
25,an angry grandma,0.5557
26,a picture of my lover,0.1223
27,my sleeping lover,0.2588
28,my beautiful lover,0.3277
29,my lover at my house,0.0964
30,my lover wearing purple,0.2109
31,my handsome lover,0.1507
32,a kid deposit some money,0.8413
33,a man paying with money,0.6562
34,a woman paying with money,0.5711
35,a man aiming his gun,0.2077
36,a man wearing dental jewelry,0.76
37,a woman wearing dental jewelry,0.4838
38,tipping my hat,0.5547
39,wearing a hat,0.5432
40,loading the gun,0.4387
41,aiming the gun,0.1389
42,a busy neighborhood,0.3983
43,a man flashing bills,0.7218
44,a man with his close friends,0.5374
45,a group picture with the close friends,0.2103
46,a painting of my close friends,0.6998
47,my close friends in the house,0.648
48,me with my close friends,0.39
49,hanging with my close friends,0.477
50,a picture of my lover,0.1223
51,my sleeping lover,0.2588
52,my beautiful lover,0.3277
53,my lover at my house,0.0964
54,my lover wearing pink,0.4718
55,my handsome lover,0.1507
56,my close friend,0.4145
57,my handsome close friend,0.5885
58,an old close friend,0.368
59,me and my close friend,0.3766
60,a close friend from childhood,0.3434
61,painting of me and my close friend,0.5411
62,a man high on marijuana,0.7312
63,a woman high on marijuana,0.8933
64,a painting of a person high on marijuana,0.7503
65,a group of people high on marijuana,0.8128
66,college students high on marijuana,0.7508
67,a person high on marijuana,0.8196
68,my morning hair frizziness,0.4993
69,a painting of my hair frizziness,0.737
70,fixing my hair frizziness,0.6393
71,a woman with hair frizziness,0.6098
72,my natural hair frizziness,0.218
73,two people with hair frizziness,0.6119
74,a painting of my dreadlocks,0.1195
75,my dirty dreadlocks,0.2535
76,my long dreadlocks,0.3085
77,two people with dreadlocks,0.09
78,cutting my dreadlocks,0.3327
79,dyed dreadlocks,0.5899
