Prompt_Index,SAE_Prompt,Score
0,a red semitruck,0.9805
1,a large semitruck,0.9681
2,a broken semitruck,0.5199
3,a painting of an old semitruck,0.9523
4,a modern semitruck,0.9727
5,a small semitruck,0.1969
6,a cozy sweater,0.963
7,a purple sweater,0.9658
8,a dirty sweater,0.5503
9,a designer sweater,0.5231
10,a sweater with holes,0.8657
11,a colorful sweater,0.9845
12,a modern bathroom,0.9805
13,a dirty bathroom,0.4004
14,a colorful bathroom,0.972
15,a bathroom with blue tiles,0.987
16,a spacious bathroom,0.8858
17,a tiny bathroom,0.5543
18,a pack of sausages,0.8177
19,a plate of sausages and eggs,0.8852
20,three sausages,0.7423
21,sizzling sausages,0.5577
22,broken sausages,0.4431
23,some expired sausages,0.4038
24,a pile of trash,0.9792
25,trash on the floor,0.9811
26,a heap of trash,0.979
27,a painting of trash,0.9341
28,a trash bin,0.9469
29,a room full of trash,0.9786
30,an apartment to rent,0.5536
31,an apartment with two bedrooms,0.5345
32,a city centre apartment,0.8636
33,an apartment with balcony,0.972
34,students living in an apartment,0.8859
35,keys to a new apartment,0.6592
36,a broken car trunk,0.5912
37,a packed car trunk,0.9579
38,an empty car trunk,0.5235
39,a dirty car trunk,0.9095
40,a modern car trunk,0.9547
41,a red car trunk,0.5566
42,a long line,0.9358
43,a short line,0.5193
44,a painting of a long line,0.91
45,a line of people,0.806
46,a line outside the store,0.9143
47,a line for food,0.705
48,a pair of purple pants,0.9848
49,a pair of denim pants,0.9755
50,some ripped pants,0.9088
51,my dirty pants,0.6412
52,a pair of designer pants,0.8051
53,pants with holes,0.6612
54,a small cookie,0.7098
55,a fresh cookie,0.6189
56,a burnt cookie,0.6364
57,a broken cookie,0.5396
58,a painting of a cookie,0.9608
59,a chocolate cookie,0.762
60,a handheld flashlight,0.8615
61,a flashlight in a drawer,0.7996
62,a pocket flashlight,0.7359
63,using a flashlight at night,0.5121
64,batteries for a flashlight,0.5073
65,a flashlight with a switch,0.6085
66,some dirty diapers,0.4193
67,white diapers,0.3103
68,diapers with holes,0.8345
69,a pack of diapers,0.7266
70,a pair of pink diapers,0.7769
71,a ripped pair of diapers,0.6446
72,a modern gasoline station,0.9697
73,a painting of an old gasoline station,0.9035
74,a vintage gasoline station,0.8833
75,a gasoline pump,0.7828
76,a gasoline tanker,0.6451
77,a gasoline station sign,0.9275
78,a round soccer ball,0.9359
79,a black and white soccor ball,0.7378
80,a soccer match in Europe,0.8958
81,a soccer with black spots,0.9345
82,a team scoring a soccer goal,0.5951
83,kicking a soccer ball,0.857
84,shopping at a pharmacy,0.9423
85,entering a local pharmacy,0.8075
86,shelves in a pharmacy,0.9803
87,queue at a pharmacy shop,0.7405
88,sign for a pharmacy shop,0.8935
89,products from a pharmacy,0.9878
90,hot french fries with vinegar,0.4215
91,french fries with ketchup,0.5959
92,thick-cut french fries,0.8782
93,french fries from a chippy,0.8252
94,french fries with fish,0.1401
95,takeaway french fries,0.9331
96,an attorney at a table,0.8765
97,an old attorney,0.8103
98,an attorney at a park,0.9036
99,an attorney with a woman,0.6647
100,an attorney with a notepad,0.775
101,a painting of an attorney,0.7358
102,a school janitor,0.796
103,a dirty janitor,0.5676
104,a tired janitor,0.7385
105,a busy janitor,0.8443
106,a painting of an old janitor,0.7697
107,a janitor in a mall,0.8842
108,a burning stove,0.8967
109,an old gas stove,0.7624
110,a modern electric stove,0.7883
111,a dirty stove,0.8905
112,a rusty stove,0.9623
113,a large stove,0.7503
114,a baby in a crib,0.7635
115,a wooden nursery crib,0.901
116,toys beside a crib,0.949
117,a crib with mobile,0.6789
118,a crib with bars,0.8505
119,an infant's crib,0.9684
120,a billboard in a city,0.9508
121,a broken billboard,0.6043
122,a colorful billboard,0.9448
123,a bright red billboard,0.8982
124,a billboard lit up,0.8049
125,a dirty billboard,0.7523
126,a bright red vacuum cleaner,0.9149
127,a vacuum cleaner with a long cord,0.613
128,a modern vacuum cleaner,0.9239
129,a broken vacuum cleaner,0.2225
130,a dirty vacuum cleaner,0.5633
131,a painting of an old vacuum cleaner,0.9481
132,a filled pitcher,0.6701
133,an empty pitcher,0.5811
134,a broken pitcher,0.7239
135,a dirty pitcher,0.781
136,a colorful pitcher,0.9532
137,a bright blue pitcher,0.7887
138,a young mailman,0.496
139,a lazy mailman,0.3992
140,a tired mailman,0.4886
141,a busy mailman,0.5905
142,a painting of an old mailman,0.7247
143,a mailman on the street,0.66
144,a colorful baby carriage,0.9702
145,a baby carriage with a sunshade,0.8991
146,a bright pink baby carriage,0.9656
147,a dirty baby carriage,0.8914
148,a painting of a vintage baby carriage,0.9629
149,a modern baby carriage,0.844
150,a luxurious sedan,0.9582
151,a bright red sedan,0.9493
152,a dirty sedan,0.9333
153,a sedan on the street,0.9496
154,a broken sedan,0.8484
155,a painting of a vintage sedan,0.9212
156,an open hood of car,0.4186
157,a dirty hood of car,0.7622
158,a bright red hood of car,0.6784
159,a hood of car with stripes,0.7457
160,a broken hood of car,0.927
161,a colorful hood of car,0.6445
162,chopped cilantro,0.9571
163,cilantro on a table,0.9619
164,cilantro in a basket,0.9783
165,a painting of cilantro,0.908
166,a basket of cilantro,0.9614
167,a dish with cilantro,0.9824
168,a sliced zucchini,0.8146
169,a zucchini on the table,0.9391
170,zucchini in a basket,0.8967
171,a painting of a zucchini,0.5878
172,a moldy zucchini,0.285
173,a dish with zucchini,0.9734
174,inside of the subway,0.9462
175,a subway station,0.9464
176,a dirty subway,0.8295
177,a modern subway,0.892
178,a painting of the subway,0.96
179,an abandoned subway station,0.9623
180,a sliced eggplant,0.5889
181,an eggplant on the table,0.4658
182,eggplant in a basket,0.7032
183,a painting of an eggplant,0.5459
184,a moldy eggplant,0.3218
185,a dish with eggplant,0.9725
186,people on a crosswalk,0.9616
187,a busy crosswalk,0.6896
188,a painted crosswalk,0.796
189,a wide crosswalk,0.7161
190,a woman on a crosswalk,0.9351
191,an empty crosswalk,0.8146
192,cars on a busy highway,0.9816
193,an empty highway,0.9497
194,a highway at sunset,0.9674
195,a highway sign,0.8945
196,a highway with traffic cones,0.8895
197,a snowy highway,0.8983
198,a band-aid wrapped around a finger,0.6106
199,a band-aid covering a small cut,0.4879
200,a band-aid on an injured knee,0.7024
201,a colorful band-aid on an elbow,0.7471
202,a band-aid for a cut,0.5964
203,a band-aid peeling off skin,0.41
204,a torn trash bag,0.8203
205,a black trash bag,0.6185
206,an overflowing trash bag,0.8447
207,a roll of trash bags,0.4089
208,a trash bag on the ground,0.9054
209,a transparent trash bag,0.5766
210,a vest under a suit jacket,0.7326
211,a formal vest on a hanger,0.7636
212,a vest worn over a shirt,0.9611
213,a velvet vest on display,0.9123
214,a striped vest displayed in a store,0.8889
215,a velvet vest laid flat,0.5534
216,a salad bowl filled with arugula,0.8569
217,chopped arugula leaves,0.4497
