Prompt_Index,SAE_Prompt,Score
0,a red semitruck driving down the street,0.2903
1,a delivery semitruck loaded with packages,0.3144
2,a semitruck parked by the curb,0.2859
3,a semitruck parked at a stop sign,0.3214
4,a semitruck hauling timber,0.3387
5,a semitruck with a flat tire,0.2975
6,a cozy sweater hanging in a closet,0.3382
7,a man wearing a purple sweater,0.3504
8,a woman knitting a brown sweater,0.3512
9,a sweater with reindeer patterns,0.3655
10,a sweater on a hanger,0.3162
11,a sweater folded neatly,0.3139
12,a girl knocking on the bathroom door,0.3108
13,a set of fresh towels in the bathroom,0.3051
14,a line of people waiting outside the bathroom,0.3112
15,a bathroom with a leaky faucet,0.2755
16,a tidy bathroom with shiny blue wall tiles,0.3456
17,a bathroom with a shower curtain,0.336
18,a pack of sausages at the grocery store,0.3386
19,a plate of sausages and eggs with toast,0.3451
20,a man cutting a sausage in half,0.3158
21,sausages on a grill,0.3266
22,sausages and mashed potatoes on a plate,0.3677
23,my sausages sizzling in a pan,0.3263
24,a woman throwing away the trash,0.3201
25,a bin overflowing with trash,0.2571
26,a raccoon going through trash,0.3694
27,a trash can near a park bench,0.2976
28,a trash pile in an alley,0.3055
29,a trash dumpster in a construction site,0.3118
30,a top-floor apartment with a view of the city,0.3057
31,a college student's apartment,0.2766
32,a cozy apartment in the city,0.305
33,an apartment with a balcony overlooking the city,0.2878
34,an apartment with a rooftop garden,0.3311
35,my apartment with an open-plan kitchen,0.2964
36,a man loading luggage into the car trunk,0.3298
37,a spare tire in the car trunk,0.3371
38,a woman putting groceries in the car trunk,0.3178
39,a car trunk filled with groceries,0.3242
40,a car trunk packed for a road trip,0.3109
41,my car trunk after a shopping spree,0.296
42,a boy waiting in the line at a grocery store,0.3202
43,a line for the rollercoaster,0.2971
44,a line of cars at a drive-through,0.2948
45,a line at the ticket counter,0.3006
46,a line for the morning bus,0.3086
47,a line at the post office,0.2949
48,a man ironing creases in his pants,0.3302
49,a pair of purple pants folded on a chair,0.3802
50,a kid wearing a pair of blue pants,0.3328
51,a pants display in a store,0.3213
52,pants with a matching blazer,0.2933
53,my pants hanging in the closet,0.2866
54,a woman enjoying a cup of tea with a cookie,0.3256
55,a tin of assorted cookies,0.3052
56,a man baking homemade cookies,0.3263
57,a cookie with chocolate chips,0.3231
