Prompt_Index,SAE_Prompt,Score
0,a little boy playing with a yoyo,0.3273
1,a little girl playing with a toy car,0.3302
2,a little cat sitting on top of the piano,0.3449
3,a little dog playing in the backyard,0.3216
4,a little one story blue house,0.317
5,a little baby wrapped in a blanket,0.2753
6,a man driving his car,0.2807
7,a woman driving her blue car,0.3206
8,a man driving a new car on the freeway,0.3007
9,a red car parked in the garage,0.2992
10,a car parked by the curb,0.2725
11,a black car with chrome rims,0.2751
12,a man in front of his house,0.3017
13,a woman in front of her house,0.3163
14,a family in front of their new house,0.2984
15,a retiree and her one story house with a flower garden,0.3481
16,a house with a white picket fence,0.3459
17,a brick house with a garden,0.3187
18,a man holler at a girl across the street,0.2444
19,a man holler at a woman near the bus stop,0.2817
20,a man holler at a woman walking past him,0.2642
21,a man holler at his close friend from the balcony,0.2731
22,a loud holler from the audience during the show,0.2491
23,she heard a holler from across the street,0.2152
24,me and my close friend hanging out at a cafe,0.2979
25,my close friend talking on the phone,0.2574
26,my close friend waiting outside the store,0.2652
27,me and my close friend eating together at lunch,0.2858
28,a close friend from childhood playing video games together,0.2894
29,a close friend with a skateboard,0.2984
30,me and my friends hanging out after school,0.2607
31,me and my friends at a restaurant,0.2842
32,taking a selfie with my friends,0.2717
33,me and my friends hanging out at a cafe,0.2999
34,my friends hanging out at the park,0.2673
35,a group of friends in matching shirts,0.303
36,an old grandma in front of a new england style house,0.3419
37,my grandmother and my dad,0.2827
38,my grandmother with my mom,0.2885
39,my grandmother and her cat,0.332
40,a grandma knitting a sweater,0.3434
41,a grandma baking cookies,0.3357
42,a picture of my lover smiling at the beach,0.2977
43,me and my lover holding hands at sunset,0.294
44,my lover posing in a botanical garden,0.3072
45,my lover drinking coffee,0.2984
46,a lover holding a bouquet of roses,0.2998
47,a lover taking a selfie,0.2856
48,a wallet full of money,0.3014
49,pay with some money,0.2684
50,a man paying money to the cashier,0.293
51,a woman paying money to the shopkeeper,0.3203
52,a wallet overflowing with fresh green money,0.3024
53,an armored cash carrier carrying bags of money,0.3214
54,a man wearing sneakers,0.29
55,a girl wearing white leather sneakers,0.328
56,a pair of stylish sneakers,0.2888
57,a pair of gray sneakers,0.3147
58,a row of sneakers in a store,0.3227
59,a pair of sneakers hanging on a wire,0.3699
60,a man aiming his gun,0.2886
61,a man aiming his gun in a dark alley,0.3321
62,a woman firing her gun at the target,0.341
63,a soldier carrying a gun,0.3082
64,a gun in a holster,0.3137
65,a gun tucked into a waistband,0.3265
66,a man wearing cool clothes,0.2753
67,a woman wearing cool clothes,0.2808
68,a man wearing minimalist clothes,0.3156
69,some fresh clothes on a mannequin,0.2408
70,a woman wearing vintage clothes,0.321
71,a rack of designer clothes,0.3252
72,a man wearing dental jewelry over the teeth,0.33
73,a rapper with dental jewelry,0.3188
74,a man wearing green dental jewelry,0.3707
75,a woman wearing dental jewelry with a confident smile,0.3381
76,a rapper showing off his dental jewelry,0.3166
77,gold dental jewelry on a smiling face,0.3144
78,a car with dark tinted windows,0.2828
79,a black convertible with tinted windows,0.2892
80,a red Tesla with very dark tinted windows,0.3009
81,a SUV with dark tinted windows,0.2986
82,a silver van with light window tinting on the windows,0.3146
83,a schoolbus with orange tinted windows,0.3251
84,a woman driving her convertible car,0.2983
85,a man driving his convertible car on the hilly road,0.3033
86,two people riding in a convertible car,0.2967
87,a man driving a sporty convertible car,0.2995
88,a red convertible car cruising down the street,0.3051
89,a vintage convertible car parked at the beach,0.3245
90,a grandpa wearing a baseball cap,0.2929
91,a woman wearing an orange cap,0.3543
92,a man wearing a red cap,0.2912
93,a man with a blue cap,0.301
94,a baseball cap with a sports logo,0.3139
95,a boy wearing a cap matching his outfit,0.3421
96,a man looking at his reflection in a mirror,0.3258
97,a woman looking at her reflection in a mirror,0.3104
98,a couple looking at their reflection in a mirror,0.2922
99,a mirror mounted above the sink in a bathroom,0.3044
100,a handheld mirror with a gold frame,0.3654
101,a tall mirror in the fitting room,0.2849
102,a man holding his gun,0.2899
103,a woman holding a large gun,0.3149
104,a couple of soldiers with guns,0.3001
105,a group of people with guns,0.3001
106,a gun stored in a safe,0.3297
107,a black gun inside a half-open drawer,0.3519
108,a man wearing a gold necklace,0.3024
109,a woman wearing a gold necklace,0.3051
110,a man wearing a rose gold necklace,0.3372
111,some gold necklaces around the neck,0.3172
112,a display of necklaces in a jewelry store,0.3312
113,a man wearing a dark gray necklace,0.2938
114,a woman driving a car,0.2954
115,a car with a flat tire,0.2885
116,a guy riding in a car,0.2808
