Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,a painting of raspa,a painting of shaved ice,0.6383
1,a man enjoying raspa,a man enjoying shaved ice,0.6819
2,cup of raspa on a table,cup of shaved ice on a table,0.7155
3,a blue raspa,a blue shaved ice,0.8084
4,a clicka,a friend group,0.8883
5,a big clicka,a big friend group,0.2981
6,a clicka at school,a friend group at school,0.3907
7,a clicka at the park,a friend group at the park,0.6849
8,a loud clicka,a loud friend group,0.2321
9,a painting of a padrino,a painting of a godfather,0.0561
10,a padrino,a godfather,0.1652
11,a padrino in a house,a godfather in a house,0.1518
12,an old padrino,an old godfather,0.5989
13,a man with a padrino,a man with a godfather,0.3006
14,a woman with a padrino,a woman with a godfather,0.4439
15,a big fil,a big field,0.908
16,a person at a fil,a person at a field,0.8109
17,a green fil,a green field,0.6375
18,an old pinta,an old jail,0.5455
19,a modern pinta,a modern jail,0.5072
20,a small pinta,a small prison,0.6896
21,go to pinta,go to prison,0.1664
22,a painting of a jaina,a painting of a girlfriend,0.0644
23,a jaina in a home,a girlfriend in a home,0.4599
24,a jaina in a car,a girlfriend in a car,0.671
25,a jaina walking,a girlfriend walking,0.8187
26,me and my jaina,me and my girlfriend,0.7715
27,at the park with my jaina,at the park with my girlfriend,0.5872
28,my dad planchar shirts,my dad irons shirts,0.0186
29,she planchar daily,she irons daily,0.7503
30,they planchar clothes,they iron clothes,0.6227
31,I planchar pants,I iron pants,0.4779
32,we planchar uniforms,we iron uniforms,0.4151
33,he likes to planchar,he likes to iron,0.7779
34,a person exploring Chuco,a person exploring El Paso,0.3804
35,a painting of a carnal,a painting of a brother,0.2012
36,a man hiking with his carnal,a man hiking with his brother,0.2012
37,a carnal in a house,a brother in a house,0.2012
38,me with my carnal,me with my brother,0.2012
39,a carnal at a table,a brother at a table,0.2012
40,a carnal at a park,a brother at a park,0.2012
41,a painting of a carnalita,a painting of a sister,0.2012
42,a man hiking with his carnalita,a man hiking with his sister,0.2012
43,a carnalita in a house,a sister in a house,0.2012
44,me with my carnalita,me with my sister,0.2012
45,a carnalita at a table,a sister at a table,0.2012
46,a carnalita at a park,a sister at a park,0.2012
47,a painting of carnales,a painting of brothers,0.2012
48,carnales in a house,brothers in a house,0.2012
49,me and my carnales,me and my brothers,0.2012
50,carnales by a table,brothers by a table,0.2012
51,carnales together,brothers together,0.2012
52,carnales walking,brothers walking,0.2012
53,a painting of carnalas,a painting of sisters,0.2012
54,carnalas in a house,sisters in a house,0.2012
55,me and my carnalas,me and my sisters,0.2012
56,carnalas by a table,sisters by a table,0.2012
57,carnalas together,sisters together,0.2012
58,carnalas walking,sisters walking,0.2012
59,a painting of raza,a painting of Mexican American,0.0539
60,a raza at a park,a Mexican American at a park,0.0605
61,a raza neighborhood,a Mexican American neighborhood,0.3179
62,a raza at a store,a Mexican American at a store,0.2762
63,a young raza,a young Mexican American,0.9681
64,an old raza,an old Mexican American,0.5329
65,a vato in a house,a young man in a house,0.3239
66,a vato in a park,a young man in a park,0.5481
67,painting of a vato,a painting of a young man,0.7418
68,a vato in a neighborhood,a young man in a neighborhood,0.3919
69,a vato on the ground,a young man on the ground,0.0985
70,a vato leaning,a young man leaning,0.9814
71,a painting of an ese,a painting of a young man,0.6061
72,an ese on a sidewalk,a young man on a sidewalk,0.5592
73,an ese on a trail,a young man on a trail,0.4967
74,an ese in a park,a young man in a park,0.266
75,an ese in a neighborhood,a young man in a neighborhood,0.6676
76,an ese on a street,a young man on a street,0.4522
77,a painting of a bato,a painting of a man,0.3843
78,a big bato,a big man,0.1868
79,a smaller bato,a smaller man,0.4359
80,a bato in a house,a man in a house,0.3145
81,a bato in a park,a man in a park,0.9158
82,a bato on a street,a man on a street,0.3601
83,a painting of a madrina,a painting of a godmother,0.0801
84,an old madrina,an old godmother,0.2361
85,a middle-aged madrina,a middle-aged godmother,0.583
86,a madrina in a house,a godmother in a house,0.9011
87,a madrina at a park,a godmother at a park,0.4999
88,a madrina in a car,a godmother in a car,0.5265
89,a guy acting loco,a guy acting crazy,0.5073
90,a loco cat,a crazy cat,0.9103
91,a loco dog,a crazy dog,0.7142
92,a loco painting,a crazy painting,0.4911
93,a loco toy,a crazy toy,0.1981
94,a mi'ja,a daughter,0.9205
95,a mi'ja at home,a daughter at home,0.2572
96,a mi'ja at a park,a daughter at a park,0.4324
97,a younger mi'ja,a younger daughter,0.5234
98,an older mi'ja,an older daughter,0.4145
99,a painting of a mi'ja,a painting of a daugher,0.5971
100,a mijo,a son,0.8991
101,a mijo at home,a son at home,0.5194
102,a mijo at a park,a son at a park,0.6907
103,a younger mijo,a younger son,0.1949
104,an older mijo,an older son,0.7962
105,a painting of a mijo,a painting of a son,0.9265
106,a Califas landscape,a California landscape,0.6883
107,a city in Califas,a city in California,0.7819
108,a Califas suburb,a California suburb,0.3803
109,baro on the sidewalk,money on the sidewalk,0.5348
110,a painting of a cuate,a painting of a close friend,0.8476
111,me and my cuate,me and my close friend,0.0725
112,a cuate in a house,a close friend in a house,0.5426
113,a cuate at a cafe,a close friend at a cafe,0.7328
114,a cuate on the sidewalk,a close friend on the sidewalk,0.2163
115,a cuate in a park,a close friend in a park,0.3429
116,a person apapachar himself,a person pampered himself,0.0198
117,a couple getting apapachar,a couple getting pampered,0.0083
118,a woman getting apapachar,a woman getting pampered,0.4558
119,a couple getting lonche,a couple getting lunch,0.5703
120,lonche in the meadow,lunch in the meadow,0.8964
121,a chamaco at the park,a boy at the park,0.7848
122,a chamaco in a house,a boy in a house,0.8196
123,a chamaco on the sidewalk,a boy on the sidewalk,0.3948
124,a painting of a chamaco,a painting of a chamaco,0.9137
125,a chamaco at a school,a boy at a school,0.1967
126,a chamaco and a soccer ball,a boy and a soccer ball,0.2822
127,a chamaca at the park,a girl at the park,0.2459
128,a chamaca in a house,a girl in a house,0.5289
129,a chamaca on the sidewalk,a girl on the sidewalk,0.0916
130,a chamaca and a basketball,a girl and a basketball,0.7162
131,a chamaca at a school,a girl at a school,0.5916
132,a chamaca at a store,a girl at a store,0.4096
133,a woman wearing chanclas,a woman wearing flip-flops,0.3702
