Prompt_Index,SAE_Prompt,Normalized_Score
0,a man drinking milk tea,0.7576
1,a woman drinking milk tea,0.5608
2,a couple sitting at a table both with coffee,0.589
3,a man getting coffee from a modern cafe,0.5365
4,two people getting coffee from a stall,0.4025
5,a man buying coffee at a busy counter,0.3666
6,a woman with coffee standing by a bus stop,0.2966
7,a child receiving a red packet from his grandmother,0.724
8,a group of people holding red packets,0.4101
9,let's get some food takeout,0.7424
10,a couple getting food takeout from a hawker stall,0.3458
11,a businessman with a grasping and selfish attitude grabbing all the samples,0.6528
12,a leader with a grasping and selfish attitude cutting in line for a photo,0.6682
13,a student with a grasping and selfish attitude hoarding all the notes,0.654
14,a parent with a grasping and selfish attitude rushing to the front row,0.6609
15,a businesswoman with a grasping and selfish attitude buying out limited deals,0.6742
16,a politician with a grasping and selfish attitude speaking over everyone else,0.7194
17,a bored woman walking on the city street,0.1634
18,a bored worker in an office,0.519
19,a child bored in the summer,0.573
20,a bored man on vacation,0.642
21,people relaxing on a beach with music playing,0.3135
22,a couple relaxing in a park under a tree,0.5064
23,people relaxing on a sofa,0.5795
24,a student in a class nodding yes,0.5563
25,a worker nodding yes to his supervisor,0.7658
26,a customer at a restaurant nodding yes,0.5765
27,a person nodding yes in agreement,0.5504
28,a woman nodding yes,0.4811
29,a man nodding yes,0.5585
30,a student saving a table at the dining hall,0.6494
31,a person saving a table at the library,0.4179
32,a person saving a table using a bag,0.45
33,a group saving a table at the food hall,0.7516
34,saving a table at a cafe using a tissue packet,0.5949
35,saving a table with a napkin placed on a chair,0.5059
36,a person enjoying very tasty food,0.4758
37,a high class party with well dressed people,0.7231
38,a woman with a high class car,0.5682
39,a couple hiking on a secluded trail,0.5042
40,a woman eating a bowl of noodles,0.7473
41,a woman eating sushi in a modern restaurant,0.6169
42,a woman eating a slice of cake in a cafe,0.3947
43,a man eating a taco under a streetlight,0.7708
44,a man eating a burrito by the riverside,0.7183
45,a man eating an apple,0.5395
46,a family redecorate their living room for the holidays,0.5068
47,a worker redecorate her office space with colorful posters,0.4646
48,a couple redecorate their garage with neon lights,0.7039
49,a woman redecorate her room using fairy lights,0.6704
50,a man redecorate his desk with anime figurines,0.1331
51,a couple redecorate their living room,0.3961
52,a group of girls at the mall,0.51
53,a girl hiking in the desert,0.359
54,a girl posing in front of a mural,0.7632
55,a girl buying a computer at the electronics store,0.3779
56,a girl with a white shirt,0.226
57,a girl and her partner,0.5094
58,a person taking a selfie with a mobile phone,0.7349
59,a man using a mobile phone,0.5353
60,people on the subway using their mobile phones,0.4425
61,a woman taking a photo with a mobile phone,0.5568
62,a loan shark counting cash,0.5131
63,a loan shark carrying a knife in an alley,0.3168
64,a loan shark holding a bag of cash,0.6166
65,a loan shark standing by a black car,0.6271
66,a loan shark threatening someone,0.55
67,a loan shark spray painting a message,0.5884
68,a man eating food at a small food court,0.5523
69,a woman drinking tea at a small food court,0.484
70,a couple at a small food court,0.338
71,a group of friends at a small food court,0.6588
72,a handsome male on a magazine cover,0.4949
73,a handsome male performing on stage at a concert,0.4007
74,a handsome male at a gym lifting weights,0.4205
75,a handsome male posing in a streetwear outfit,0.4424
76,a handsome male with his partner,0.3884
77,a group of handsome males,0.8289
78,a man studying at the coffee shop,0.6479
79,a woman studying at home,0.349
80,a child studying a book,0.7259
81,a group of students studying,0.7519
82,a student studying in his room at night,0.4609
83,a couple friends studying in the library,0.5801
84,a man being a third wheel on a hike with a couple,0.5749
85,a woman being a third wheel at a museum with a couple,0.347
86,a third wheel with a gray shirt with a couple,0.8098
87,a couple accompanied by a third wheel,0.5699
88,he was a third wheel on his friend's date,0.7244
89,a third wheel trailing behind a couple,0.4403
90,a man with a cup of milk tea,0.6602
91,a traditional Chinese physician and a male patient,0.4709
92,a traditional Chinese physician and a female patient,0.3517
93,a traditional Chinese physician holding medicine,0.5484
94,a traditional Chinese physician in an office,0.4274
95,a traditional Chinese physician talking with two people,0.5279
96,a traditional Chinese physician sitting at their desk,0.5854
97,a couple at a food court sharing laksa,0.4371
98,a family eating at a food court,0.6217
99,a person guilty of litter thrown from a high-rise building,0.5811
100,a person on the sidewalk avoiding litter thrown from a high-rise building,0.2668
101,a couple walking nearly hit by litter thrown from a high-rise building,0.3998
102,a man using a hoe in a vegetable garden,0.2893
103,a farmer using a hoe in a field,0.3146
104,a person digging in their front yard with a hoe,0.4443
105,a family enjoying spicy stir-fried crab in a fancy restaurant,0.5656
106,a waiter holding a spicy stir-fried crab dish,0.4383
107,a chef making spicy stir-fried crab in a large wok,0.5235
108,a child with his uncle,0.6275
109,an uncle wearing a dark blue shirt,0.1692
110,a group of uncles talking,0.5224
111,an uncle buying fruit from the supermarket,0.5751
112,an uncle drinking coffee at the dining table,0.5146
113,an uncle reading a newspaper while on the couch,0.4411
114,a waiter holding a plate of Fujianese fresh spring rolls,0.7395
115,a person eating a Fujianese fresh spring roll at a street stall,0.646
116,a person eating Indian flatbread with their hands,0.1886
117,a person eating Chinese pork jerky at a festival,0.5898
118,a person buying Chinese pork jerky from a shop,0.401
119,two people both eating Chinese pork jerky,0.522
120,two buddies chatting casually outside a cafe,0.4986
121,buddies laughing while walking along the street,0.6862
122,buddies sharing a meal at the hawker centre,0.4057
123,a group of buddies playing basketball outdoors,0.8723
124,buddies taking selfies at a famous landmark,0.8118
125,two buddies relaxing together at the beach,0.3966
