old,new
ah long,loan shark
ang pow,red envelope
atas,upscale
bak kwa,jerky
can,able
changkol,hoe
char kway teow,stir-fried noodles
chilli crab,spicy crab
chope,reserve
ger,girl
handphone,cellphone
hawker centre,food court
kiasu,competitive
killer litter,falling debris
kopi,coffee
kopi tiam,coffee shop
lepak,chill out
lightbulb,idea
makan,eat
mamak,Indian Muslim
mug,study hard
popiah,spring roll
roti prata,flatbread
shiok,awesome
sian,bored
sinseh,herbal doctor
sotong,squid
tapao,takeout
teh,tea
teh tarik,pulled tea
ulu,remote
yandao,handsome
zhng,enhance
