Prompt_Index,SAE_Prompt,Score
0,a plastic cup with milk tea,0.8961
1,a cup of milk tea on a table,0.8995
2,a shop selling milk tea,0.9622
3,a man drinking milk tea,0.9142
4,a woman drinking milk tea,0.9621
5,three cups of milk tea on the counter,0.9232
6,a couple sitting at a table both with coffee,0.952
7,a man getting coffee from a modern cafe,0.9012
8,a table with a cup of coffee and a slice of cake,0.9753
9,two people getting coffee from a stall,0.9055
10,a man buying coffee at a busy counter,0.6987
11,a woman with coffee standing by a bus stop,0.9651
12,a child receiving a red packet from his grandmother,0.8877
13,two red packets on a table with gold designs,0.9555
14,a red packet and food on a table,0.9744
15,a group of people holding red packets,0.9517
16,a store selling red packets,0.955
17,a red packet and some fruit on a table,0.9809
18,spicy squid dish,0.9207
19,raw squid at a market,0.9425
20,deep fried squid on a plate,0.8086
21,a large squid in an aquarium with coral,0.968
22,a squid dish and rice on a table,0.9428
23,sliced squid in a frying pan,0.7892
24,getting food takeout from the small restaurant,0.7834
25,getting food takeout from the diner,0.8511
26,getting food takeout from the food truck,0.8807
27,let's get some food takeout,0.9223
28,chinese food takeout packed in plastic containers,0.9799
29,a couple getting food takeout from a hawker stall,0.8583
30,a businessman with a grasping and selfish attitude grabbing all the samples,0.6878
31,a leader with a grasping and selfish attitude cutting in line for a photo,0.6141
32,a student with a grasping and selfish attitude hoarding all the notes,0.4382
33,a parent with a grasping and selfish attitude rushing to the front row,0.2884
34,a businesswoman with a grasping and selfish attitude buying out limited deals,0.4577
35,a politician with a grasping and selfish attitude speaking over everyone else,0.8687
36,a bored cat in a house,0.7207
37,a bored woman walking on the city street,0.8443
38,a bored worker in an office,0.9158
39,a child bored in the summer,0.7789
40,a bored dog in the front yard,0.7918
41,a bored man on vacation,0.7219
42,a dog relaxing on a grassy lawn in front of a house,0.9853
43,people relaxing on a beach with music playing,0.9128
44,a couple relaxing in a park under a tree,0.9843
45,people relaxing on a sofa,0.974
46,a cat relaxing by a window,0.9846
47,a relaxing vacation setting,0.9891
48,a student in a class nodding yes,0.3572
49,a worker nodding yes to his supervisor,0.3601
50,a customer at a restaurant nodding yes,0.4835
51,a person nodding yes in agreement,0.3805
52,a woman nodding yes,0.3101
53,a man nodding yes,0.355
54,a student saving a table at the dining hall,0.6555
55,a person saving a table at the library,0.6607
56,a person saving a table using a bag,0.7023
57,a group saving a table at the food hall,0.4735
58,saving a table at a cafe using a tissue packet,0.6186
59,saving a table with a napkin placed on a chair,0.728
60,very tasty dumplings,0.8572
61,a person enjoying very tasty food,0.9652
62,a table full of very tasty Mexican food,0.982
63,very tasty food,0.9532
64,very tasty Italian food,0.96
65,a table full of tasty main dishes,0.9733
66,a high class clothing boutique,0.9715
67,a high class party with well dressed people,0.9787
68,a high class red sports car,0.9775
69,a woman with a high class car,0.9631
70,a high class house with marble floors and chandeliers,0.9913
71,a high class restaurant with velvet chairs and dim lighting,0.9791
72,a secluded tropical beach,0.9554
73,camping in a secluded meadow in the mountains,0.9591
74,a couple hiking on a secluded trail,0.9558
75,a house in a secluded area by a forest,0.9771
76,an rv in a secluded town,0.8202
77,an secluded locale surrounded by dense forest,0.9542
78,a woman eating a bowl of noodles,0.9889
79,a woman eating sushi in a modern restaurant,0.9668
80,a woman eating a slice of cake in a cafe,0.94
81,a man eating a taco under a streetlight,0.8935
82,a man eating a burrito by the riverside,0.9011
83,a man eating an apple,0.9464
84,a family redecorate their living room for the holidays,0.8557
85,a worker redecorate her office space with colorful posters,0.8083
86,a couple redecorate their garage with neon lights,0.7419
87,a woman redecorate her room using fairy lights,0.7681
88,a man redecorate his desk with anime figurines,0.8683
89,a couple redecorate their living room,0.3882
90,a group of girls at the mall,0.983
91,a girl hiking in the desert,0.9728
92,a girl posing in front of a mural,0.9659
93,a girl buying a computer at the electronics store,0.8874
94,a girl with a white shirt,0.985
95,a girl and her partner,0.7886
96,a mobile phone on a black table,0.9135
97,a person taking a selfie with a mobile phone,0.983
98,a mobile phone next to a laptop on a table,0.987
99,a man using a mobile phone,0.9903
100,people on the subway using their mobile phones,0.9885
101,a woman taking a photo with a mobile phone,0.9594
102,a loan shark counting cash,0.708
103,a loan shark carrying a knife in an alley,0.6708
104,a loan shark holding a bag of cash,0.7803
105,a loan shark standing by a black car,0.5666
106,a loan shark threatening someone,0.6604
107,a loan shark spray painting a message,0.7069
108,a man eating food at a small food court,0.9074
109,a woman drinking tea at a small food court,0.9027
110,a bowl of noodles on a table in a small food court,0.8743
111,a small food court,0.7267
112,a couple at a small food court,0.8849
113,a group of friends at a small food court,0.9235
114,a handsome male on a magazine cover,0.9032
115,a handsome male performing on stage at a concert,0.9712
116,a handsome male at a gym lifting weights,0.9763
117,a handsome male posing in a streetwear outfit,0.96
118,a handsome male with his partner,0.8812
119,a group of handsome males,0.9441
120,a man studying at the coffee shop,0.9607
121,a woman studying at home,0.9578
122,a child studying a book,0.9346
123,a group of students studying,0.869
124,a student studying in his room at night,0.9482
125,a couple friends studying in the library,0.8801
126,a man being a third wheel on a hike with a couple,0.6053
127,a woman being a third wheel at a museum with a couple,0.5838
128,a third wheel with a gray shirt with a couple,0.5615
129,a couple accompanied by a third wheel,0.3715
130,he was a third wheel on his friend's date,0.4622
131,a third wheel trailing behind a couple,0.1614
132,a glass filled with black tea,0.9186
133,a man with a cup of milk tea,0.9093
134,a tea pot on a table,0.971
135,a cozy tea shop in a busy city street,0.8334
136,a tea bag on a plate,0.98
137,a cup filled with green tea,0.9819
138,a plate of stir-fried rice noodles with prawns and egg,0.8982
139,a bowl of stir-fried rice noodles with fishcake slices,0.9079
140,two plates of stir-fried rice noodles on a wooden table,0.9766
141,stir-fried rice noodles in a wok on a stove,0.9501
142,stir-fried rice noodles served at a restaurant,0.8709
143,stir-fried rice noodles with vegetables on the side,0.7728
144,a traditional Chinese physician and a male patient,0.8155
145,a traditional Chinese physician and a female patient,0.655
146,a traditional Chinese physician holding medicine,0.8911
147,a traditional Chinese physician in an office,0.8372
148,a traditional Chinese physician talking with two people,0.7915
149,a traditional Chinese physician sitting at their desk,0.8764
150,a large food court with colorful stalls and signs,0.9728
151,a couple at a food court sharing laksa,0.7955
152,a family eating at a food court,0.9365
153,a food stall at a food court,0.8643
154,a table with a cup of coffee at a food court,0.9194
155,a plate of noodles at a food court,0.5385
156,litter thrown from a high-rise building from a balcony,0.9644
157,litter thrown from a high-rise building from an open window,0.9576
158,a sign advising against litter thrown from a high-rise building,0.8943
159,a person guilty of litter thrown from a high-rise building,0.7089
160,a person on the sidewalk avoiding litter thrown from a high-rise building,0.9203
161,a couple walking nearly hit by litter thrown from a high-rise building,0.9074
162,a man using a hoe in a vegetable garden,0.9085
163,a hoe on a shelf in a store,0.5454
164,a farmer using a hoe in a field,0.7935
165,a person digging in their front yard with a hoe,0.5945
166,a farmer carrying a hoe,0.6145
167,three hoes leaning on a wall in a shed,0.6383
168,a large spicy stir-fried crab on a banquet table,0.8574
169,a family enjoying spicy stir-fried crab in a fancy restaurant,0.9144
170,two plates of spicy stir-fried crab on a white table,0.9077
171,a large spicy stir-fried crab and a bowl of rice on a table,0.9574
172,a waiter holding a spicy stir-fried crab dish,0.8764
173,a chef making spicy stir-fried crab in a large wok,0.9611
174,a child with his uncle,0.5697
175,an uncle wearing a dark blue shirt,0.9074
176,a group of uncles talking,0.9482
177,an uncle buying fruit from the supermarket,0.9271
178,an uncle drinking coffee at the dining table,0.9442
179,an uncle reading a newspaper while on the couch,0.9556
180,a plate of Fujianese fresh spring roll with chili and sauce,0.9154
