Prompt_Index,SAE_Prompt,Score
0,a plastic cup with milk tea,0.2992
1,a cup of milk tea on a table,0.2866
2,a shop selling milk tea,0.3442
3,a man drinking milk tea,0.3254
4,a woman drinking milk tea,0.3282
5,three cups of milk tea on the counter,0.2983
6,a couple sitting at a table both with coffee,0.3082
7,a man getting coffee from a modern cafe,0.303
8,a table with a cup of coffee and a slice of cake,0.3209
9,two people getting coffee from a stall,0.3039
10,a man buying coffee at a busy counter,0.2899
11,a woman with coffee standing by a bus stop,0.3169
12,a child receiving a red packet from his grandmother,0.3403
13,two red packets on a table with gold designs,0.3737
14,a red packet and food on a table,0.3219
15,a group of people holding red packets,0.3501
16,a store selling red packets,0.3426
17,a red packet and some fruit on a table,0.3178
18,spicy squid dish,0.287
19,raw squid at a market,0.3299
20,deep fried squid on a plate,0.2979
21,a large squid in an aquarium with coral,0.3179
22,a squid dish and rice on a table,0.3081
23,sliced squid in a frying pan,0.3344
24,getting food takeout from the small restaurant,0.2518
25,getting food takeout from the diner,0.2468
26,getting food takeout from the food truck,0.2947
27,let's get some food takeout,0.2479
28,chinese food takeout packed in plastic containers,0.3169
29,a couple getting food takeout from a hawker stall,0.3267
30,a businessman with a grasping and selfish attitude grabbing all the samples,0.2466
31,a leader with a grasping and selfish attitude cutting in line for a photo,0.206
32,a student with a grasping and selfish attitude hoarding all the notes,0.2763
33,a parent with a grasping and selfish attitude rushing to the front row,0.2525
34,a businesswoman with a grasping and selfish attitude buying out limited deals,0.2673
35,a politician with a grasping and selfish attitude speaking over everyone else,0.2274
36,a bored cat in a house,0.2727
37,a bored woman walking on the city street,0.2985
38,a bored worker in an office,0.2651
39,a child bored in the summer,0.2781
40,a bored dog in the front yard,0.2691
41,a bored man on vacation,0.2399
42,a dog relaxing on a grassy lawn in front of a house,0.3401
43,people relaxing on a beach with music playing,0.2971
44,a couple relaxing in a park under a tree,0.3264
45,people relaxing on a sofa,0.3132
46,a cat relaxing by a window,0.3255
47,a relaxing vacation setting,0.2873
48,a student in a class nodding yes,0.2648
49,a worker nodding yes to his supervisor,0.2734
50,a customer at a restaurant nodding yes,0.2583
51,a person nodding yes in agreement,0.2
52,a woman nodding yes,0.2294
53,a man nodding yes,0.2158
54,a student saving a table at the dining hall,0.3235
55,a person saving a table at the library,0.3052
56,a person saving a table using a bag,0.3027
57,a group saving a table at the food hall,0.3285
58,saving a table at a cafe using a tissue packet,0.3218
59,saving a table with a napkin placed on a chair,0.3119
60,very tasty dumplings,0.3196
61,a person enjoying very tasty food,0.2546
62,a table full of very tasty Mexican food,0.3113
63,very tasty food,0.2483
64,very tasty Italian food,0.2782
65,a table full of tasty main dishes,0.3048
66,a high class clothing boutique,0.2732
67,a high class party with well dressed people,0.2874
68,a high class red sports car,0.2964
69,a woman with a high class car,0.3007
70,a high class house with marble floors and chandeliers,0.3386
71,a high class restaurant with velvet chairs and dim lighting,0.2907
72,a secluded tropical beach,0.3016
73,camping in a secluded meadow in the mountains,0.3145
74,a couple hiking on a secluded trail,0.2961
75,a house in a secluded area by a forest,0.316
76,an rv in a secluded town,0.2974
77,an secluded locale surrounded by dense forest,0.3003
78,a woman eating a bowl of noodles,0.3057
79,a woman eating sushi in a modern restaurant,0.3296
80,a woman eating a slice of cake in a cafe,0.3244
81,a man eating a taco under a streetlight,0.3296
82,a man eating a burrito by the riverside,0.3214
83,a man eating an apple,0.3236
84,a family redecorate their living room for the holidays,0.3239
85,a worker redecorate her office space with colorful posters,0.3551
86,a couple redecorate their garage with neon lights,0.363
87,a woman redecorate her room using fairy lights,0.3456
88,a man redecorate his desk with anime figurines,0.3864
89,a couple redecorate their living room,0.3021
90,a group of girls at the mall,0.3177
91,a girl hiking in the desert,0.3239
92,a girl posing in front of a mural,0.3263
93,a girl buying a computer at the electronics store,0.3256
94,a girl with a white shirt,0.3058
95,a girl and her partner,0.2415
96,a mobile phone on a black table,0.2969
97,a person taking a selfie with a mobile phone,0.3102
98,a mobile phone next to a laptop on a table,0.3
99,a man using a mobile phone,0.2916
100,people on the subway using their mobile phones,0.316
101,a woman taking a photo with a mobile phone,0.3106
102,a loan shark counting cash,0.2863
103,a loan shark carrying a knife in an alley,0.3145
104,a loan shark holding a bag of cash,0.3067
105,a loan shark standing by a black car,0.2939
106,a loan shark threatening someone,0.2843
107,a loan shark spray painting a message,0.3274
108,a man eating food at a small food court,0.294
109,a woman drinking tea at a small food court,0.2912
110,a bowl of noodles on a table in a small food court,0.2951
111,a small food court,0.2972
112,a couple at a small food court,0.2744
113,a group of friends at a small food court,0.2903
114,a handsome male on a magazine cover,0.3016
115,a handsome male performing on stage at a concert,0.3099
116,a handsome male at a gym lifting weights,0.2816
117,a handsome male posing in a streetwear outfit,0.2738
118,a handsome male with his partner,0.256
119,a group of handsome males,0.2855
120,a man studying at the coffee shop,0.2981
121,a woman studying at home,0.278
122,a child studying a book,0.3037
123,a group of students studying,0.305
124,a student studying in his room at night,0.3022
125,a couple friends studying in the library,0.285
126,a man being a third wheel on a hike with a couple,0.3165
127,a woman being a third wheel at a museum with a couple,0.3224
128,a third wheel with a gray shirt with a couple,0.2812
129,a couple accompanied by a third wheel,0.2684
130,he was a third wheel on his friend's date,0.2685
131,a third wheel trailing behind a couple,0.282
132,a glass filled with black tea,0.3028
133,a man with a cup of milk tea,0.3229
134,a tea pot on a table,0.3189
135,a cozy tea shop in a busy city street,0.2985
136,a tea bag on a plate,0.3257
137,a cup filled with green tea,0.3293
138,a plate of stir-fried rice noodles with prawns and egg,0.3206
139,a bowl of stir-fried rice noodles with fishcake slices,0.3116
140,two plates of stir-fried rice noodles on a wooden table,0.3159
141,stir-fried rice noodles in a wok on a stove,0.3113
142,stir-fried rice noodles served at a restaurant,0.3063
143,stir-fried rice noodles with vegetables on the side,0.3105
144,a traditional Chinese physician and a male patient,0.3309
145,a traditional Chinese physician and a female patient,0.3306
146,a traditional Chinese physician holding medicine,0.3293
147,a traditional Chinese physician in an office,0.3403
148,a traditional Chinese physician talking with two people,0.3598
149,a traditional Chinese physician sitting at their desk,0.3332
150,a large food court with colorful stalls and signs,0.33
151,a couple at a food court sharing laksa,0.3322
152,a family eating at a food court,0.3165
153,a food stall at a food court,0.3166
154,a table with a cup of coffee at a food court,0.2896
155,a plate of noodles at a food court,0.3071
156,litter thrown from a high-rise building from a balcony,0.349
157,litter thrown from a high-rise building from an open window,0.3027
158,a sign advising against litter thrown from a high-rise building,0.3171
159,a person guilty of litter thrown from a high-rise building,0.3052
160,a person on the sidewalk avoiding litter thrown from a high-rise building,0.3256
161,a couple walking nearly hit by litter thrown from a high-rise building,0.3186
162,a man using a hoe in a vegetable garden,0.3327
163,a hoe on a shelf in a store,0.235
164,a farmer using a hoe in a field,0.3158
165,a person digging in their front yard with a hoe,0.3334
166,a farmer carrying a hoe,0.3171
167,three hoes leaning on a wall in a shed,0.2557
168,a large spicy stir-fried crab on a banquet table,0.3153
169,a family enjoying spicy stir-fried crab in a fancy restaurant,0.3273
170,two plates of spicy stir-fried crab on a white table,0.2985
171,a large spicy stir-fried crab and a bowl of rice on a table,0.3394
172,a waiter holding a spicy stir-fried crab dish,0.3281
173,a chef making spicy stir-fried crab in a large wok,0.3188
174,a child with his uncle,0.2928
175,an uncle wearing a dark blue shirt,0.2894
176,a group of uncles talking,0.2876
177,an uncle buying fruit from the supermarket,0.2947
178,an uncle drinking coffee at the dining table,0.3129
179,an uncle reading a newspaper while on the couch,0.33
180,a plate of Fujianese fresh spring roll with chili and sauce,0.3223
