Prompt_Index,SAE_Prompt,Normalized_Score
0,a little boy playing with a yoyo,0.832
1,a little girl playing with a toy car,0.7023
2,a little baby wrapped in a blanket,0.9003
3,a man driving his car,0.5813
4,a woman driving her blue car,0.7196
5,a man driving a new car on the freeway,0.5794
6,a man in front of his house,0.6212
7,a woman in front of her house,0.4277
8,a family in front of their new house,0.5663
9,a retiree and her one story house with a flower garden,0.63
10,a man holler at a girl across the street,0.2138
11,a man holler at a woman near the bus stop,0.3298
12,a man holler at a woman walking past him,0.4844
13,a man holler at his close friend from the balcony,0.4569
14,a loud holler from the audience during the show,0.3696
15,she heard a holler from across the street,0.2467
16,me and my close friend hanging out at a cafe,0.0811
17,my close friend talking on the phone,0.5911
18,my close friend waiting outside the store,0.6905
19,me and my close friend eating together at lunch,0.462
20,a close friend from childhood playing video games together,0.5507
21,a close friend with a skateboard,0.2
22,me and my friends hanging out after school,0.545
23,me and my friends at a restaurant,0.4354
24,taking a selfie with my friends,0.494
25,me and my friends hanging out at a cafe,0.1843
26,my friends hanging out at the park,0.5496
27,a group of friends in matching shirts,0.1461
28,an old grandma in front of a new england style house,0.6952
29,my grandmother and my dad,0.3518
30,my grandmother with my mom,0.3878
31,my grandmother and her cat,0.5725
32,a grandma knitting a sweater,0.6474
33,a grandma baking cookies,0.5441
34,a picture of my lover smiling at the beach,0.3457
35,me and my lover holding hands at sunset,0.2013
36,my lover posing in a botanical garden,0.1468
37,my lover drinking coffee,0.1658
38,a lover holding a bouquet of roses,0.312
39,a lover taking a selfie,0.5773
40,a man paying money to the cashier,0.8115
41,a woman paying money to the shopkeeper,0.4066
42,a man wearing sneakers,0.2268
43,a girl wearing white leather sneakers,0.4107
44,a man aiming his gun,0.4103
45,a man aiming his gun in a dark alley,0.2133
46,a woman firing her gun at the target,0.1138
47,a soldier carrying a gun,0.4128
48,a man wearing cool clothes,0.945
49,a woman wearing cool clothes,0.46
50,a man wearing minimalist clothes,0.291
51,a woman wearing vintage clothes,0.4791
52,a man wearing dental jewelry over the teeth,0.4522
53,a rapper with dental jewelry,0.4159
54,a man wearing green dental jewelry,0.883
55,a woman wearing dental jewelry with a confident smile,0.0775
56,a rapper showing off his dental jewelry,0.6619
57,gold dental jewelry on a smiling face,0.7199
58,a woman driving her convertible car,0.4582
59,a man driving his convertible car on the hilly road,0.7271
60,two people riding in a convertible car,0.5632
61,a man driving a sporty convertible car,0.4137
62,a grandpa wearing a baseball cap,0.2535
63,a woman wearing an orange cap,0.1399
64,a man wearing a red cap,0.5673
65,a man with a blue cap,0.6687
66,a boy wearing a cap matching his outfit,0.7913
67,a man looking at his reflection in a mirror,0.3493
68,a woman looking at her reflection in a mirror,0.3945
69,a couple looking at their reflection in a mirror,0.5021
70,a man holding his gun,0.0758
71,a woman holding a large gun,0.1338
