Prompt_Index,SAE_Prompt,Score
0,an old monastery in the village square,0.7762
1,a monastery on a grassy hill with trees,0.9563
2,an older person entering a monastery,0.8215
3,a monastery in an old city center,0.8238
4,a monastery with a crowd of people outside,0.9018
5,an old monastery in a dark misty forest,0.7352
6,a bottle of champagne on a wooden table,0.9284
7,champagne on a shelf in a grocery store,0.6869
8,champagne and two glasses on a table outside,0.8618
9,champagne in a glass on a table,0.9717
10,a person holding a bottle of champagne,0.9584
11,a person pouring champagne into a glass,0.8797
12,a midwife in a hospital,0.8369
13,a midwife walking into a house,0.8059
14,a woman in a bed with a midwife next to it,0.769
15,a midwife talking with a doctor,0.6672
16,a midwife holding a bottle of medicine,0.8529
17,a midwife talking with a nurse,0.7655
18,a medical practitioner sitting at a table outside,0.5351
19,two medical practitioners in a conference room,0.7738
20,a medical practitioner walking in a park,0.9181
21,the medical practitioner talking with a patient in a room,0.8903
22,a medical practitioner standing outside a building,0.9665
23,a medical practitioner talking with a nurse,0.893
24,two windows covered with bamboo blinds,0.8336
25,a living room with windows covered with bamboo blinds,0.9841
26,a kitchen with a window covered with bamboo blinds,0.9863
27,a living room window covered with rolled-up bamboo blinds,0.8895
28,a doorway with bamboo blinds covering it,0.815
29,a window with rolled up bamboo blinds,0.6279
30,a mountain pass with lots of pine trees,0.9508
31,a narrow mountain pass covered in snow and pine trees,0.8719
32,a mountain pass with a road with lots of cars,0.7255
33,two people walking through the mountain pass,0.9101
34,a roadway in the mountain pass,0.9707
35,a trail in the wooded mountain pass,0.955
36,an old convenience store with faded signage,0.9509
37,a modern convenience store with glass doors,0.9414
38,a busy convenience store packed with groceries,0.9266
39,a small convenience store on fire at dusk,0.6446
40,an empty convenience store with bare shelves,0.1159
41,a painting of a convenience store with stacked cans,0.9284
42,a temple beside some trees,0.9749
43,people standing outside a temple,0.9542
44,a well-dressed person in front of a temple,0.9474
45,a family in front of a temple,0.9484
46,a temple beside a sandy landscape,0.9538
47,an old temple with lots of people,0.7873
48,a barber cutting a man's hair,0.9048
49,a barber cutting a woman's hair,0.537
50,a barber shop in a busy city,0.6633
51,a friendly local barber,0.789
52,a child getting his hair cut by a barber,0.9179
53,three people in a barber shop,0.9429
54,officers working inside a police station,0.8897
55,a person standing outside a police station,0.7456
56,a person talking to an officer inside a police station,0.7937
57,two officers speaking to an arrested person in a police station,0.6216
58,a police station on a road with lots of trees,0.7096
59,a police station in a busy city,0.6678
60,a boy standing with his father,0.7184
61,a girl standing with her father near the school gate,0.499
62,a man hiking with his father,0.5377
63,a woman in a car with her father,0.6391
64,a woman walking with her father and a dog,0.3429
65,a man sitting at a table with his father,0.6278
66,a big house with a veranda,0.9458
67,outdoor furniture under a veranda,0.9788
68,a small one story house with a veranda,0.873
69,people relaxing under a veranda,0.9637
70,a modern looking veranda on a house,0.9322
71,a glass veranda on a house,0.8992
72,a dry river-bed surrounded by a dry landscape,0.899
73,two people walking through a river-bed,0.7982
74,a dry river-bed in a dense green forest,0.7982
75,a river-bed in an alpine meadow,0.9386
76,a bridge across a river-bed,0.9674
77,a river-bed with some water in it,0.9214
78,a queen sitting on a throne,0.8819
79,a queen making a speech,0.9136
80,a queen in a palace,0.6824
81,a queen sitting at a banquet,0.8331
82,a queen in a garden surrounded by blooming flowers,0.8566
83,a queen riding in a large car,0.6837
84,eggplant in a grocery store,0.886
85,eggplant sitting on a kitchen counter,0.6267
86,eggplant being sliced,0.7646
87,eggplant in a pot,0.6593
88,an eggplant plant in a garden,0.4357
89,a spicy curry dish with eggplant slices,0.8661
90,a table with lots of food,0.9893
91,a person eating food,0.8778
92,a couple enjoying food at a restaurant,0.986
93,a person cooking food on the stove,0.9496
94,a person buying food from a grocery store,0.9787
95,a family enjoying lots of food,0.9574
96,a main street in a small town,0.9564
97,a residential neighborhood in a small town,0.934
98,birds-eye view of a town,0.9548
99,a couple walking in a town,0.971
100,a town in a desert climate,0.7005
101,a town with snow everywhere,0.9114
102,a person riding a camel in the desert,0.976
103,a large group of camels walking in a desert,0.9585
104,a person giving water to a camel,0.8899
105,a camel eating food near a desert tent,0.432
106,two camels walking down the street,0.8993
107,a camel walking in a grassy field,0.8775
108,incense burning in a house,0.8835
109,a bundle of incense on a table,0.8828
110,a person holding a bundle of incense,0.7282
111,incense in a stand,0.7296
112,incense inside a box on a table,0.9482
113,incense inside a store,0.8292
114,a crane bird flying above a beautiful pond,0.7487
115,a crane bird sitting on a dock,0.6139
116,a crane bird with a caught fish,0.591
117,two crane birds on a river,0.675
118,a person looking at a crane bird,0.3218
119,a crane bird sitting on the side of a bridge,0.7581
120,a large warehouse with lots of boxes,0.9825
121,a large warehouse with lots of produce,0.942
122,a warehouse with lots of people inside,0.1283
123,a person walking inside a warehouse,0.9791
124,a person driving a forklift inside a warehouse,0.9511
125,a dark abandoned warehouse with broken windows,0.9101
126,a pharmacy in a big city,0.8579
127,a pharmacy with a large parking lot,0.5564
128,a person walking inside a pharmacy,0.9794
129,a person talking to a worker inside a pharmacy,0.8395
130,a pharmacy with lots of people outside,0.7898
131,a small pharmacy in a rural area,0.7064
132,a shabby old looking gas station,0.7335
133,a person getting gas for their car at a gas station,0.9123
134,a small shop next to a gas station,0.8503
135,a small gas station in a dusty desert town,0.8439
136,a very busy gas station with people refueling,0.6908
137,a gas station surrounded by tall city buildings,0.7309
138,a man riding a blue motorcycle,0.9864
139,a woman riding a black motorcycle,0.9701
140,three motorcycles riding on a road,0.7365
141,a person riding a motorcycle on a dirt road,0.8695
142,a person riding a motorcycle in a big city,0.9843
143,a motorcycle sitting in a garage,0.8696
144,two rifles leaning on a wall,0.6457
145,a person holding a rifle in the countryside,0.925
146,a woman aiming a rifle,0.8399
147,several soldiers holding rifles,0.9685
148,a store selling rifles,0.7817
149,a police officer holding a rifle,0.8079
150,a craftsman weaving a rug,0.8692
151,my local craftsman's newest creation,0.6458
152,a skilled craftsman at work,0.9443
153,an elderly craftsman sharing his wisdom,0.7047
154,a talented craftsman from the village,0.8758
155,an innovative craftsman designing jewelry,0.8506
156,my supervisor talking to me,0.3742
157,a new supervisor at the construction site,0.6533
158,a supervisor giving instructions to the team,0.804
159,a friendly supervisor helping out,0.7844
160,a supervisor in the office breakroom,0.6703
161,a supervisor working at a computer,0.7843
162,a glass of cold water on a hot day,0.7865
163,an earthen pot filled with water,0.6885
164,a pitcher filled with water,0.6244
165,a vendor selling water bottles,0.8969
166,a jar filled with water on a wooden table,0.885
167,containers of water at a grocery store,0.7514
168,a colorful festival in the city,0.9749
169,a festival filled with dance and music,0.921
170,an autumn festival in the town center,0.9399
171,food stalls at a festival,0.9196
172,a festival with lots of people,0.9763
173,a festival in winter,0.961
174,a checkpoint guarded by armed forces,0.792
175,a checkpoint on the highway,0.6849
176,a long queue at the toll checkpoint,0.6772
177,a checkpoint at the national border,0.6211
178,a checkpoint with police officers,0.8488
179,a checkpoint with very few cars,0.1834
180,an outdoor luncheon with lots of people,0.9691
