Model Name,aae_SAE,aae_Dialect,aae_Drop,bre_SAE,bre_Dialect,bre_Drop,che_SAE,che_Dialect,che_Drop,ine_SAE,ine_Dialect,ine_Drop,sge_SAE,sge_Dialect,sge_Drop,average_SAE,average_Dialect,average_Drop
dalle2,0.4788,0.5445,-0.1372,0.6521,0.6488,0.0051,0.6639,0.3999,0.3977,0.5830,0.5070,0.1304,0.5925,0.3706,0.3745,0.5941,0.4942,0.1541
dalle3,0.4494,0.4896,-0.0895,0.4554,0.4650,-0.0211,0.5769,0.6130,-0.0626,0.4138,0.3768,0.0894,0.4358,0.4005,0.0810,0.4663,0.4690,-0.0006
flux.1-dev,0.8581,0.8249,0.0387,0.8268,0.8462,-0.0235,0.9562,0.7714,0.1933,0.8757,0.7076,0.1920,0.8852,0.6933,0.2168,0.8804,0.7687,0.1235
gpt-image-1,0.5574,0.3500,0.3721,0.6021,0.6916,-0.1486,0.8034,0.3957,0.5075,0.7256,0.3960,0.4542,0.7006,0.4128,0.4108,0.6778,0.4492,0.3192
minDALL-E,0.7576,0.7172,0.0533,0.7368,0.6574,0.1078,0.8568,0.6375,0.2560,0.7845,0.5335,0.3199,0.8241,0.5689,0.3097,0.7920,0.6229,0.2093
stable-diffusion-3.5-large,0.6077,0.3674,0.3954,0.6649,0.5927,0.1086,0.7427,0.4714,0.3653,0.5389,0.3638,0.3249,0.6501,0.3475,0.4655,0.6409,0.4286,0.3319
stable-diffusion-3.5-large-turbo,0.7432,0.4895,0.3414,0.7347,0.5686,0.2261,0.8104,0.5836,0.2799,0.6446,0.3472,0.4614,0.6641,0.4228,0.3633,0.7194,0.4823,0.3344
stable-diffusion-xl-base-1.0,0.6427,0.4236,0.3409,0.5979,0.6927,-0.1586,0.7080,0.5398,0.2376,0.6090,0.3303,0.4576,0.6879,0.2919,0.5757,0.6491,0.4557,0.2906
stable-diffusion1.4,0.6994,0.4510,0.3552,0.6003,0.6567,-0.0940,0.7175,0.4579,0.3618,0.5385,0.3273,0.3922,0.6671,0.3678,0.4487,0.6446,0.4521,0.2928
stable-diffusion1.5,0.6322,0.4546,0.2809,0.5790,0.6418,-0.1085,0.7525,0.4451,0.4085,0.5924,0.3432,0.4207,0.6483,0.3475,0.4640,0.6409,0.4464,0.2931
stable-diffusion2.1,0.6539,0.4536,0.3063,0.6361,0.6219,0.0223,0.7234,0.4879,0.3255,0.5822,0.2659,0.5433,0.7128,0.3376,0.5264,0.6617,0.4334,0.3448
stable-diffusion3-medium,0.4150,0.3545,0.1458,0.6408,0.6157,0.0392,0.5483,0.4375,0.2021,0.5286,0.2850,0.4608,0.5162,0.2630,0.4905,0.5298,0.3911,0.2677
