Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a red lorry,a red semitruck,0.3044
1,a large lorry,a large semitruck,0.2687
2,a broken lorry,a broken semitruck,0.2857
3,a painting of an old lorry,a painting of an old semitruck,0.3701
4,a modern lorry,a modern semitruck,0.2813
5,a small lorry,a small semitruck,0.2787
6,a cozy jumper,a cozy sweater,0.2966
7,a purple jumper,a purple sweater,0.331
8,a dirty jumper,a dirty sweater,0.3091
9,a designer jumper,a designer sweater,0.2994
10,a jumper with holes,a sweater with holes,0.3474
11,a colorful jumper,a colorful sweater,0.3213
12,a modern loo,a modern bathroom,0.2951
13,a dirty loo,a dirty bathroom,0.2902
14,a colorful loo,a colorful bathroom,0.3336
15,a loo with blue tiles,a bathroom with blue tiles,0.3303
16,a spacious loo,a spacious bathroom,0.3009
17,a tiny loo,a tiny bathroom,0.2905
18,a pack of bangers,a pack of sausages,0.3279
19,a plate of bangers and eggs,a plate of sausages and eggs,0.3517
20,three bangers,three sausages,0.2975
21,sizzling bangers,sizzling sausages,0.3146
22,broken bangers,broken sausages,0.3099
23,some expired bangers,some expired sausages,0.2562
24,a pile of rubbish,a pile of trash,0.2739
25,rubbish on the floor,trash on the floor,0.2792
26,a heap of rubbish,a heap of trash,0.2738
27,a painting of rubbish,a painting of trash,0.3618
28,a rubbish bin,a trash bin,0.3077
29,a room full of rubbish,a room full of trash,0.2985
30,a flat to rent,an apartment to rent,0.2924
31,a flat with two bedrooms,an apartment with two bedrooms,0.315
32,a city centre flat,a city centre apartment,0.295
33,a flat with balcony,an apartment with balcony,0.3126
34,students living in a flat,students living in an apartment,0.2854
35,keys to a new flat,keys to a new apartment,0.3
36,a broken car boot,a broken car trunk,0.3156
37,a packed car boot,a packed car trunk,0.2906
38,an empty car boot,an empty car trunk,0.3001
39,a dirty car boot,a dirty car trunk,0.3158
40,a modern car boot,a modern car trunk,0.3358
41,a red car boot,a red car trunk,0.3135
42,a long queue,a long line,0.2742
43,a short queue,a short line,0.2576
44,a painting of a long queue,a painting of a long line,0.3338
45,a queue of people,a line of people,0.261
46,a queue outside the store,a line outside the store,0.3235
47,a queue for food,a line for food,0.2889
48,a pair of purple trousers,a pair of purple pants,0.3459
49,a pair of denim trousers,a pair of denim pants,0.3089
50,some ripped trousers,some ripped pants,0.276
51,my dirty trousers,my dirty pants,0.2914
52,a pair of designer trousers,a pair of designer pants,0.2957
53,trousers with holes,pants with holes,0.3177
54,a small biscuit,a small cookie,0.3154
55,a fresh biscuit,a fresh cookie,0.2628
56,a burnt biscuit,a burnt cookie,0.317
57,a broken biscuit,a broken cookie,0.3136
58,a painting of a biscuit,a painting of a cookie,0.3613
59,a chocolate biscuit,a chocolate cookie,0.3129
60,a handheld torch,a handheld flashlight,0.3274
61,a torch in a drawer,a flashlight in a drawer,0.3153
62,a pocket torch,a pocket flashlight,0.3231
63,using a torch at night,using a flashlight at night,0.2886
64,batteries for a torch,batteries for a flashlight,0.323
65,a torch with a switch,a flashlight with a switch,0.3319
66,some dirty nappies,some dirty diapers,0.251
67,white nappies,white diapers,0.2802
68,nappies with holes,diapers with holes,0.2792
69,a pack of nappies,a pack of diapers,0.3182
70,a pair of pink nappies,a pair of pink diapers,0.3371
71,a ripped pair of nappies,a ripped pair of diapers,0.3248
72,a modern petrol station,a modern gasoline station,0.3072
73,a painting of an old petrol station,a painting of an old gasoline station,0.3847
74,a vintage petrol station,a vintage gasoline station,0.3356
75,a petrol pump,a gasoline pump,0.3234
76,a petrol tanker,a gasoline tanker,0.2957
77,a petrol station sign,a gasoline station sign,0.3045
78,a round football,a round soccer ball,0.336
79,a black and white football,a black and white soccor ball,0.317
80,a football match in Europe,a soccer match in Europe,0.2609
81,a football with black spots,a soccer with black spots,0.3222
82,a team scoring a football goal,a team scoring a soccer goal,0.2906
83,kicking a football,kicking a soccer ball,0.2776
84,shopping at a chemist,shopping at a pharmacy,0.2817
85,entering a local chemist,entering a local pharmacy,0.3261
86,shelves in a chemist,shelves in a pharmacy,0.3366
87,queue at a chemist shop,queue at a pharmacy shop,0.2968
88,sign for a chemist shop,sign for a pharmacy shop,0.3035
89,products from a chemist,products from a pharmacy,0.2866
90,hot chips with vinegar,hot french fries with vinegar,0.3242
91,chips with ketchup,french fries with ketchup,0.3517
92,thick-cut chips,thick-cut french fries,0.3176
93,chips from a chippy,french fries from a chippy,0.3237
94,chips with fish,french fries with fish,0.2744
95,takeaway chips,takeaway french fries,0.3243
96,a barrister at a table,an attorney at a table,0.2801
97,an old barrister,an old attorney,0.3166
98,a barrister at a park,an attorney at a park,0.2783
99,a barrister with a woman,an attorney with a woman,0.3069
100,a barrister with a notepad,an attorney with a notepad,0.2878
101,a painting of a barrister,a painting of an attorney,0.3342
102,a school caretaker,a school janitor,0.3239
103,a dirty caretaker,a dirty janitor,0.275
104,a tired caretaker,a tired janitor,0.2086
105,a busy caretaker,a busy janitor,0.18
106,a painting of an old caretaker,a painting of an old janitor,0.3111
107,a caretaker in a mall,a janitor in a mall,0.3035
108,a burning cooker,a burning stove,0.2787
109,an old gas cooker,an old gas stove,0.3329
110,a modern electric cooker,a modern electric stove,0.2825
111,a dirty cooker,a dirty stove,0.319
112,a rusty cooker,a rusty stove,0.3155
113,a large cooker,a large stove,0.2967
114,a baby in a cot,a baby in a crib,0.283
115,a wooden nursery cot,a wooden nursery crib,0.3365
116,toys beside a cot,toys beside a crib,0.307
117,a cot with mobile,a crib with mobile,0.33
118,a cot with bars,a crib with bars,0.2923
119,an infant's cot,an infant's crib,0.3285
120,a hoarding in a city,a billboard in a city,0.318
121,a broken hoarding,a broken billboard,0.3386
122,a colorful hoarding,a colorful billboard,0.2965
123,a bright red hoarding,a bright red billboard,0.2832
124,a hoarding lit up,a billboard lit up,0.3135
125,a dirty hoarding,a dirty billboard,0.3532
126,a bright red hoover,a bright red vacuum cleaner,0.368
127,a hoover with a long cord,a vacuum cleaner with a long cord,0.3564
128,a modern hoover,a modern vacuum cleaner,0.3413
129,a broken hoover,a broken vacuum cleaner,0.3353
130,a dirty hoover,a dirty vacuum cleaner,0.2918
131,a painting of an old hoover,a painting of an old vacuum cleaner,0.3907
132,a filled jug,a filled pitcher,0.3337
133,an empty jug,an empty pitcher,0.3307
134,a broken jug,a broken pitcher,0.3292
135,a dirty jug,a dirty pitcher,0.2886
136,a colorful jug,a colorful pitcher,0.3272
137,a bright blue jug,a bright blue pitcher,0.3595
138,a young postman,a young mailman,0.279
139,a lazy postman,a lazy mailman,0.3053
140,a tired postman,a tired mailman,0.2928
141,a busy postman,a busy mailman,0.321
142,a painting of an old postman,a painting of an old mailman,0.351
143,a postman on the street,a mailman on the street,0.3299
144,a colorful pram,a colorful baby carriage,0.3503
145,a pram with a sunshade,a baby carriage with a sunshade,0.313
146,a bright pink pram,a bright pink baby carriage,0.368
147,a dirty pram,a dirty baby carriage,0.3208
148,a painting of a vintage pram,a painting of a vintage baby carriage,0.4045
149,a modern pram,a modern baby carriage,0.3059
150,a luxurious saloon,a luxurious sedan,0.2277
151,a bright red saloon,a bright red sedan,0.2857
152,a dirty saloon,a dirty sedan,0.206
153,a saloon on the street,a sedan on the street,0.2331
154,a broken saloon,a broken sedan,0.2334
155,a painting of a vintage saloon,a painting of a vintage sedan,0.2077
156,an open bonnet,an open hood of car,0.2876
157,a dirty bonnet,a dirty hood of car,0.2255
158,a bright red bonnet,a bright red hood of car,0.2361
159,a bonnet with stripes,a hood of car with stripes,0.2792
160,a broken bonnet,a broken hood of car,0.2823
161,a colorful bonnet,a colorful hood of car,0.2447
162,chopped coriander,chopped cilantro,0.3174
163,coriander on a table,cilantro on a table,0.3089
164,coriander in a basket,cilantro in a basket,0.3583
165,a painting of coriander,a painting of cilantro,0.3512
166,a basket of coriander,a basket of cilantro,0.3591
167,a dish with coriander,a dish with cilantro,0.2794
168,a sliced courgette,a sliced zucchini,0.3364
169,a courgette on the table,a zucchini on the table,0.3138
170,courgette in a basket,zucchini in a basket,0.3199
171,a painting of a courgette,a painting of a zucchini,0.3876
172,a moldy courgette,a moldy zucchini,0.3428
173,a dish with courgette,a dish with zucchini,0.3358
174,inside of the tube,inside of the subway,0.274
175,a tube station,a subway station,0.2786
176,a dirty tube,a dirty subway,0.2238
177,a modern tube,a modern subway,0.2978
178,a painting of the tube,a painting of the subway,0.354
179,an abandoned tube station,an abandoned subway station,0.2852
180,a sliced aubergine,a sliced eggplant,0.3588
181,an aubergine on the table,an eggplant on the table,0.335
182,aubergine in a basket,eggplant in a basket,0.3324
183,a painting of an aubergine,a painting of an eggplant,0.4064
184,a moldy aubergine,a moldy eggplant,0.3234
185,a dish with aubergine,a dish with eggplant,0.3234
186,people on a zebra crossing,people on a crosswalk,0.2954
187,a busy zebra crossing,a busy crosswalk,0.2912
188,a painted zebra crossing,a painted crosswalk,0.324
189,a wide zebra crossing,a wide crosswalk,0.3182
190,a woman on a zebra crossing,a woman on a crosswalk,0.2788
191,an empty zebra crossing,an empty crosswalk,0.2955
192,cars on a busy motorway,cars on a busy highway,0.2916
193,an empty motorway,an empty highway,0.3001
194,a motorway at sunset,a highway at sunset,0.3064
195,a motorway sign,a highway sign,0.3006
196,a motorway with traffic cones,a highway with traffic cones,0.3266
197,a snowy motorway,a snowy highway,0.2856
198,a plaster wrapped around a finger,a band-aid wrapped around a finger,0.2807
199,a plaster covering a small cut,a band-aid covering a small cut,0.3186
200,a plaster on an injured knee,a band-aid on an injured knee,0.3472
201,a colorful plaster on an elbow,a colorful band-aid on an elbow,0.3622
202,a plaster for a cut,a band-aid for a cut,0.3059
203,a plaster peeling off skin,a band-aid peeling off skin,0.3208
204,a torn bin liner,a torn trash bag,0.3225
205,a black bin liner,a black trash bag,0.3151
206,an overflowing bin liner,an overflowing trash bag,0.2891
207,a roll of bin liners,a roll of trash bags,0.2892
208,a bin liner on the ground,a trash bag on the ground,0.2978
209,a transparent bin liner,a transparent trash bag,0.3216
210,a waistcoat under a suit jacket,a vest under a suit jacket,0.2925
211,a formal waistcoat on a hanger,a formal vest on a hanger,0.3227
212,a waistcoat worn over a shirt,a vest worn over a shirt,0.3151
213,a velvet waistcoat on display,a velvet vest on display,0.3675
214,a striped waistcoat displayed in a store,a striped vest displayed in a store,0.3354
215,a velvet waistcoat laid flat,a velvet vest laid flat,0.3614
216,a salad bowl filled with rocket,a salad bowl filled with arugula,0.3312
217,chopped rocket leaves,chopped arugula leaves,0.3347
218,a sandwich layered with rocket,a sandwich layered with arugula,0.3309
219,fresh rocket on a dinner plate,fresh arugula on a dinner plate,0.3459
220,a pizza topped generously with rocket,a pizza topped generously with arugula,0.3539
221,a pile of washed rocket leaves,a pile of washed arugula leaves,0.3383
