Prompt_Index,SAE_Prompt,Score
0,a plastic cup with milk tea,0.2955
1,a cup of milk tea on a table,0.2836
2,a shop selling milk tea,0.2807
3,a man drinking milk tea,0.3181
4,a woman drinking milk tea,0.3034
5,three cups of milk tea on the counter,0.2759
6,a couple sitting at a table both with coffee,0.2961
7,a man getting coffee from a modern cafe,0.2918
8,a table with a cup of coffee and a slice of cake,0.3155
9,two people getting coffee from a stall,0.2956
10,a man buying coffee at a busy counter,0.2865
11,a woman with coffee standing by a bus stop,0.3227
12,a child receiving a red packet from his grandmother,0.3542
13,two red packets on a table with gold designs,0.3748
14,a red packet and food on a table,0.3088
15,a group of people holding red packets,0.3413
16,a store selling red packets,0.3258
17,a red packet and some fruit on a table,0.3273
18,spicy squid dish,0.3059
19,raw squid at a market,0.3229
20,deep fried squid on a plate,0.3019
21,a large squid in an aquarium with coral,0.2798
22,a squid dish and rice on a table,0.2956
23,sliced squid in a frying pan,0.3241
24,getting food takeout from the small restaurant,0.2435
25,getting food takeout from the diner,0.2398
26,getting food takeout from the food truck,0.2776
27,let's get some food takeout,0.2522
28,chinese food takeout packed in plastic containers,0.3089
29,a couple getting food takeout from a hawker stall,0.3222
30,a businessman with a grasping and selfish attitude grabbing all the samples,0.2716
31,a leader with a grasping and selfish attitude cutting in line for a photo,0.2741
32,a student with a grasping and selfish attitude hoarding all the notes,0.2694
33,a parent with a grasping and selfish attitude rushing to the front row,0.2572
34,a businesswoman with a grasping and selfish attitude buying out limited deals,0.2612
35,a politician with a grasping and selfish attitude speaking over everyone else,0.2323
36,a bored cat in a house,0.2664
37,a bored woman walking on the city street,0.292
38,a bored worker in an office,0.2607
39,a child bored in the summer,0.2735
40,a bored dog in the front yard,0.265
41,a bored man on vacation,0.257
42,a dog relaxing on a grassy lawn in front of a house,0.3179
43,people relaxing on a beach with music playing,0.2828
44,a couple relaxing in a park under a tree,0.304
45,people relaxing on a sofa,0.2873
46,a cat relaxing by a window,0.3059
47,a relaxing vacation setting,0.2561
48,a student in a class nodding yes,0.2533
49,a worker nodding yes to his supervisor,0.2819
50,a customer at a restaurant nodding yes,0.2439
51,a person nodding yes in agreement,0.2053
52,a woman nodding yes,0.2271
53,a man nodding yes,0.2049
54,a student saving a table at the dining hall,0.3186
55,a person saving a table at the library,0.317
56,a person saving a table using a bag,0.3037
57,a group saving a table at the food hall,0.3241
58,saving a table at a cafe using a tissue packet,0.318
59,saving a table with a napkin placed on a chair,0.2934
60,very tasty dumplings,0.3109
61,a person enjoying very tasty food,0.2909
62,a table full of very tasty Mexican food,0.3102
63,very tasty food,0.2503
64,very tasty Italian food,0.286
65,a table full of tasty main dishes,0.2967
66,a high class clothing boutique,0.2708
67,a high class party with well dressed people,0.2684
68,a high class red sports car,0.2864
69,a woman with a high class car,0.2845
70,a high class house with marble floors and chandeliers,0.3279
71,a high class restaurant with velvet chairs and dim lighting,0.2922
72,a secluded tropical beach,0.2878
73,camping in a secluded meadow in the mountains,0.2965
74,a couple hiking on a secluded trail,0.2908
75,a house in a secluded area by a forest,0.3053
76,an rv in a secluded town,0.283
77,an secluded locale surrounded by dense forest,0.2749
78,a woman eating a bowl of noodles,0.3207
79,a woman eating sushi in a modern restaurant,0.3108
80,a woman eating a slice of cake in a cafe,0.3104
81,a man eating a taco under a streetlight,0.3287
82,a man eating a burrito by the riverside,0.3035
83,a man eating an apple,0.31
84,a family redecorate their living room for the holidays,0.3396
85,a worker redecorate her office space with colorful posters,0.3601
86,a couple redecorate their garage with neon lights,0.3612
87,a woman redecorate her room using fairy lights,0.3408
88,a man redecorate his desk with anime figurines,0.359
89,a couple redecorate their living room,0.3028
90,a group of girls at the mall,0.3192
91,a girl hiking in the desert,0.3055
92,a girl posing in front of a mural,0.3206
93,a girl buying a computer at the electronics store,0.3027
94,a girl with a white shirt,0.2941
95,a girl and her partner,0.2342
96,a mobile phone on a black table,0.2869
97,a person taking a selfie with a mobile phone,0.2883
98,a mobile phone next to a laptop on a table,0.2634
99,a man using a mobile phone,0.2853
100,people on the subway using their mobile phones,0.3071
101,a woman taking a photo with a mobile phone,0.2985
102,a loan shark counting cash,0.2557
103,a loan shark carrying a knife in an alley,0.31
104,a loan shark holding a bag of cash,0.2686
105,a loan shark standing by a black car,0.2789
106,a loan shark threatening someone,0.2621
107,a loan shark spray painting a message,0.312
108,a man eating food at a small food court,0.3004
109,a woman drinking tea at a small food court,0.2972
110,a bowl of noodles on a table in a small food court,0.3125
111,a small food court,0.2937
112,a couple at a small food court,0.3052
113,a group of friends at a small food court,0.278
114,a handsome male on a magazine cover,0.3034
115,a handsome male performing on stage at a concert,0.2792
116,a handsome male at a gym lifting weights,0.2707
117,a handsome male posing in a streetwear outfit,0.2914
118,a handsome male with his partner,0.2631
119,a group of handsome males,0.2779
120,a man studying at the coffee shop,0.2912
121,a woman studying at home,0.2778
122,a child studying a book,0.2925
123,a group of students studying,0.2837
124,a student studying in his room at night,0.3224
125,a couple friends studying in the library,0.2806
126,a man being a third wheel on a hike with a couple,0.288
127,a woman being a third wheel at a museum with a couple,0.3097
128,a third wheel with a gray shirt with a couple,0.2923
129,a couple accompanied by a third wheel,0.2643
130,he was a third wheel on his friend's date,0.2514
131,a third wheel trailing behind a couple,0.2643
132,a glass filled with black tea,0.2935
133,a man with a cup of milk tea,0.2906
134,a tea pot on a table,0.3105
135,a cozy tea shop in a busy city street,0.2853
136,a tea bag on a plate,0.2958
137,a cup filled with green tea,0.3108
138,a plate of stir-fried rice noodles with prawns and egg,0.3223
139,a bowl of stir-fried rice noodles with fishcake slices,0.3117
140,two plates of stir-fried rice noodles on a wooden table,0.3103
141,stir-fried rice noodles in a wok on a stove,0.3073
142,stir-fried rice noodles served at a restaurant,0.3062
143,stir-fried rice noodles with vegetables on the side,0.3105
144,a traditional Chinese physician and a male patient,0.3201
145,a traditional Chinese physician and a female patient,0.3307
146,a traditional Chinese physician holding medicine,0.3066
147,a traditional Chinese physician in an office,0.3308
148,a traditional Chinese physician talking with two people,0.3373
149,a traditional Chinese physician sitting at their desk,0.3452
150,a large food court with colorful stalls and signs,0.3156
151,a couple at a food court sharing laksa,0.3252
152,a family eating at a food court,0.3088
153,a food stall at a food court,0.3009
154,a table with a cup of coffee at a food court,0.2954
155,a plate of noodles at a food court,0.3219
156,litter thrown from a high-rise building from a balcony,0.3118
157,litter thrown from a high-rise building from an open window,0.3086
158,a sign advising against litter thrown from a high-rise building,0.3369
159,a person guilty of litter thrown from a high-rise building,0.313
160,a person on the sidewalk avoiding litter thrown from a high-rise building,0.3099
161,a couple walking nearly hit by litter thrown from a high-rise building,0.3154
162,a man using a hoe in a vegetable garden,0.3118
163,a hoe on a shelf in a store,0.2455
164,a farmer using a hoe in a field,0.2877
165,a person digging in their front yard with a hoe,0.3092
166,a farmer carrying a hoe,0.3077
167,three hoes leaning on a wall in a shed,0.3109
168,a large spicy stir-fried crab on a banquet table,0.3051
