Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a red lorry driving down the street,a red semitruck driving down the street,0.2965
1,a delivery lorry loaded with packages,a delivery semitruck loaded with packages,0.313
2,a lorry parked by the curb,a semitruck parked by the curb,0.2766
3,a lorry parked at a rest stop,a semitruck parked at a stop sign,0.2687
4,a lorry hauling timber,a semitruck hauling timber,0.3317
5,a lorry with a flat tyre,a semitruck with a flat tire,0.2788
6,a cozy jumper hanging in a closet,a cozy sweater hanging in a closet,0.3499
7,a man wearing a purple jumper,a man wearing a purple sweater,0.3658
8,a woman knitting a brown jumper,a woman knitting a brown sweater,0.3577
9,a jumper with reindeer patterns,a sweater with reindeer patterns,0.3698
10,a jumper on a hanger,a sweater on a hanger,0.3143
11,a jumper folded neatly,a sweater folded neatly,0.314
12,a girl knocking on the loo door,a girl knocking on the bathroom door,0.2801
13,a set of fresh towels in the loo,a set of fresh towels in the bathroom,0.3146
14,a line of people waiting outside the loo,a line of people waiting outside the bathroom,0.3054
15,a loo with a leaky tap,a bathroom with a leaky faucet,0.2734
16,a tidy loo with shiny blue wall tiles,a tidy bathroom with shiny blue wall tiles,0.2808
17,a loo with a shower curtain,a bathroom with a shower curtain,0.3072
18,a pack of bangers at the grocery store,a pack of sausages at the grocery store,0.3204
19,a plate of bangers and eggs with toast,a plate of sausages and eggs with toast,0.3549
20,a man cutting a banger in half,a man cutting a sausage in half,0.3155
21,bangers on a grill,sausages on a grill,0.3227
22,bangers and mash on a plate,sausages and mashed potatoes on a plate,0.3591
23,my bangers sizzling in a pan,my sausages sizzling in a pan,0.305
24,a woman throwing away the rubbish,a woman throwing away the trash,0.3201
25,a bin overflowing with rubbish,a bin overflowing with trash,0.2636
26,a raccoon going through rubbish,a raccoon going through trash,0.3609
27,a rubbish bin near a park bench,a trash can near a park bench,0.2842
28,a rubbish heap in an alley,a trash pile in an alley,0.3133
29,a rubbish skip in a construction site,a trash dumpster in a construction site,0.302
30,a top-floor flat with a view of the city,a top-floor apartment with a view of the city,0.3081
31,a college student's flat,a college student's apartment,0.2704
32,a cozy flat in the city,a cozy apartment in the city,0.3007
33,a flat with a balcony overlooking the city,an apartment with a balcony overlooking the city,0.2917
34,a flat with a rooftop garden,an apartment with a rooftop garden,0.3121
35,my flat with an open-plan kitchen,my apartment with an open-plan kitchen,0.2871
36,a man loading luggage into the car boot,a man loading luggage into the car trunk,0.3153
37,a spare tire in the car boot,a spare tire in the car trunk,0.3109
38,a woman putting groceries in the car boot,a woman putting groceries in the car trunk,0.3104
39,a car boot filled with groceries,a car trunk filled with groceries,0.3201
40,a car boot packed for a road trip,a car trunk packed for a road trip,0.3044
41,my car boot after a shopping spree,my car trunk after a shopping spree,0.2744
42,a boy waiting in the queue at a grocery store,a boy waiting in the line at a grocery store,0.3184
43,a queue for the rollercoaster,a line for the rollercoaster,0.2989
44,a queue of cars at a drive-through,a line of cars at a drive-through,0.3085
45,a queue at the ticket counter,a line at the ticket counter,0.301
46,a queue for the morning bus,a line for the morning bus,0.2988
47,a queue at the post office,a line at the post office,0.3337
48,a man ironing creases in his trousers,a man ironing creases in his pants,0.3449
49,a pair of purple trousers folded on a chair,a pair of purple pants folded on a chair,0.3601
50,a kid wearing a pair of blue trousers,a kid wearing a pair of blue pants,0.3516
51,a trousers display in a store,a pants display in a store,0.307
52,a trousers with a matching blazer,pants with a matching blazer,0.2866
53,my trousers hanging in the closet,my pants hanging in the closet,0.2902
54,a woman enjoying a cup of tea with a biscuit,a woman enjoying a cup of tea with a cookie,0.368
55,a tin of assorted biscuits,a tin of assorted cookies,0.3182
56,a man baking homemade biscuits,a man baking homemade cookies,0.3187
57,a biscuit with chocolate chips,a cookie with chocolate chips,0.3223
58,a biscuit on a baking tray,a cookie on a baking tray,0.2989
59,a biscuit with a bite taken out,a cookie with a bite taken out,0.3026
60,a beam of light from the torch,a beam of light from the flashlight,0.2881
61,a man searching in the dark with a torch,a man searching in the dark with a flashlight,0.3049
62,a rechargeable LED torch,a rechargeable LED flashlight,0.351
63,my torch in a toolbox,my flashlight in a toolbox,0.2894
64,a torch with low battery,a flashlight with low battery,0.3411
65,a policeman shining a torch at the suspect,a policeman shining a flashlight at the suspect,0.3001
66,a mother changing her baby's nappy,a mother changing her baby's diaper,0.211
67,a pack of cloth nappies,a pack of cloth diapers,0.3268
68,a happy baby wearing pink nappies,a happy baby wearing pink diapers,0.1931
69,a nappy on a changing table,a diaper on a changing table,0.2974
70,nappies with cute patterns,diapers with cute patterns,0.3605
71,a nappy on a clothesline,a diaper on a clothesline,0.3702
72,a petrol station at night,a gasoline station at night,0.362
73,a man filling up his car with petrol,a man filling up his car with gasoline,0.2954
74,a sign showing petrol prices,a sign showing gasoline prices,0.3314
75,a petrol pump at a station,a gasoline pump at a station,0.319
76,a petrol tanker on the road,a gasoline tanker on the road,0.3077
77,a brightly lit petrol station sign at night,a brightly lit gasoline station sign at night,0.3546
78,a group of kids kicking a football,a group of kids kicking a soccer ball,0.2979
79,a football player in the stadium,a soccer player in the stadium,0.2285
80,a football player celebrating a win,a soccer player celebrating a win,0.2257
81,my football boots on the field,my soccer cleats on the field,0.2865
82,a football goalie in the field,a soccer goalie in the field,0.2684
83,a goalkeeper trying to catch a football,a goalkeeper trying to catch a soccer ball,0.3127
84,a woman picking up a prescription at the chemist,a woman picking up a precription at the pharmacy,0.3032
85,a wide range of products at the chemist,a wide range of products at the pharmacy,0.3263
86,a group of people waiting at the chemist,a group of people waiting at the pharmacy,0.3117
87,a chemist counter with vitamins,a pharmacy counter with vitamins,0.317
88,my chemist where I get prescriptions,my pharmacy where I get prescriptions,0.3467
89,a chemist with a neon sign,a pharmacy with a neon sign,0.2447
90,a bowl of chips at a restaurant,a bowl of french fries at a restaurant,0.2746
91,a boy eating chips,a boy eating french fries,0.349
92,a plate with a burger and chips,a plate with a burger and french fries,0.3072
93,chips with ketchup and mayo,french fries with ketchup and mayo,0.335
94,my chips from the local chippy,my french fries from the local fry shop,0.3046
95,a chips portion next to a burger,a french fries portion next to a burger,0.2883
96,an office belonging to a barrister,an office belonging to an attorney,0.2951
97,a barrister talking to his client,an attorney talking to his client,0.3213
98,a man attending a meeting with his barrister,a man attending a meeting with his attorney,0.2966
99,a barrister in a courtroom,an attorney in a courtroom,0.2908
100,my barrister discussing the case,my attorney discussing the case,0.2833
101,a barrister with legal books,an attorney with legal books,0.3022
102,a school caretaker sweeping the hallway,a school janitor sweeping the hallway,0.3575
