Prompt_Index,SAE_Prompt,Score
0,a plastic cup with milk tea,0.6925
1,a cup of milk tea on a table,0.6864
2,a shop selling milk tea,0.8477
3,a man drinking milk tea,0.885
4,a woman drinking milk tea,0.8678
5,three cups of milk tea on the counter,0.7342
6,a couple sitting at a table both with coffee,0.8725
7,a man getting coffee from a modern cafe,0.9536
8,a table with a cup of coffee and a slice of cake,0.973
9,two people getting coffee from a stall,0.8134
10,a man buying coffee at a busy counter,0.8807
11,a woman with coffee standing by a bus stop,0.7014
12,a child receiving a red packet from his grandmother,0.8146
13,two red packets on a table with gold designs,0.8513
14,a red packet and food on a table,0.921
15,a group of people holding red packets,0.949
16,a store selling red packets,0.9321
17,a red packet and some fruit on a table,0.9243
18,spicy squid dish,0.8641
19,raw squid at a market,0.8964
20,deep fried squid on a plate,0.8196
21,a large squid in an aquarium with coral,0.9268
22,a squid dish and rice on a table,0.8824
23,sliced squid in a frying pan,0.8138
24,getting food takeout from the small restaurant,0.8793
25,getting food takeout from the diner,0.7218
26,getting food takeout from the food truck,0.8786
27,let's get some food takeout,0.9205
28,chinese food takeout packed in plastic containers,0.9727
29,a couple getting food takeout from a hawker stall,0.776
30,a businessman with a grasping and selfish attitude grabbing all the samples,0.6669
31,a leader with a grasping and selfish attitude cutting in line for a photo,0.5524
32,a student with a grasping and selfish attitude hoarding all the notes,0.5118
33,a parent with a grasping and selfish attitude rushing to the front row,0.4762
34,a businesswoman with a grasping and selfish attitude buying out limited deals,0.4684
35,a politician with a grasping and selfish attitude speaking over everyone else,0.7915
36,a bored cat in a house,0.8669
37,a bored woman walking on the city street,0.804
38,a bored worker in an office,0.8944
39,a child bored in the summer,0.7701
40,a bored dog in the front yard,0.7626
41,a bored man on vacation,0.7529
42,a dog relaxing on a grassy lawn in front of a house,0.9843
43,people relaxing on a beach with music playing,0.6037
44,a couple relaxing in a park under a tree,0.9834
45,people relaxing on a sofa,0.9849
46,a cat relaxing by a window,0.9744
47,a relaxing vacation setting,0.9812
