Prompt_Index,SAE_Prompt,Score
0,a plastic cup with milk tea,0.3508
1,a cup of milk tea on a table,0.2948
2,a shop selling milk tea,0.2812
3,a man drinking milk tea,0.3335
4,a woman drinking milk tea,0.3213
5,three cups of milk tea on the counter,0.297
6,a couple sitting at a table both with coffee,0.3041
7,a man getting coffee from a modern cafe,0.2977
8,a table with a cup of coffee and a slice of cake,0.3251
9,two people getting coffee from a stall,0.3028
10,a man buying coffee at a busy counter,0.3137
11,a woman with coffee standing by a bus stop,0.3282
12,a child receiving a red packet from his grandmother,0.3542
13,two red packets on a table with gold designs,0.3491
14,a red packet and food on a table,0.3018
15,a group of people holding red packets,0.3423
16,a store selling red packets,0.3515
17,a red packet and some fruit on a table,0.3258
18,spicy squid dish,0.2994
19,raw squid at a market,0.3019
20,deep fried squid on a plate,0.2572
21,a large squid in an aquarium with coral,0.2877
22,a squid dish and rice on a table,0.3548
23,sliced squid in a frying pan,0.3316
24,getting food takeout from the small restaurant,0.2413
25,getting food takeout from the diner,0.248
26,getting food takeout from the food truck,0.2874
27,let's get some food takeout,0.2299
28,chinese food takeout packed in plastic containers,0.328
29,a couple getting food takeout from a hawker stall,0.3369
30,a businessman with a grasping and selfish attitude grabbing all the samples,0.2496
31,a leader with a grasping and selfish attitude cutting in line for a photo,0.2074
32,a student with a grasping and selfish attitude hoarding all the notes,0.2711
33,a parent with a grasping and selfish attitude rushing to the front row,0.2429
34,a businesswoman with a grasping and selfish attitude buying out limited deals,0.2709
35,a politician with a grasping and selfish attitude speaking over everyone else,0.2289
36,a bored cat in a house,0.2574
37,a bored woman walking on the city street,0.2717
38,a bored worker in an office,0.2618
39,a child bored in the summer,0.2868
40,a bored dog in the front yard,0.2824
41,a bored man on vacation,0.2695
42,a dog relaxing on a grassy lawn in front of a house,0.3222
43,people relaxing on a beach with music playing,0.3062
44,a couple relaxing in a park under a tree,0.3118
45,people relaxing on a sofa,0.2877
46,a cat relaxing by a window,0.2863
47,a relaxing vacation setting,0.2525
48,a student in a class nodding yes,0.2894
49,a worker nodding yes to his supervisor,0.2768
50,a customer at a restaurant nodding yes,0.2665
51,a person nodding yes in agreement,0.2106
52,a woman nodding yes,0.223
53,a man nodding yes,0.2349
54,a student saving a table at the dining hall,0.324
55,a person saving a table at the library,0.2444
56,a person saving a table using a bag,0.2578
57,a group saving a table at the food hall,0.3382
58,saving a table at a cafe using a tissue packet,0.337
59,saving a table with a napkin placed on a chair,0.3314
60,very tasty dumplings,0.311
61,a person enjoying very tasty food,0.2641
62,a table full of very tasty Mexican food,0.3011
63,very tasty food,0.2152
64,very tasty Italian food,0.2781
65,a table full of tasty main dishes,0.2686
66,a high class clothing boutique,0.2474
67,a high class party with well dressed people,0.2325
68,a high class red sports car,0.2847
69,a woman with a high class car,0.3091
70,a high class house with marble floors and chandeliers,0.3047
71,a high class restaurant with velvet chairs and dim lighting,0.3063
72,a secluded tropical beach,0.2842
73,camping in a secluded meadow in the mountains,0.3005
74,a couple hiking on a secluded trail,0.2871
75,a house in a secluded area by a forest,0.2784
76,an rv in a secluded town,0.2988
77,an secluded locale surrounded by dense forest,0.2699
78,a woman eating a bowl of noodles,0.3371
79,a woman eating sushi in a modern restaurant,0.3314
80,a woman eating a slice of cake in a cafe,0.3216
81,a man eating a taco under a streetlight,0.3066
82,a man eating a burrito by the riverside,0.3559
83,a man eating an apple,0.3238
84,a family redecorate their living room for the holidays,0.3343
85,a worker redecorate her office space with colorful posters,0.3573
86,a couple redecorate their garage with neon lights,0.3328
87,a woman redecorate her room using fairy lights,0.316
88,a man redecorate his desk with anime figurines,0.3678
89,a couple redecorate their living room,0.256
90,a group of girls at the mall,0.2943
91,a girl hiking in the desert,0.3005
92,a girl posing in front of a mural,0.2878
93,a girl buying a computer at the electronics store,0.3475
94,a girl with a white shirt,0.2818
95,a girl and her partner,0.2293
96,a mobile phone on a black table,0.2819
97,a person taking a selfie with a mobile phone,0.3179
98,a mobile phone next to a laptop on a table,0.2643
99,a man using a mobile phone,0.2591
100,people on the subway using their mobile phones,0.3302
101,a woman taking a photo with a mobile phone,0.3105
102,a loan shark counting cash,0.2904
103,a loan shark carrying a knife in an alley,0.327
104,a loan shark holding a bag of cash,0.3263
105,a loan shark standing by a black car,0.3241
106,a loan shark threatening someone,0.3027
107,a loan shark spray painting a message,0.2958
108,a man eating food at a small food court,0.3294
109,a woman drinking tea at a small food court,0.329
110,a bowl of noodles on a table in a small food court,0.3016
111,a small food court,0.2572
112,a couple at a small food court,0.2909
113,a group of friends at a small food court,0.2677
114,a handsome male on a magazine cover,0.2585
115,a handsome male performing on stage at a concert,0.2785
116,a handsome male at a gym lifting weights,0.2904
117,a handsome male posing in a streetwear outfit,0.2877
118,a handsome male with his partner,0.2412
119,a group of handsome males,0.2589
120,a man studying at the coffee shop,0.3247
121,a woman studying at home,0.2818
122,a child studying a book,0.2985
123,a group of students studying,0.2938
124,a student studying in his room at night,0.3141
125,a couple friends studying in the library,0.29
126,a man being a third wheel on a hike with a couple,0.2179
127,a woman being a third wheel at a museum with a couple,0.2181
128,a third wheel with a gray shirt with a couple,0.203
129,a couple accompanied by a third wheel,0.2181
130,he was a third wheel on his friend's date,0.2061
131,a third wheel trailing behind a couple,0.2229
132,a glass filled with black tea,0.3135
133,a man with a cup of milk tea,0.3132
134,a tea pot on a table,0.3143
135,a cozy tea shop in a busy city street,0.2883
136,a tea bag on a plate,0.3434
137,a cup filled with green tea,0.2782
