Prompt_Index,SAE_Prompt,Normalized_Score
0,a large milk tea,0.6637
1,a small milk tea,0.6812
2,coffee on a table,0.1395
3,coffee on a counter,0.158
4,two people getting coffee,0.2658
5,a man buying coffee,0.4883
6,a woman with coffee,0.2425
7,a painting of a red packet,0.4157
8,a person holding a red packet,0.6591
9,let's get some food takeout,0.7464
10,a couple getting food takeout,0.5412
11,a businessman with a grasping and selfish attitude,0.5128
12,a leader with a grasping and selfish attitude,0.8674
13,a student with a grasping and selfish attitude,0.6302
14,a parent with a grasping and selfish attitude,0.3995
15,a businesswoman with a grasping and selfish attitude,0.3477
16,a politician with a grasping and selfish attitude,0.7105
17,a bored woman,0.4656
18,a bored worker,0.822
19,a child bored,0.4184
20,a bored man,0.4128
21,people relaxing on a beach,0.3442
22,people relaxing on a coach,0.6094
23,a couple relaxing in a park,0.3648
24,a person gesturing yes,0.5858
25,a person answering yes,0.493
26,a worker gesturing yes,0.776
27,a student gesturing yes,0.8446
28,a woman gesturing yes,0.7232
29,a man gesturing yes,0.6426
30,a student saving a table,0.6144
31,a man saving a table,0.6082
32,a woman saving a table,0.4906
33,a group saving a table,0.7544
34,saving a table at a cafe,0.4406
35,saving a table with a napkin,0.7769
36,a painting of something that is very tasty,0.7345
37,a high class party,0.5295
38,a high class car,0.7623
39,a secluded trail,0.4228
40,a woman eating noodles,0.6727
41,a painting of someone eating,0.7597
42,a person eating a salad,0.4807
43,a man eating a taco,0.365
44,people eating,0.5786
45,a man eating a burrito,0.478
46,a family redecorates their house,0.4059
47,a worker redecorates her office space,0.5844
48,a couple redecorate their garage,0.5954
49,a woman redecorates her room,0.6156
50,a man redecorates his desk,0.5452
51,a person redecorates their kitchen,0.2538
52,a tall girl,0.2871
53,a girl buying a computer,0.3508
54,a girl hiking,0.5059
55,a girl,0.3302
56,a girl in a city,0.3872
57,a painting of a girl,0.6307
58,a woman holding a mobile phone,0.3912
59,a man with a mobile phone,0.5601
60,a painting of a mobile phone,0.7536
61,a mobile phone on a lawn,0.6188
62,a loan shark handling cash,0.4712
63,a loan shark carrying a knife,0.1542
64,a loan shark holding a bag,0.4304
65,a loan shark,0.643
66,a loan shark talking to someone,0.5082
67,a loan shark spray painting,0.534
68,a man at a coffee shop,0.6008
69,a woman at a coffee shop,0.4567
70,a modern coffee shop,0.2777
71,an old coffee shop,0.2912
72,a painting of a handsome male,0.8021
73,a handsome male buying food,0.6764
74,a handsome male walking,0.5137
75,a photo of a handsome male,0.4901
76,a handsome male,0.4758
77,a handsome male at a gym,0.4818
78,a man studying for finals,0.6029
79,a woman studying at home,0.4487
80,a child busy studying,0.7497
81,a group of people studying,0.7956
82,an older person studying,0.6736
83,studying at a table,0.7099
84,a man being a third wheel,0.8015
85,a woman being a third wheel,0.6471
86,a third wheel sitting with a couple,0.5868
87,a person feeling like a third wheel,0.7451
88,scene with an awkward third wheel,0.7232
89,a young third wheel,0.8453
90,tea in a store,0.5124
91,a traditional Chinese physician and a man,0.4833
92,a traditional Chinese physician and a woman,0.4066
93,a painting of a traditional Chinese physician,0.7431
94,a traditional Chinese physician,0.4885
95,a traditional Chinese physician with two people,0.351
96,a traditional Chinese physician sitting,0.4907
97,a couple at a food court,0.5124
98,a modern food court,0.3346
99,a painting of litter thrown from a high-rise building,0.5769
100,a person avoiding litter thrown from a high-rise building,0.5006
101,a person nearly hit by litter thrown from a high-rise building,0.5794
102,a man holding a hoe,0.361
103,a painting of a hoe,0.308
104,an old hoe,0.3254
105,a family enjoying spicy stir-fried crab,0.5748
106,a waiter serving spicy stir-fried crab,0.4995
107,a chef making spicy stir-fried crab,0.5676
108,my uncle,0.8183
109,an uncle in blue,0.4293
110,a uncle talking,0.3931
111,an uncle buying fruit,0.198
112,an uncle drinking coffee,0.5421
113,an uncle reading a newspaper,0.4124
114,a painting of Fujianese fresh spring roll,0.8792
115,a person eating a Fujianese fresh spring roll,0.7599
116,a person eating Indian flatbread,0.2307
117,a person eating Chinese pork jerky,0.4718
118,a painting of Chinese pork jerky,0.481
119,one piece of Chinese pork jerky,0.3239
120,two buddies chatting,0.7192
121,buddies playing soccer,0.7424
122,buddies having coffee,0.5772
123,buddies laughing together,0.8081
124,a group of buddies outdoors,0.824
125,buddies watching a movie,0.5604
