Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a painting of teh tarik,a painting of milk tea,0.7388
1,a photo of teh tarik,a photo of milk tea,0.7796
2,selling teh tarik,selling milk tea,0.8756
3,a large teh tarik,a large milk tea,0.7796
4,a small teh tarik,a small milk tea,0.8688
5,teh tarik on a table,milk tea on a counter,0.8877
6,kopi on a table,coffee on a table,0.9799
7,kopi on a counter,coffee on a counter,0.9589
8,a painting of kopi,a painting of coffee,0.365
9,two people getting kopi,two people getting coffee,0.9449
10,a man buying kopi,a man buying coffee,0.9039
11,a woman with kopi,a woman with coffee,0.9773
12,a painting of an ang pow,a painting of a red packet,0.4267
13,two ang pows on a table,two red packets on a table,0.9348
14,an ang pow on a counter,a red packet on a counter,0.8877
15,a person holding an ang pow,a person holding a red packet,0.9695
16,an ang pow on the ground,a red packet on the ground,0.9417
17,a child holding an ang pow,a child holding a red packet,0.9612
18,a painting of sotong,a painting of squid,0.9563
19,sotong on a table,squid on a table,0.9537
20,a sotong in a market,a squid in a market,0.9655
21,a sotong in an aquarium,a squid in an aquarium,0.9348
22,a sotong on a counter,a squid on a counter,0.0808
23,sotong in a box,squid in a box,0.9711
24,a person getting tapao,a person getting takeout,0.8479
25,tapao on a table,takeout on a table,0.8154
26,tapao from the food truck,takeout from the food truck,0.8323
27,let's get some food tapao,let's get some food takeout,0.9482
28,chinese food tapao,chinese food takeout,0.9909
29,a couple getting food tapao,a couple getting food takeout,0.9482
30,a kiasu businessman,a businessman with a grasping and selfish attitude,0.6727
31,a kiasu leader,a leader with a grasping and selfish attitude,0.2048
32,a kiasu student,a student with a grasping and selfish attitude,0.3003
33,a kiasu parent,a parent with a grasping and selfish attitude,0.5788
34,a kiasu businesswoman,a businesswoman with a grasping and selfish attitude,0.5068
35,a kiasu politician,a politician with a grasping and selfish attitude,0.3171
36,a sian cat,a bored cat,0.8478
37,a sian woman,a bored woman,0.4169
38,a sian worker,a bored worker,0.6494
39,a child sian,a child bored,0.0736
40,a sian dog,a bored dog,0.8154
41,a sian man,a bored man,0.6954
42,a lepak dog,a relaxing dog,0.9385
43,people lepak on a beach,people relaxing on a beach,0.9811
44,people lepak on a coach,people relaxing on a coach,0.9822
45,a couple lepak in a park,a couple relaxing in a park,0.9843
46,a cat lepak,a cat relaxing,0.9693
47,a lepak setting,a relaxing setting,0.8545
48,a person gesturing can,a person gesturing yes,0.7593
49,a person answering can,a person answering yes,0.3751
50,a worker gesturing can,a worker gesturing yes,0.6494
51,a student gesturing can,a student gesturing yes,0.7887
52,a woman gesturing can,a woman gesturing yes,0.8067
53,a man gesturing can,a man gesturing yes,0.8396
