Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,"Visualize a lorry painted in vibrant red color, parked on a pavement. It has a sturdy metallic build, with shiny chrome details and is carrying a considerable load covered with a black tarpaulin. The afternoon sun is casting long shadows of the lorry, adding drama to the scene. The lorry's cab section is spacious, featuring modern amenities for the driver. There are visible brand identifications and a generic number plate on it.",a red semitruck,0.8998
1,"Picture an immense, mechanically fascinating lorry truck. It is painted with a vibrant shade of red. The truck's body is polished to a mirror shine, reflecting the light that hits it. Its massive wheels are black and covered in grainy, rough treads, designed to withstand long-distance journeys. The front of the truck is squared and imposing, with two powerful, glowing rectangular headlights that cast a bright ray of light. The details of the truck, like its side mirrors, air intakes, and fuel tanks, are meticulously crafted and visible. Its enormous cargo bed at the back is covered with reinforced steel structure. The window of the truck's cabin is gleaming in the sunlight, and an unseen driver is sitting inside, ready to start a long-haul journey.",a large semitruck,0.9511
2,"A detailed depiction of a lorry, fallen into disrepair and neglect. The vehicle appears broken, with some parts detached and scattered around. Rust streaks are visible on the metallic body, and its paint is faded and chipped in numerous spots. A flat tire rests on the rough asphalt road, adding to the somber mood of the scene. The broken windows on the driver's side reveal the once comfortable, now ransacked and dirty cabin inside. This scene captures the passage of time and the inevitable decay that all man-made objects eventually succumb to.",a broken semitruck,0.919
3,"Render an image of an old lorry set against a picturesque background. The lorry is weathered and shows signs of years of use, with faded paintwork and outdated design features typical of mid-20th century models. It should occupy the central space of the image, standing out prominently with a sense of nostalgia and showcasing industrial design of a bygone era.",a painting of an old semitruck,0.5129
4,"Generate an image of a modern lorry, specifically a solid, large mode of road transport with a big front cab and a long trailer behind, typically used in hauling freight. The lorry should be painted in vibrant colors and should showcase state of the art technology such as LED headlights and aerodynamic design. The environment should be daytime on a highway with other vehicles and a clear blue sky in the background.",a modern semitruck,0.9448
5,"Generate an intricately detailed image of a compact, sturdy lorry on a smooth tarmac road. The lorry, with its dark green body and chrome detailing, basks under the warm glow of a setting sun. It's a well-maintained vehicle, showing the pride and care of its operator. It bears slight signs of use from its long journey, but it still glows with a welcoming charm. The vehicle stands ready, loaded, and primed for the next big haul on a soon-to-be bustling roadway.",a small semitruck,0.4135
6,"Imagine a comforting winter scene featuring a cozy, oversized knitted jumper. It's crafted from chunky wool and has a warm, soft feel to the touch. Its ribbed cuffs and hem add to its homey aesthetic. As for the color, think of a rich burgundy, full of depth and comfort. Beside it lies a cup of steaming hot cocoa, adding to the warm and snuggly atmosphere. The setting is a well-lit, welcoming living room; fluffy, white pillows and a soft, plush throw rug add extra comfort to the scene. It's an image that resonates with the coziness of winter and the joy of being at home.",a cozy sweater,0.9057
7,"Visualise a jumper that is colored in a rich shade of purple. The jumper is crafted from soft, textured material, perhaps knit or wool. Its design is cozy, ideal for colder seasons, with long sleeves and a high round neckline. The color is consistent throughout, an intense and vibrant purple. It's a simple yet stylish piece of clothing, which would make a bold statement in a winter wardrobe.",a purple sweater,0.98
8,"A well-worn jumper with visible signs of wear and tear. Its fabric is mottled with various stains and the occasional little tear. The colors are also visibly faded from repeated washing and exposure to sunlight. A patina of dust covers it adding to its overall dirtiness. The design, though partly obscured, suggests that it was once fashionable, but has probably been abandoned in favor of newer pieces of clothing.",a dirty sweater,0.9207
9,"Visualize a uniquely designed jumper. This piece of clothing is carefully crafted, overflowing with creativity. Let it be woven with vibrant colors, various patterns, and intricate detailing. To add to its exclusive appearance, portray a bold mix of traditional and modern styles that coexist harmoniously on the fabric. Render the jumper against a simple, uncluttered background to make its sophisticated design stand out. Furthermore, show the jumper displayed on a mannequin to maintain focus on the fashion creativity of the item.",a designer sweater,0.843
10,"Create a detailed image of a warm knitted sweater with an intricate weave and beautifully crafted stitches. However, the sweater appears to have been worn out, bearing a few apparent holes that attest to its age and regular use. Despite the holes, the sweater still appears cozy and inviting. Make it a pullover style sweater with a slightly loose fit. The background should be simple and should not take away from the focus of the image which is the sweater with holes.",a sweater with holes,0.8721
11,"A vivid rendering of a fashionable jumper. The jumper features a symphony of bright and striking colors, with hues of purple, green, yellow, and red combining in an enchanting patchwork. It's knitted out of a soft wool, with chunky textures and patterns providing a sense of depth and warmth. Furthermore, it has long sleeves, a round neckline, and is meant to fall freely over the torso, snug at the waist for a cosy fit. Imagine this piece of clothing resting on a neutral background, providing a striking contrast to the multicolor theme.",a colorful sweater,0.9867
12,"Visualize a contemporary styled bathroom with sleek, clean lines. Consider a white porcelain toilet being the centerpiece, stationed on a sleek grey tiled floor. Imagine a matching white sink with chrome fittings complemented by a mirror making the area look spacious. A towel rack situated to the side, stocked with neatly folded soft white cotton towels. Not to forget, an eco-friendly addition of a small potted plant bringing a touch of green. Use soft and neutral hues to maintain the modern aesthetic.",a modern bathroom,0.9836
13,"An old, unsanitary bathroom where the porcelain facilities haven't been cleaned in a while. The tile floors are dingy and stained, and the once-white walls have visibly lost their shine. A toilet in the corner is grimy and visibly unattended to with water stains marking the toilet bowl. The sink adjacent to it has a slow drip that adds to the dirty puddle on the floor. A frayed, dirty towel hangs on an old, rusty towel rack.",a dirty bathroom,0.9647
14,"A vibrant, multicolored bathroom toilet. The bowl, lid, and tank are adorned with a palette of bright, eye-catching hues such as red, orange, yellow, green, blue, and violet. The surface presents a random mix of these colors, creating an effect similar to that of a rainbow. The shiny ceramic material of the toilet reflects the light wonderfully, amplifying the intensity of the colors. The bathroom around the toilet is simple and white, offering a stark contrast to the vibrancy of the toilet. Can you please generate this image?",a colorful bathroom,0.9849
15,"Visualize a bathroom, particularly focusing on the toilet or 'loo'. The whole area should be adorned with vibrant blue tiles, meticulously arranged in a neat pattern. The walls, floor, and even the exterior of the toilet itself are completely covered in these tiles. The overall ambience should exude cleanliness and tranquillity, enhanced by the cool blue tones. The light reflecting off the glossy tiles adds to the soothing atmosphere. Additional details could include a flush handle, toilet paper roll, and a small sink in the corner.",a bathroom with blue tiles,0.982
