old,new
bae,significant other
bling,flashy jewelry
boo,boyfriend
bussin,really good
chains,necklaces
crib,home
dough,money
dreads,dreadlocks
drop,release
fam,family
fit,outfit
gat,gun
glass,mirror
grill,teeth jewelry
hammer,gun
holla,call
homeboy,close male friend
homie,friend
hood,neighborhood
kicks,shoes
lid,hat
lil,little
mellow,calm
my crew,my group
nana,grandmother
nappiness,curly hair texture
paper,money
peepers,eyes
piece,gun
roller,car
tat,tattoo
threads,clothes
tint,window shading
whip,car
